id,etiqueta_original,etiqueta
1,consulta_academica,consulta_academica
2,consulta_academica,consulta_academica
3,consulta_academica,consulta_academica
4,consulta_academica,consulta_academica
5,consulta_academica,consulta_academica
6,consulta_academica,consulta_academica
7,consulta_academica,consulta_academica
8,consulta_academica,consulta_academica
9,consulta_academica,consulta_academica
10,consulta_academica,consulta_academica
11,tramite_escolar,tramite_escolar
12,tramite_escolar,tramite_escolar
13,tramite_escolar,tramite_escolar
14,tramite_escolar,tramite_escolar
15,tramite_escolar,tramite_escolar
16,tramite_escolar,tramite_escolar
17,tramite_escolar,tramite_escolar
18,tramite_escolar,tramite_escolar
19,tramite_escolar,tramite_escolar
20,tramite_escolar,tramite_escolar
21,pago,pago
22,pago,pago
23,pago,pago
24,pago,pago
25,pago,pago
26,pago,pago
27,pago,pago
28,pago,pago
29,pago,pago
30,pago,pago
31,soporte_tecnico,soporte_tecnico
32,soporte_tecnico,soporte_tecnico
33,soporte-tecnico,soporte_tecnico
34,soporte_tecnico,soporte_tecnico
35,soporte_tecnico,soporte_tecnico
36,soporte-tecnico,soporte_tecnico
37,soporte_tecnico,soporte_tecnico
38,soporte_tecnico,soporte_tecnico
39,soporte-tecnico,soporte_tecnico
40,soporte_tecnico,soporte_tecnico
41,cancelacion,cancelacion
42,cancelacion,cancelacion
43,cancelacion,cancelacion
44,cancelacion,cancelacion
45,cancelacion,cancelacion
46,cancelacion,cancelacion
47,cancelacion,cancelacion
48,cancelacion,cancelacion
49,cancelacion,cancelacion
50,cancelacion,cancelacion
