indice_prueba,texto,etiqueta_real,prediccion,correcto,confianza
0,Necesito dar de baja mi suscripción porque ya no la utilizaré en el portal institucional.,cancelacion,cancelacion,True,0.468641
1,Quiero actualizar el correo asociado a mi cuenta de servicios antes del cierre.,tramite,tramite,True,0.550444
2,"Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión, esta semana.",soporte_tecnico,soporte_tecnico,True,0.411027
3,"Necesito validar un pago que hice mediante transferencia bancaria, esta semana.",pago,pago,True,0.542228
4,Realicé una transferencia y quiero verificar el estado del pago en el portal institucional.,pago,pago,True,0.620752
5,Quiero registrar un incidente que puede afectar la seguridad del grupo en el portal institucional.,urgencia,urgencia,True,0.331924
6,"Quiero registrar un incidente que puede afectar la seguridad del grupo, hoy.",urgencia,urgencia,True,0.398981
7,"La coordinación publicó información sobre estímulos para estudiantes destacados, antes del cierre.",consulta_informacion,consulta_informacion,True,0.602527
8,Requiero confirmar si mi pago de colegiatura ya fue aplicado hoy.,pago,pago,True,0.617993
9,"Se requiere atención inmediata por una lesión que está sangrando, antes del cierre.",urgencia,urgencia,True,0.517578
10,Necesito cancelar la renovación automática de mi plan para este periodo.,cancelacion,cancelacion,True,0.592682
11,Necesito información sobre los horarios de consulta médica general.,consulta_informacion,consulta_informacion,True,0.359665
12,"Un alumno presenta dolor intenso y requiere valoración urgente, en el portal institucional.",urgencia,urgencia,True,0.526017
13,Necesito orientación sobre apoyo económico estudiantil y fechas de registro antes del cierre.,consulta-informacion,consulta_informacion,False,0.484939
14,"Busco información sobre campañas de vacunación y atención preventiva, para este periodo.",consulta_informacion,consulta_informacion,True,0.576526
15,"Se requiere atención inmediata por una lesión que está sangrando, hoy.",urgencia,urgencia,True,0.582415
16,¿Dónde puedo revisar los servicios disponibles en la clínica universitaria esta semana.,consulta_informacion,consulta_informacion,True,0.385424
17,"Quiero cancelar mi participación en el curso de este periodo, hoy.",cancelacion,cancelacion,True,0.598753
18,¿Dónde puedo modificar los datos asociados a mi servicio?,tramite,tramite,True,0.442655
19,Quiero cancelar el servicio antes del siguiente periodo de cobro antes del cierre.,cancelacion,cancelacion,True,0.680888
20,El sistema muestra una comisión adicional que no esperaba.,pago,pago,True,0.45441
