polaridad,subjetividad,categoria,texto_limpio,genero,id
-0.5,1.0,Negativo,como fan de las series espanolas y de najwa esto duele la serie es muy mala manu rios da para lo que da ensenar cacho najwa hace de mala papel repetido que no aporta ninguna capa nueva telenovela de mediodia con un guion mediocre y dialogos planos en aspectos tecnicos como fotografia sonido tambien deja que desear lo peor de carlos montero de largo,Drama,0
0.0,0.0,Neutro,todo lo malo que puede tener una serie lo posee respira los dialogos son penosos los personajes son puras caricaturas las tramas se ven venir de lejos y los actores pues las tres caras de siempre ninguna de las cuales sabe vocalizar y luego las cuotas que tocan y para casa aitana maja que haces metida aqui en estos dias tambien estoy viendo la segunda temporada de la edad dorada y no es por comparar pero voy a hacerlo esa tambien es una serie ligera que no viene a salvar el mundo pero es que no hay apice posible de similitud en ningun sentido aqui no hay nada cuidado es pura basura cuyos implicados todos sin excepcion saben positivamente que lo es y yo que suelo tener el estomago hecho a todo me he sentido ofendido viendo respira me he sentido insultado tonto de baba,Drama,1
-0.8,1.0,Negativo,la serie es un drama medico que intenta copiar los estilemas yankies adaptandolos al modo espanol la historia de base transcurre en un hospital valenciano representado de manera inverosimil pues el ambiente de hospital representado en la serie dista mucho de la realidad hospitalaria tanto valenciana como espanola el guion entremezcla dramas medicos mal plateados con dramas cotidianos pueriles y riiculos los dialogos dan pena los personajes son de estereotipo tipica serie de netflix distribuidora que suele llenar su grilla con este tipo de bazofias,Drama,2
0.0,0.0,Neutro,nadie te obliga a ver nada que no quieras ver y si no hay dinero publico involucrado tampoco puedes quejarte de lo mala que es una produccion audiovisual asi que la unica salida que tienes es dejar de verla y no recomendarla ni a tu peor enemigo una vez mas una produccion espanola me saca de su visionado y me obliga a la critica negativa respira no da opcion y resulta ofensiva como tantas otras que consiguen producirse y estrenarse en plataformas y canales de television falta talento en todo en este caso concreto desde el equipo tecnico hasta el artistico resultan mediocres y quiza sea culpa de unos guiones planos como la direccion y las interpretaciones las historias carecen de credibilidad y los dialogos dan verguenza ajena nadie se da cuenta del dano que hacen al sector no hay mejores historias que contar voy a ir dandome de baja de alguna plataforma porque no merece la pena,Drama,3
0.0,0.3,Neutro,esta serie da verguenza ajena una serie donde al parecer las unicas personas que trabajan en el hospital son los medicos ni rastro de enfermeras tcae celadores personal de limpieza por favor si quieren hacer una serie sobre un hospital que se informen un poquito mas sobre el funcionamiento de el escenas ridiculas con dialogos sin sentido bueno y lo mas gracioso es que siempre estan liados todos con todos vamos que eso es una discoteca mas que un hospital vamos si no quieres perder tu tiempo no veas esta serie sin sentido,Drama,4
0.0278,0.3079,Neutro,puntuacion de 5elitizando un hospital por mgarsos la ultima propuesta de los creadores de elite es un drama medico que si bien parte con muy buenas intenciones apenas es creible con una historia trillada polarizada y simplona unida a un guion torpe y plano arranca respira una serie a la que tampoco la ayudan su ritmo frenetico y su falta de profundidad tanto en lo medico como en lo personal su reparto cuenta con grandes nombres como najwa nimri y aitana sanchez gijon que despuntan sobre el resto y hacen maravillas con un texto muchas veces deficiente y subrrealista sorprenden tambien ana rayo macarena rueda marwa bakhat y xoan forneas visualmente deja muchisimo que desear su diseno de produccion es demasiado estetico para evocar a un hospital publico su iluminacion y fotografia protocolaria no nos ofrece nada nuevo y su montaje es confuso y nefasto en cuanto a la musica algun que otro tema encaja a la perfeccion con las escenas pero en general ni suma ni resta en conclusion respira es un simple pasatiempo atropellado que no termina de funcionar ni en lo medico ni en lo social y al que le falta frivolidad para destacar en lo telenovelesco quiza le venga bien hacer huelga sin servicios minimos parar y coger aire de cara a su segunda temporada,Drama,5
-0.0667,0.4767,Neutro,una serie que lucha por capturar la realidad de la medicina en tiempos de crisisrespira serie creada por carlos montero es un drama medico que intenta abordar la dura realidad del sistema de salud publica y los desafios enfrentados por los profesionales medicos en su dia a dia la historia sigue a biel un residente que esta en los primeros meses de su carrera en un hospital publico sacrificando su vida personal para convertirse en el mejor medico sin embargo sus ideales se ven puestos a prueba cuando el hospital se enfrenta a una huelga total sin servicios minimos organizada por los sanitarios para protestar contra los recortes y concienciar a la poblacion sobre la importancia de su trabajo un reparto que no logra transmitir la intensidad de la situacionmanu rios que interpreta a biel se esfuerza por encarnar la lucha interna de un joven medico atrapado entre su etica profesional y la realidad de un sistema en crisis sin embargo la actuacion se siente plana en muchos momentos clave y no logra transmitir plenamente el peso emocional y la complejidad de su dilema el elenco secundario que incluye a otros residentes y medicos veteranos tambien falla en crear personajes que realmente conecten con el espectador aunque la serie respira intenta mostrar las diferentes perspectivas de los medicos mas jovenes y los mas experimentados la falta de desarrollo en los personajes hace que sus luchas se sientan superficiales y carentes de impacto un concepto prometedor que se queda en la superficiela trama de respira tiene el potencial de ofrecer un drama intenso y relevante dado el contexto de una huelga en un hospital publico y la crisis en la sanidad la serie plantea cuestiones importantes sobre la etica medica la lucha laboral y los efectos de los recortes en un sistema ya sobrecargado sin embargo la ejecucion de estos temas es deficiente ya que la serie no logra profundizar en las emociones y los conflictos internos de los personajes el enfoque en la huelga podria haber sido una forma poderosa de explorar el dilema etico de los medicos pero la narrativa se siente desordenada y a menudo pierde el foco en lugar de ahondar en las complejidades del tema la serie recurre a cliches del genero medico lo que diluye el impacto que podria haber tenido una representacion mediocre del entorno hospitalariola serie respira no logra capturar la intensidad y el caos que caracterizan a un hospital en crisis la cinematografia es adecuada pero carece de la energia visual necesaria para sumergir al espectador en la atmosfera tensa del hospital los escenarios aunque realistas no se utilizan de manera efectiva para transmitir el estres y la presion que enfrentan los personajes la banda sonora y el diseno de sonido son funcionales pero no destacan en ningun aspecto particular no logran anadir una capa adicional de tension o emocion a la serie dejando la narrativa algo vacia en momentos cruciales conclusionrespira es una serie que aunque intenta abordar temas importantes y relevantes no logra cumplir con las expectativas que su premisa establece con una ejecucion superficial y actuaciones que no alcanzan la profundidad necesaria la serie se siente como una oportunidad perdida para ofrecer un retrato autentico y conmovedor de la vida en un hospital publico durante una crisis es una serie que decepciona a pesar de su potencial la falta de desarrollo de los personajes la narrativa desordenada y la incapacidad de transmitir la intensidad de la situacion hospitalaria hacen que respira se quede corta en su intento de ser un drama medico impactante aunque aborda temas importantes su tratamiento superficial y predecible impide que logre una conexion duradera con el espectador escrito por pablo veiga carpintero,Drama,6
-0.3,0.2,Neutro,puede que no sea fiel ni a la realidad de los hospitales ni a como funciona la politica en espana pero aun asi la serie engancha desde su comienzo in media res y capitulo a capitulo consigue engancharte lo suficiente para terminar la temporada he de admitir que aunque la mayoria d ella capitulos individualmente no tienen demasiados fallos la consecucion de uno tras otro si que deja mucho que desear la serie destaca por tocar temas de la actualidad del siglo 21 en espana post pandemia sobre todo y es algo que no le juega en contra a mi parecer aun asi tanto los temas de suicidio abusos gota fria huelgas privatizaciones estan rodeados de un ambiente de melodrama con casualidades y guiones tipicos de telenovela que hacen que te tomes la serie menos en serio y aceptes que mas que una serie de medicos es una telenovela al uso y eso si que juega en contra lo que les gusta a los fans de este tipo de productos es tener arcos extendidos durante muchos capitulos en los cuales pueden ir viendo como las relaciones de un capitulo para otro se entrelazan cambian de sentido o desaparecen y esta serie unicamente incluye una temporada de 8 capitulos de momento los actores no estan mal y destacaria al medico y a la presidenta una relacion peculiar algo forzada pero distinta a lo que estamos acostumbrado sobre todo najawa es la que mas se luce no me parece que es el terror que dicen algunos hay que saber lo que vas a ver y como debes enfrentarte a ello no me parece nada del otro mundo pero admito que ha entretenido durante 8 capitulos por cierto lo de los relojes me lo tienen que explicar la serie parece un anuncio de relojes continuo o los relojes no cuadran con los personajes o tienen demasiados primeros planos,Drama,7
0.0,0.0,Neutro,la critica se limita a su primera temporada creo que no reviento nada si digo que tendra continuacion porque entre otras cosas ya lo han anunciado no es que sea una buena serie pero me esperaba algo mucho peor para lo que se rueda hoy en espana esta incluso por encima de la media y eso que netflix la mal vende como una serie tipo telenovela pero no esto es mucho mas es digna sucesora de las series hospitalarias que volvieron a ponerse de moda a principios de siglo su trama es adictiva intenta no caer demasiado en cliches las escenas de tension cumplen y hay vida inteligente mas alla del tono tabernario y el dialogo para besugos que tanto han perjudicado a la ficcion espanola aqui hay entrega y ganas de ofrecer algo mas ambicioso y aunque solo lo consigue a ratos se nota a todo ello ayuda mucho contar con actores muy buenos aitana ana rayo xoan blanca etcetera pero sobre todo la robaescenas de nawja que se afila aun mas los rasgos a lo melanie laurent para recrear a una heredera de rita barbera que sufre en sus propias carnes los estragos del neoliberalismo en un levante devastado por sus politicas trumpistas hasta la explotacion del cuerpo de manu rios se relaja dentro de lo que cabe yo personalmente la recomiendo y no solo al fenomeno ultrafan del paisano de almodovar,Drama,8
0.0833,0.4667,Neutro,es una serie para entretener un rato sin mayores pretensiones rodada con un buen ritmo muy al estilo de elite con quien comparte tambien sus tramas reivindicativas sus escenas de sexo tipo videoclip y su manera de contar las diferentes tramas el punto de arranque es la huelga que se convoca en un hospital publico valenciano y el dilema que supone para el personal medico de secundarla o no luego hay diversas subtramas algunas relacionadas con esa huelga y otras no las interpretaciones estan por lo general bien blanca y aitana correctas destaca najwa nimri que esta perfecta en su papel de presidenta de la comunidad valenciana el unico personaje que desentona es el de manu rios ya que te lleva sin querer al eterno adolescente de elite y no terminas de ubicarlo como medico residente luego estan las tipicas incongruencias de guion de estas series pero que suelen ser habituales tambien en el resto de producciones en resumen una serie fast food como puede ser elite pero orientada a un publico de mayor edad,Drama,9
