id,texto,genero,similitud,consulta
3232,"Una película que nunca acaba de arrancar como diría Carlos Sainz: Trata de arrancarlo Carlos!Después de un inicio prometedor con una escena de acción, nada más lejos de la realidad.Y es que de acción hay poca y precisamente no brilla tampoco por la calidad.Durante el largometraje esperas que por fín...",Accion,0.3176,pelicula de acción emocionante
1272,"Resumen abajo del todo""Rebel Moon - Parte 2"" es una película que destaca por su impecable ejecución de principio a fin. Desde el primer fotograma hasta el último, la película cautiva al espectador con su deslumbrante visualidad y su narrativa épica. La dirección de Zack Snyder se hace evidente en ca...",Accion,0.2656,pelicula de acción emocionante
4151,La trama sigue a un contratista militar que busca justicia y redención cuando su hermano se convierte en un brutal asesino debido a un arma. El tema principal de la película gira en torno a la búsqueda de venganza y cómo afecta a los personajes involucrados. El tono de la película es frenético y lle...,Accion,0.2644,pelicula de acción emocionante
7565,"La película es sencillamente genial. Pese a presentarse como una sátira caricaturizada, describe nuestra triste realidad a la perfección.Haré mi reflexión en la sección de spoilers para hablar sin cortapisas.",Ciencia Ficcion,0.1927,buen drama con final triste
7652,"Comedia satírica efectiva y reflexiva. La diversión puede tornarse en drama si reconoces la triste realidad que refleja, la que vivimos en la actualidad. Desde los gobiernos nefastos que nos tienen hipnotizados hasta la población doliente de la que formamos parte.Es una potente metáfora social que s...",Ciencia Ficcion,0.1922,buen drama con final triste
5620,"El drama merece mucha más popularidad, la capacidad que tiene de introducirte a su mundo es admirable, la historia se aleja de los típicos clichés, no te aburres viéndola y cada segundo tiene una importancia en la historia de los personajes, tiene comedia y esta aparece en los momentos justos. De ap...",Comedia,0.184,buen drama con final triste
4448,"Me acuerdo que días atrás Adam Sandler subió en su instagram el trailer de la película ""The Out Laws"".Luego ví muchas veces el trailer y pensaba que me íba a encontrar con una película muy mala.Tuve una muy mala semana y me dijeron que hay que reírse porque sinó te amargás y te hacés mala sangre y n...",Accion,0.2894,comedia divertida para reir
3191,"Es una divertida comedia para toda la familia, pero es repetitiva y carece de originalidad.En general, la trama de la película tiene falta de originalidad y sigue un patrón similar a otras comedias del mismo género. La película es predecible y los elementos de la trama son forzados. La historia no o...",Comedia,0.2226,comedia divertida para reir
2867,"Conocí a este humorista en un roast, creo que fue el de Rod Lowe y conocer los orígenes de este comediante me pareció una buena idea. Pero la sinopsis que ofrece esta web no se ajusta a la película que acabo de ver. Es una película sobre la dura vida y lo orígenes de este muchacho, pero no habla par...",Comedia,0.2216,comedia divertida para reir
6493,"Mientras lo veía dudaba realmente si se trataba de un nuevo film, o de alguna antigua película de ciencia ficción que se hubiera repuesto en cartelera. Con un argumento lineal, totalmente previsible, y efectos digitales absolutamente obsoletos, por lo demás las actuaciones me parecieron de terror, m...",Accion,0.4867,ciencia ficción con extraterrestres
2525,"Como aficionado a la ciencia ficción no podía perderme esta película de un director tan conocido como Zack Snyder y que con esta película ha conseguido muchos comentarios, aunque la mayoría sean negativos. Tras verla no puedo darle el aprobado, y esto teniendo en cuenta que he sido generoso por el g...",Accion,0.4369,ciencia ficción con extraterrestres
1607,"Empecé a ver la serie con el correspondiente escepticismo y desconfianza hacia una ciencia ficción extraña y poco costumbrista. Vamos, sin alienígenas. Poco a poco, te va metiendo en la trama y nos encontramos con la pregunta más interesante..... Realmente ¿estamos solos en este universo?En fin, no ...",Ciencia Ficcion,0.4087,ciencia ficción con extraterrestres
