film_name|gender|film_avg_rate|review_rate|review_title|review_text
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|1|Respira|Como fan de las series españolas y de Najwa, esto duele, la serie es muy mala.Manu Ríos da para lo que da, enseñar cacho, Najwa hace de mala, papel repetido que no aporta ninguna capa nueva.Telenovela de mediodía con un guión mediocre y diálogos planos.En aspectos técnicos como fotografía, sonido, también deja que desear.Lo peor de Carlos Montero, de largo.
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|2|Esta serie te llama tonto a la cara|"Todo lo malo que puede tener una serie lo posee ""Respira"". Los diálogos son penosos, los personajes son puras caricaturas, las tramas se ven venir de lejos y los actores... Pues las tres caras de siempre, ninguna de las cuales sabe vocalizar, y luego las cuotas que tocan y para casa. Aitana, maja, ¿Qué haces metida aquí?En estos días también estoy viendo la segunda temporada de ""La edad dorada"" y no es por comparar, pero voy a hacerlo. Esa también es una serie ligera que no viene a salvar el mundo, pero es que no hay ápice posible de similitud. En ningún sentido. Aquí no hay nada cuidado. Es pura basura cuyos implicados, todos sin excepción, saben positivamente que lo es.Y yo, que suelo tener el estómago hecho a todo, me he sentido ofendido viendo ""Respira"". Me he sentido insultado. Tonto de baba."
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|1|Respira|"La serie es un drama médico que intenta ""copiar"" los estilemas yankies adaptándolos al modo español.La historia de base transcurre en un hospital valenciano representado de manera inverosímil pues el ambiente de hospital representado en la serie dista mucho de la realidad hospitalaria tanto valenciana como española.El guión entremezcla dramas médicos mal plateados, con dramas cotidianos pueriles y riículos.Los diálogos dan pena, los personajes son de estereotipo.Típica serie de Netflix distribuidora que suele llenar su grilla con este tipo de bazofias."
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|1|Imposible, no hay manera|Nadie te obliga a ver nada que no quieras ver y, si no hay dinero público involucrado, tampoco puedes quejarte de lo mala que es una producción audiovisual, así que la única salida que tienes es dejar de verla y no recomendarla ni a tu peor enemigo. Una vez más una producción española me saca de su visionado y me obliga a la crítica negativa. Respira no da opción y resulta ofensiva como tantas otras que consiguen producirse y estrenarse en plataformas y canales de televisión. Falta talento en todo en este caso concreto. Desde el equipo técnico hasta el artístico resultan mediocres y quizá sea culpa de unos guiones planos como la dirección y las interpretaciones.Las historias carecen de credibilidad y los diálogos dan vergüenza ajena. ¿Nadie se da cuenta del daño que hacen al sector? ¿No hay mejores historias que contar? Voy a ir dándome de baja de alguna plataforma porque no merece la pena.
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|1|Serie nefasta|Está serie da vergüenza ajena. Una serie donde al parecer las únicas personas que trabajan en el hospital son los médicos, ni rastro de enfermeras, TCAE, celadores, personal de limpieza... Por favor, si quieren hacer una serie sobre un hospital que se informen un poquito más sobre el funcionamiento de el.Escenas ridículas con diálogos sin sentido. Bueno, y lo más gracioso es que siempre están liados todos con todos. Vamos que eso es una discoteca más que un hospital.Vamos, si no quieres perder tu tiempo no veas esta serie sin sentido
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|5|Elitizando un hospital|Puntuación: ⭐️⭐️ de 5Elitizando un hospital.Por mgarsos.La última propuesta de los creadores de Élite es un drama médico, que si bien parte con muy buenas intenciones, apenas es creíble.Con una historia trillada, polarizada y simplona unida a un guión torpe y plano, arranca Respira. Una serie a la que tampoco la ayudan su ritmo frenético y su falta de profundidad tanto en lo médico como en lo personal.Su reparto cuenta con grandes nombres como Najwa Nimri y Aitana Sánchez-Gijón que despuntan sobre el resto y hacen maravillas con un texto muchas veces deficiente y subrrealista. Sorprenden también Ana Rayo, Macarena Rueda, Marwa Bakhat y Xoán Fórneas.Visualmente deja muchísimo que desear. Su diseño de producción es demasiado estético para evocar a un hospital público, su iluminación y fotografía protocolaria no nos ofrece nada nuevo y su montaje es confuso y nefasto.En cuanto a la música, algún que otro tema encaja a la perfección con las escenas, pero en general ni suma ni resta.En conclusión, Respira es un simple pasatiempo atropellado que no termina de funcionar ni en lo médico ni en lo social y al que le falta frivolidad para destacar en lo telenovelesco. Quizá le venga bien hacer huelga sin servicios mínimos, parar y coger aire de cara a su segunda temporada.
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|3|Crítica de Respira por Cinemagavia|*Una serie que lucha por capturar la realidad de la medicina en tiempos de crisisRespira, serie creada por Carlos Montero, es un drama médico que intenta abordar la dura realidad del sistema de salud pública y los desafíos enfrentados por los profesionales médicos en su día a día. La historia sigue a Biel, un residente que está en los primeros meses de su carrera en un hospital público, sacrificando su vida personal para convertirse en el mejor médico. Sin embargo, sus ideales se ven puestos a prueba cuando el hospital se enfrenta a una huelga total, sin servicios mínimos, organizada por los sanitarios para protestar contra los recortes y concienciar a la población sobre la importancia de su trabajo.*Un reparto que no logra transmitir la intensidad de la situaciónManu Ríos que interpreta a Biel, se esfuerza por encarnar la lucha interna de un joven médico atrapado entre su ética profesional y la realidad de un sistema en crisis. Sin embargo, la actuación se siente plana en muchos momentos clave, y no logra transmitir plenamente el peso emocional y la complejidad de su dilema.El elenco secundario, que incluye a otros residentes y médicos veteranos, también falla en crear personajes que realmente conecten con el espectador. Aunque la serie Respira intenta mostrar las diferentes perspectivas de los médicos más jóvenes y los más experimentados, la falta de desarrollo en los personajes hace que sus luchas se sientan superficiales y carentes de impacto.*Un concepto prometedor que se queda en la superficieLa trama de Respira tiene el potencial de ofrecer un drama intenso y relevante, dado el contexto de una huelga en un hospital público y la crisis en la sanidad. La serie plantea cuestiones importantes sobre la ética médica, la lucha laboral y los efectos de los recortes en un sistema ya sobrecargado. Sin embargo, la ejecución de estos temas es deficiente, ya que la serie no logra profundizar en las emociones y los conflictos internos de los personajes.El enfoque en la huelga podría haber sido una forma poderosa de explorar el dilema ético de los médicos, pero la narrativa se siente desordenada y a menudo pierde el foco. En lugar de ahondar en las complejidades del tema, la serie recurre a clichés del género médico, lo que diluye el impacto que podría haber tenido.*Una representación mediocre del entorno hospitalarioLa serie Respira no logra capturar la intensidad y el caos que caracterizan a un hospital en crisis. La cinematografía es adecuada, pero carece de la energía visual necesaria para sumergir al espectador en la atmósfera tensa del hospital. Los escenarios, aunque realistas, no se utilizan de manera efectiva para transmitir el estrés y la presión que enfrentan los personajes.La banda sonora y el diseño de sonido son funcionales, pero no destacan en ningún aspecto particular. No logran añadir una capa adicional de tensión o emoción a la serie, dejando la narrativa algo vacía en momentos cruciales.*ConclusiónRespira es una serie que, aunque intenta abordar temas importantes y relevantes, no logra cumplir con las expectativas que su premisa establece. Con una ejecución superficial y actuaciones que no alcanzan la profundidad necesaria, la serie se siente como una oportunidad perdida para ofrecer un retrato auténtico y conmovedor de la vida en un hospital público durante una crisis.Es una serie que decepciona a pesar de su potencial. La falta de desarrollo de los personajes, la narrativa desordenada y la incapacidad de transmitir la intensidad de la situación hospitalaria hacen que Respira se quede corta en su intento de ser un drama médico impactante. Aunque aborda temas importantes, su tratamiento superficial y predecible impide que logre una conexión duradera con el espectador.Escrito por Pablo Veiga Carpintero
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|6|Médicos, relojes y actualidad|Puede que no sea fiel ni a la realidad de los hospitales ni a cómo funciona la política en España, pero aún así la serie engancha desde su comienzo in media res y capítulo a capítulo consigue engancharte lo suficiente para terminar la temporada.He de admitir que aunque la mayoría d ella capítulos individualmente no tienen demasiados fallos, la consecución de uno tras otro si que deja mucho que desear. La serie destaca por tocar temas de la actualidad del siglo 21 en España, post pandemia sobre todo, y es algo que no le juega en contra a mi parecer.Aún así, tanto los temas de suicidio, abusos, gota fría, huelgas, privatizaciones… están rodeados de un ambiente de melodrama con casualidades y guiones típicos de telenovela que hacen que te tomes la serie menos en serio y aceptes que más que una serie de médicos, es una telenovela al uso. Y eso sí que juega en contra. Lo que les gusta a los fans de este tipo de productos es tener arcos extendidos durante muchos capítulos en los cuales pueden ir viendo como las relaciones de un capítulo para otro se entrelazan, cambian de sentido o desaparecen. Y esta serie únicamente incluye una temporada de 8 capítulos de momento.Los actores no están mal y destacaría al médico y a la presidenta. Una relación peculiar, algo forzada, pero distinta a lo que estamos acostumbrado. Sobre todo Najawa es la que más se luce.No me parece que es el terror que dicen algunos, hay que saber lo que vas a ver y como debes enfrentarte a ello. No me parece nada del otro mundo pero admito que ha entretenido durante 8 capítulos.Por cierto, lo de los relojes me lo tienen que explicar, la serie parece un anuncio de relojes continuo. O los relojes no cuadran con los personajes o tienen demasiados primeros planos…
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|4|Pequeña sorpresa en la sanidad valenciana|La crítica se limita a su primera temporada. Creo que no reviento nada si digo que tendrá continuación porque entre otras cosas ya lo han anunciado. No es que sea una buena serie, pero me esperaba algo mucho peor. Para lo que se rueda hoy en España está incluso por encima de la media, y eso que Netflix la (mal)vende como una serie tipo telenovela. Pero no, esto es mucho más.Es digna sucesora de las series hospitalarias que volvieron a ponerse de moda a principios de siglo, su trama es adictiva, intenta no caer demasiado en clichés, las escenas de tensión cumplen y hay vida inteligente más allá del tono tabernario y el diálogo para besugos que tanto han perjudicado a la ficción española. Aquí hay entrega y ganas de ofrecer algo más ambicioso, y aunque solo lo consigue a ratos, se nota.A todo ello ayuda mucho contar con actores muy buenos: Aitana, Ana Rayo, Xoan, Blanca, etcétera. Pero sobre todo la robaescenas de Nawja que se afila aún más los rasgos a lo Melanie Laurent para recrear a una heredera de Rita Barberá que sufre en sus propias carnes los estragos del neoliberalismo en un Levante devastado por sus políticas trumpistas. Hasta la explotación del cuerpo de Manu Ríos se relaja, dentro de lo que cabe.Yo personalmente la recomiendo y no solo al fenómeno ultrafan del paisano de Almodóvar.
Respira (Serie de TV)|Serie de TV, Drama, Medicina|4,6|6|No es tan mala como la ponen|Es una serie para entretener un rato sin mayores pretensiones. Rodada con un buen ritmo, muy al estilo de Elite, con quien comparte también sus tramas reivindicativas, sus escenas de sexo tipo videoclip, y su manera de contar las diferentes tramas.El punto de arranque es la huelga que se convoca en un hospital público valenciano, y el dilema que supone para el personal médico de secundarla o no. Luego hay diversas subtramas, algunas relacionadas con esa huelga y otras no.Las interpretaciones están por lo general bien, Blanca y Aitana correctas. Destaca Najwa Nimri que está perfecta en su papel de Presidenta de la Comunidad Valenciana. El único personaje que desentona es el de Manu Rios, ya que te lleva sin querer al eterno adolescente de Elite y no terminas de ubicarlo como médico residente.Luego están las típicas incongruencias de guión de estas series, pero que suelen ser habituales también en el resto de producciones.En resumen, una serie fast food como puede ser Elite, pero orientada a un público de mayor edad.
