id,termino_1,termino_2,tipo_esperado,dominio
1,alumno,estudiante,sinonimia,academico
2,docente,profesor,sinonimia,academico
3,coche,automovil,sinonimia,general
4,computadora,ordenador,sinonimia,tecnologia
5,evidencia,prueba,sinonimia,academico
6,error,fallo,sinonimia,tecnologia
7,rapido,veloz,sinonimia,general
8,analizar,examinar,sinonimia,general
9,resultado,salida,sinonimia,tecnologia
10,archivo,documento,sinonimia,tecnologia
11,modelo,sistema,sinonimia,tecnologia
12,clase,sesion,sinonimia,academico
13,tarea,actividad,sinonimia,academico
14,evaluacion,examen,sinonimia,academico
15,categoria,clase,sinonimia,pln
16,oracion,frase,sinonimia,pln
17,token,unidad,sinonimia,pln
18,diccionario,lexico,sinonimia,pln
19,sentido,significado,sinonimia,pln
20,consulta,busqueda,sinonimia,tecnologia
21,animal,perro,hiperonimia,general
22,vehiculo,automovil,hiperonimia,general
23,institucion,universidad,hiperonimia,academico
24,herramienta,parser,hiperonimia,pln
25,modelo,clasificador,hiperonimia,pln
26,lenguaje,espanol,hiperonimia,pln
27,archivo,csv,hiperonimia,tecnologia
28,documento,pdf,hiperonimia,tecnologia
29,persona,alumno,hiperonimia,academico
30,profesionista,ingeniero,hiperonimia,academico
31,tecnica,tokenizacion,hiperonimia,pln
32,metrica,precision,hiperonimia,pln
33,algoritmo,svm,hiperonimia,pln
34,categoria,sustantivo,hiperonimia,pln
35,relacion,sinonimia,hiperonimia,pln
36,estructura,arbol,hiperonimia,pln
37,recurso,diccionario,hiperonimia,pln
38,texto,noticia,hiperonimia,pln
39,evento,entrega,hiperonimia,academico
40,sistema,plataforma,hiperonimia,tecnologia
41,automovil,motor,meronimia,general
42,computadora,teclado,meronimia,tecnologia
43,oracion,sujeto,meronimia,pln
44,oracion,predicado,meronimia,pln
45,arbol,rama,meronimia,general
46,universidad,aula,meronimia,academico
47,documento,pagina,meronimia,tecnologia
48,archivo,encabezado,meronimia,tecnologia
49,texto,parrafo,meronimia,pln
50,parrafo,oracion,meronimia,pln
51,dataset,registro,meronimia,datos
52,tabla,columna,meronimia,datos
53,codigo,funcion,meronimia,tecnologia
54,pipeline,etapa,meronimia,pln
55,modelo,parametro,meronimia,pln
56,lexico,entrada,meronimia,pln
57,red,nodo,meronimia,tecnologia
58,corpus,documento,meronimia,pln
59,examen,pregunta,meronimia,academico
60,programa,modulo,meronimia,tecnologia
61,correcto,incorrecto,antonimia,general
62,valido,invalido,antonimia,pln
63,simple,complejo,antonimia,general
64,claro,ambiguo,antonimia,pln
65,aceptado,rechazado,antonimia,general
66,presente,ausente,antonimia,general
67,positivo,negativo,antonimia,general
68,alto,bajo,antonimia,general
69,rapido,lento,antonimia,general
70,completo,incompleto,antonimia,general
71,manual,automatico,antonimia,pln
72,formal,informal,antonimia,pln
73,global,local,antonimia,general
74,abierto,cerrado,antonimia,general
75,verdadero,falso,antonimia,general
76,entrada,salida,antonimia,tecnologia
77,mayor,menor,antonimia,general
78,exacto,aproximado,antonimia,general
79,estable,inestable,antonimia,general
80,frecuente,raro,antonimia,pln
81,medico,hospital,relacion_contextual,salud
82,profesor,aula,relacion_contextual,academico
83,modelo,dataset,relacion_contextual,pln
84,parser,oracion,relacion_contextual,pln
85,algoritmo,codigo,relacion_contextual,tecnologia
86,banco,credito,relacion_contextual,economia
87,planta,fabrica,relacion_contextual,industria
88,juez,sentencia,relacion_contextual,legal
89,equipo,partido,relacion_contextual,deportes
90,paciente,diagnostico,relacion_contextual,salud
91,estudiante,tarea,relacion_contextual,academico
92,programa,terminal,relacion_contextual,tecnologia
93,gobierno,presupuesto,relacion_contextual,politica
94,noticia,periodico,relacion_contextual,comunicacion
95,red,usuario,relacion_contextual,tecnologia
96,investigador,experimento,relacion_contextual,academico
97,texto,contexto,relacion_contextual,pln
98,sentido,palabra,relacion_contextual,pln
99,consulta,base,relacion_contextual,datos
100,archivo,ruta,relacion_contextual,tecnologia
101,perro,teclado,sin_relacion_clara,general
102,hospital,algoritmo,sin_relacion_clara,mixto
103,credito,sustantivo,sin_relacion_clara,mixto
104,arbol,examen,sin_relacion_clara,mixto
105,vehiculo,ambiguedad,sin_relacion_clara,mixto
106,profesor,motor,sin_relacion_clara,mixto
107,dataset,cocina,sin_relacion_clara,mixto
108,parser,zapato,sin_relacion_clara,mixto
109,universidad,raton,sin_relacion_clara,mixto
110,modelo,montana,sin_relacion_clara,mixto
111,oracion,gasolina,sin_relacion_clara,mixto
112,paciente,csv,sin_relacion_clara,mixto
113,planta,root,sin_relacion_clara,mixto
114,credito,token,sin_relacion_clara,mixto
115,sentencia,teclado,sin_relacion_clara,mixto
116,pregunta,motor,sin_relacion_clara,mixto
117,aula,hospital,sin_relacion_clara,mixto
118,archivo,perro,sin_relacion_clara,mixto
119,computadora,juez,sin_relacion_clara,mixto
120,noticia,teclado,sin_relacion_clara,mixto
