resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"Primero la tipografía típica de ESDLA nos dio un tufillo a copia, y luego su técnica de animación, que mezcla estilo digital con 2D, pero con una tasa de FPS un poco inferior a lo que estamos acostumbrados, nos dio la impresión de un pseudo stop motion en los movimientos de los personajes.Este recurso se utiliza normalmente para ahorrar presupuesto en la animación, aunque en este caso no es tan grave como en otros que hemos tenido el “placer” de ver, aquí está bien implementado, solo es cuestión de acostumbrarse, enseguida lo veréis de forma normal, y la historia merece muchísimo la pena.La premisa es otra de las marcas de la casa de Ehasz, y nos referimos por supuesto, a la importancia de la magia elemental. La séptima por supuesto es la magia oscura.El primer episodio ya nos pone en situación: Un conflicto bélico separa a los humanos de las razas mágicas (elfos y dragones), que claman venganza por la muerte del rey de los dragones y su pequeño huevo, que algún día sería príncipe. Eso si, no esperéis sangre porque no la hay, pero en nuestra opinión, no hace ninguna falta, han sabido lograr un buen equilibrio.Si por algún casual estáis pensando que esta serie se parece un poco a (Des)encanto, la nueva propuesta de fantasía medieval de Matt Groening también estrenada en Netflix, sabed que las similitudes empiezan en la época en la que se desarrolla y en que una de las protagonistas tiene el pelo blanco, para de contar. Se centra en transmitir valores y vivir aventuras, como una buena historia de fantasía.Tampoco os vamos a engañar, la trama se queda bastante abierta al final del noveno episodio, pero sin duda esperamos con ansias la siguiente temporada, porque El príncipe Dragón va camino de seguir la estela que dejó Avatar en nuestros corazones.https://dejensever.es/review/el-principe-dragon","['El príncipe Dragón o Dragon Prince es la nueva propuesta de animación de Netflix, estrenada este viernes 14 de septiembre.', '¡Una tarde nos ha durado!', 'Sus 9 episodios de 25 minutos han sido como ver una de las versiones extendidas del Señor de Los Anillos.', '¡Lo hemos pasado pipa!Nuestro interés por esta serie radica principalmente en que su creador es Aarón Ehasz, el mismo que el de Avatar: La leyenda de Aang, sin duda una de nuestras series de animación favoritas.', 'No podíamos perdernos esta nueva aventura, a pesar de que son historias totalmente independientes.La estética bebe mucho de la épica medieval con toques modernos, seguro que encontrareis que los diseños de las razas y los ropajes tienen similitud con otros vistos en el mundo de los videojuegos, donde la fantasía medieval es de los géneros más aprovechados.', 'Eso no quita para que el diseño de los personajes de Dragon Prince nos haya parecido de lo más atractivo, al igual que sus armas, sobre todo las de los elfos.', 'La representación de la magia también está muy lograda, consiguiendo una buena armonía entre alquimia y fantasía.No os dejéis engañar por los primeros 3 minutos del episodio piloto, nosotros empezamos a regañadientes y por pocos nos perdemos una de las mejores temporadas de animación que hemos visto este año.', 'Primero la tipografía típica de ESDLA nos dio un tufillo a copia, y luego su técnica de animación, que mezcla estilo digital con 2D, pero con una tasa de FPS un poco inferior a lo que estamos acostumbrados, nos dio la impresión de un pseudo stop motion en los movimientos de los personajes.Este recurso se utiliza normalmente para ahorrar presupuesto en la animación, aunque en este caso no es tan grave como en otros que hemos tenido el “placer” de ver, aquí está bien implementado, solo es cuestión de acostumbrarse, enseguida lo veréis de forma normal, y la historia merece muchísimo la pena.La premisa es otra de las marcas de la casa de Ehasz, y nos referimos por supuesto, a la importancia de la magia elemental.', 'Aquí tendremos 6 fuentes primigenias de poder: El sol, la luna, las estrellas, el cielo, el mar y la tierra.', 'La séptima por supuesto es la magia oscura.El primer episodio ya nos pone en situación: Un conflicto bélico separa a los humanos de las razas mágicas (elfos y dragones), que claman venganza por la muerte del rey de los dragones y su pequeño huevo, que algún día sería príncipe.', 'Los humanos, en su infinita y conocida codicia, se retiran al oeste del continente creando cinco reinos, y dominando exclusivamente la magia oscura, aunque solo unos pocos son capaces de ello.', 'Todo esto y algunos otros detalles los narrará una voz en off durante los primeros minutos del episodio, contándonos un eficaz resumen y dándonos una amplia perspectiva de lo que está por venir.', 'Esto anula la presencia de un opening como tal en los capítulos posteriores, optando por un pequeño recordatorio de lo sucedido en el episodio anterior y una escena característica.Los personajes nos han parecido carismáticos, tanto a nivel de diseño, como decíamos anteriormente, como a nivel de carácter.', 'Vemos que desde un principio sus personalidades han estado muy bien definidas, solo nos queda ir descubriendo cómo irán evolucionando, porque de momento en esta primera temporada no nos han decepcionado.', 'Tanto nos han gustado que no podríamos elegir un favorito de entre el grupo de protagonistas.Rayla es una elfa de la luna, muy orgullosa de su gente, pero con ciertos principios morales que van en contra de sus creencias.', 'Los príncipes Callum y Ezran son hermanastros, su madre ha fallecido y Callum es príncipe adoptivo, lo que le confiere ciertas muestras de desprecio y odio por parte de la corte.', 'Del plantel de secundarios, destacamos la figura del Rey y a su mano derecha, así como a sus hijos.', 'También hay una aparición estelar de una soldado que nos recordó a Brienne de Juego de Tronos, muy buen personaje.El conflicto no deja de ser bastante típico: dos mundos, dos “razas” en guerra por un motivo que mucho tiene de malentendido, y nuestro trío no tendrá más remedio que tirarse de cabeza para intentar resolver al menos una parte, ayudando a ambas naciones.', 'Enseguida comienza a establecerse una conexión entre ellos, fundamental cuando se emprende una misión tan peligrosa como la que ellos deciden iniciar.Hay un contraste muy interesante en todo esto, y no es otro que la juventud de los personajes.', 'Igual que pasaba con Aang, vemos que los niños llevan el peso de la historia, y que los adultos son en todo momento secundarios.', 'Sin embargo, la atmósfera que se construye a su alrededor desde el primer momento es oscura y sombría, aportando el toque maduro.', 'Eso si, no esperéis sangre porque no la hay, pero en nuestra opinión, no hace ninguna falta, han sabido lograr un buen equilibrio.Si por algún casual estáis pensando que esta serie se parece un poco a (Des)encanto, la nueva propuesta de fantasía medieval de Matt Groening también estrenada en Netflix, sabed que las similitudes empiezan en la época en la que se desarrolla y en que una de las protagonistas tiene el pelo blanco, para de contar.', 'Dos enfoques totalmente distintos de la magia, y aunque Dragon Prince tiene toques de humor, no es en absoluto uno de sus pilares fundamentales.', 'Se centra en transmitir valores y vivir aventuras, como una buena historia de fantasía.Tampoco os vamos a engañar, la trama se queda bastante abierta al final del noveno episodio, pero sin duda esperamos con ansias la siguiente temporada, porque El príncipe Dragón va camino de seguir la estela que dejó Avatar en nuestros corazones.https://dejensever.es/review/el-principe-dragon']","['dragon', 'animacion', 'magia', 'episodio', 'principe', 'fantasia', 'personajes', 'prince', 'nueva', 'minutos']",4,381,Aventura,"El príncipe Dragón o Dragon Prince es la nueva propuesta de animación de Netflix, estrenada este viernes 14 de septiembre. ¡Una tarde nos ha durado! Sus 9 episodios de 25 minutos han sido como ver una..."
"El Príncipe Dragón no es una serie para adultos, es una serie para niños y adultos que aún conservan el niño que hay dentro y eso se nota en su humor infantil, que para ojos de un adulto es absurdo en la mitad de las ocasiones y que en mi caso, es un puntito negativo porque personajes como Soren y Claudia son cansinos cuando están juntos. Ver el Príncipe Dragón es como volver a los 90 y ver en la Tv series como Dragones y Mazmorras (aunque esta es mejor), porque es una serie sólida y con mucha esencia. Hoy en día vemos series muy bien consideradas como El ataque a los titanes que tienen una tremenda animación pero que no tiene esencia ni interés y que están alargadas hasta el infinito y más allá.La serie comienza bien, siendo interesante, pero es que gana peso con el paso de los capítulos y se va volviendo más compleja, recordando en partes a Juego de Tronos (salvando las diferencias). También se nota que está adaptada a estos tiempos, hablan de la separación de una pareja en época medieval, o salen dos madres casadas que son reinas, cosas impensables en los dibujos infantiles 80 o los 90.De la trama no voy a hacer Spoiler, pero mi conclusión es que esta serie es muy grande tras ver sus dos primeras temporadas y lo mejor de todo es que va ganando peso capítulo a capítulo.","['El Príncipe Dragón no es una serie para adultos, es una serie para niños y adultos que aún conservan el niño que hay dentro y eso se nota en su humor infantil, que para ojos de un adulto es absurdo en la mitad de las ocasiones y que en mi caso, es un puntito negativo porque personajes como Soren y Claudia son cansinos cuando están juntos.', 'El otro punto negativo es la animación, que no está muy bien conseguida y las caracterizaciones no son muy buenas, no transmiten mucho.', 'Además que los escenarios de ciudades tienen pocas personas y con movimientos muy ralentizados.Quitando este humor un poco infantil (a mi gusto) y la animación, la serie es espectacular, muy grande.', 'Tiene un guión muy solido con unos personajes con una personalidad muy marcada.', 'Ver el Príncipe Dragón es como volver a los 90 y ver en la Tv series como Dragones y Mazmorras (aunque esta es mejor), porque es una serie sólida y con mucha esencia.', 'Destaca mucho hoy en día teniendo en cuenta los pedazo de dibujos que se hacen ahora con las técnicas actuales, y digo que destaca ya no por su mala animación (que también) si no por su grandeza en el resto de apartados.', 'Hoy en día vemos series muy bien consideradas como El ataque a los titanes que tienen una tremenda animación pero que no tiene esencia ni interés y que están alargadas hasta el infinito y más allá.La serie comienza bien, siendo interesante, pero es que gana peso con el paso de los capítulos y se va volviendo más compleja, recordando en partes a Juego de Tronos (salvando las diferencias).', 'Y aunque, insisto, la animación no es lo mejor, nos ofrece un montón de escenarios diferentes con mucha imaginación, por su variedad y magia.', 'También se nota que está adaptada a estos tiempos, hablan de la separación de una pareja en época medieval, o salen dos madres casadas que son reinas, cosas impensables en los dibujos infantiles 80 o los 90.De la trama no voy a hacer Spoiler, pero mi conclusión es que esta serie es muy grande tras ver sus dos primeras temporadas y lo mejor de todo es que va ganando peso capítulo a capítulo.', 'Serie que a los niños les va a fascinar, ¡pero no tanto como a los niños grandes como yo!.', 'Un 8.5, porque aún no está cerrada.']","['serie', 'animacion', 'ninos', 'bien', 'ver', 'mejor', 'principe', 'dragon', 'adultos', 'aun']",4,382,Aventura,"El Príncipe Dragón no es una serie para adultos, es una serie para niños y adultos que aún conservan el niño que hay dentro y eso se nota en su humor infantil, que para ojos de un adulto es absurdo en..."
"Y es que es MUY NECESARIO que exista material con mensajes tan potentes para la sociedad, lanzados de una forma tan naturalizada y poco panfletera que cualquiera lo agradecerá.Todo empieza con chavales príncipes, elfos guapísimos, una historia de dragones, y un mundo de fantasía dividido por las traiciones y la desconfianza, donde en una mitad se conserva el mundo mágico y en la otra no. Según avanza la serie, que se puede devorar en un plis por lo gustosa que es, van incluyendo más tramas, profundizando en este bonito universo que han creado, presentando a más personajes carismáticos, con humor inteligente y divertido, y a la vez con un toque oscuro, épico y brutal. Bueno, y el villano élfico más maravilloso de la historia de las fantasías medievales (ojito con el actor de doblaje original, menudo vozarrón).De verdad, es una auténtica joya, una maravilla que recomiendo fuertemente para todo el mundo, de todas las edades, en cualquier momento y en cualquier lugar. Que nadie diga que ya no se hace animación con valores comparando con dibujos de los 80s y 90s, porque aparte de que no es cierto y que dudo que esas afirmaciones se hagan después de haber re-visto esas series de entonces (probablemente haya bastantes cosas cuestionables hoy en día), esta solo es una de bastantes series y películas que ofrecen un contenido enriquecedor y necesario para la sociedad, con un cuidado y un amor muy real que pocas veces se ha visto.Gracias infinitas a los creadores.","['Personajes y ambientación perfecta, valores maravillosos, inclusismo normalizado en cuanto a todo: raza, género, sexualidad, físico, discapacidad, relaciones, TODO.', 'Normalizado y feliz.', 'Pero además de eso, la historia mola, el ritmo mola, todo mola.', 'Y es que es MUY NECESARIO que exista material con mensajes tan potentes para la sociedad, lanzados de una forma tan naturalizada y poco panfletera que cualquiera lo agradecerá.Todo empieza con chavales príncipes, elfos guapísimos, una historia de dragones, y un mundo de fantasía dividido por las traiciones y la desconfianza, donde en una mitad se conserva el mundo mágico y en la otra no.', 'Según avanza la serie, que se puede devorar en un plis por lo gustosa que es, van incluyendo más tramas, profundizando en este bonito universo que han creado, presentando a más personajes carismáticos, con humor inteligente y divertido, y a la vez con un toque oscuro, épico y brutal.', 'Bueno, y algo muy importante de agradecer profundamente por las fans: guiños al universo Avatar (la leyenda de Aang / la leyenda de Korra).', 'Bueno, y el villano élfico más maravilloso de la historia de las fantasías medievales (ojito con el actor de doblaje original, menudo vozarrón).De verdad, es una auténtica joya, una maravilla que recomiendo fuertemente para todo el mundo, de todas las edades, en cualquier momento y en cualquier lugar.', 'Que nadie diga que ya no se hace animación con valores comparando con dibujos de los 80s y 90s, porque aparte de que no es cierto y que dudo que esas afirmaciones se hagan después de haber re-visto esas series de entonces (probablemente haya bastantes cosas cuestionables hoy en día), esta solo es una de bastantes series y películas que ofrecen un contenido enriquecedor y necesario para la sociedad, con un cuidado y un amor muy real que pocas veces se ha visto.Gracias infinitas a los creadores.']","['historia', 'mola', 'mundo', 'mas', 'personajes', 'valores', 'normalizado', 'necesario', 'tan', 'sociedad']",4,383,Aventura,"Personajes y ambientación perfecta, valores maravillosos, inclusismo normalizado en cuanto a todo: raza, género, sexualidad, físico, discapacidad, relaciones, TODO. Normalizado y feliz. Pero además de..."
"Una historia sencilla, sin rebuscados requiebros que transmite todo el rato sentimientos positivos, con personajes protagonistas buenos, que  hacen lo que tienen que hacer, que se sacrifican por los otros y por lo que es correcto, por encima de las imposiciones sociales, los vínculos familiares y étnicos. Vamos, héroes de toda la vida, de esos que te daban ejemplo de pequeño y a los que al imitarlos eras mejor persona.Hay detalles curiosos, hijos adoptados, personajes de variadas razas, incluso una guerrera muda que habla con lenguaje de signos!!! Y más...De la animación, decir que está bastante cuidada y suficientemente elaborada, los personajes giran, se mueven, sin esa sensación plana de muchos manga con acaras hieráticas en las que solo mueven la boca y los ojos.Al principio no me convenció, pero conforme avanza resulta simpática, y creo que para niños pequeños es apropiadísima, por los valores que transmite y por su historia.","['Una historia sencilla, sin rebuscados requiebros que transmite todo el rato sentimientos positivos, con personajes protagonistas buenos, que  hacen lo que tienen que hacer, que se sacrifican por los otros y por lo que es correcto, por encima de las imposiciones sociales, los vínculos familiares y étnicos.', 'Vamos, héroes de toda la vida, de esos que te daban ejemplo de pequeño y a los que al imitarlos eras mejor persona.Hay detalles curiosos, hijos adoptados, personajes de variadas razas, incluso una guerrera muda que habla con lenguaje de signos!!!', 'Y más...De la animación, decir que está bastante cuidada y suficientemente elaborada, los personajes giran, se mueven, sin esa sensación plana de muchos manga con acaras hieráticas en las que solo mueven la boca y los ojos.Al principio no me convenció, pero conforme avanza resulta simpática, y creo que para niños pequeños es apropiadísima, por los valores que transmite y por su historia.']",[],3,384,Aventura,"Una historia sencilla, sin rebuscados requiebros que transmite todo el rato sentimientos positivos, con personajes protagonistas buenos, que  hacen lo que tienen que hacer, que se sacrifican por los o..."
"He terminado hoy mismo de ver la tercera temporada de esta serie maravillosa y aunque tenga la emoción del momento trataré de mostrar objetividad.La serie tiene puntos más fuertes y otros más flojos, y yo cometí el error de subestimarla.Comienza una historia a priori bastante simple y una animación que mezcla 2D y CGI. El mundo fantástico parece complicado de entender y dudé de su desarrollo, a veces los mundos fantásticos recurren a deus ex máquina en cuanto a magia, estructura y personajes. Sinceramente, me parece arriesgado optar por ese tipo de animación pero es increíble el partido que se le puede sacar (sobre todo en las escenas con animales o edificios gigantes, son impresionantes).Los puntos fuertes:- La historia. La historia tampoco olvida a sus personajes, estos son bien presentados y sus intervenciones son justificadas.El hilo principal de la historia se va entretejiendo con otros muchos hasta tejer un telar precioso.- Los personajes: son increíblemente consistentes.","['He terminado hoy mismo de ver la tercera temporada de esta serie maravillosa y aunque tenga la emoción del momento trataré de mostrar objetividad.La serie tiene puntos más fuertes y otros más flojos, y yo cometí el error de subestimarla.Comienza una historia a priori bastante simple y una animación que mezcla 2D y CGI.', 'El mundo fantástico parece complicado de entender y dudé de su desarrollo, a veces los mundos fantásticos recurren a deus ex máquina en cuanto a magia, estructura y personajes.', 'Y aunque al principio iba yo con desconfianza, fui cambiando de opinión.Los puntos más flojos de la serie para mí son:- Las referencias al mundo moderno.', 'Palabras, hechos o expresiones que son inexistentes en ese mundo pero sí existen en el nuestro.', 'Te sacan un poco del contexto de mundo paralelo.- La animación al principio marea un poco, y la mezcla con el CGI hace que a veces se pierda expresividad.', 'Pero a medida que transcurren capítulos, me dio la impresión de que esta mejoró y también me acostumbré.', 'Sinceramente, me parece arriesgado optar por ese tipo de animación pero es increíble el partido que se le puede sacar (sobre todo en las escenas con animales o edificios gigantes, son impresionantes).Los puntos fuertes:- La historia.', 'Empieza de forma sencilla y con alguna casualidad de más.', 'Algunas cosas son predecibles, o eso pensaba yo.La historia construye sus bases y es fiel a ellas.', 'Tiene una cualidad importantísima y es que dentro de la motivación principal, cada episodio cuenta su propia historia, a veces se puede alargar hasta dos episodios.', 'La historia tampoco olvida a sus personajes, estos son bien presentados y sus intervenciones son justificadas.El hilo principal de la historia se va entretejiendo con otros muchos hasta tejer un telar precioso.- Los personajes: son increíblemente consistentes.', 'Tienen una personalidad que sí, evoluciona, pero nunca cambia de forma radical.', 'Todos los cambios se sienten de forma natural.Las interacciones entre personajes son brutales.', 'Son los propios personajes los que construyen la historia.', 'No es la historia la que dice: necesito que ocurra esto, que venga tal personaje y lo haga.', 'Sino que llega el momento y piensas: es imposible que ocurra esto porque es algo que este personaje nunca haría, y efectivamente, no lo hace.', 'Pero la historia sigue aceptando todas y cada una de las decisiones de estos.Si te gustan las aventuras, la fantasía, la magia, los mundos alternativos y los romances no forzados, esta es tu serie.']","['historia', 'personajes', 'serie', 'mas', 'mundo', 'puntos', 'animacion', 'veces', 'forma', 'aunque']",4,385,Aventura,"He terminado hoy mismo de ver la tercera temporada de esta serie maravillosa y aunque tenga la emoción del momento trataré de mostrar objetividad.La serie tiene puntos más fuertes y otros más flojos, ..."
"Esta serie tiene ciertas aspectos que la hace única, lo primero su sistema de magia que es de lo más interesante, luego sus diferentes razas son fantásticas.Aparte tiene un potencial grandioso respecto a su universo mágico y sus razas. Los personajes son carismáticos y bien definidos.La animación aunque se nota el 3D y le habría dado mucho mejor aspecto una animación tradicional, es más que suficiente y eficaz para cumplir su papel e introducirte en su esplendido mundo.Espero mucho de las 4 temporadas siguientes, pero lo mejor sería que el protagonista se vuelva el mejor de ese universo.","['Esta serie tiene ciertas aspectos que la hace única, lo primero su sistema de magia que es de lo más interesante, luego sus diferentes razas son fantásticas.Aparte tiene un potencial grandioso respecto a su universo mágico y sus razas.', 'Los personajes son carismáticos y bien definidos.La animación aunque se nota el 3D y le habría dado mucho mejor aspecto una animación tradicional, es más que suficiente y eficaz para cumplir su papel e introducirte en su esplendido mundo.Espero mucho de las 4 temporadas siguientes, pero lo mejor sería que el protagonista se vuelva el mejor de ese universo.']",[],2,386,Aventura,"Esta serie tiene ciertas aspectos que la hace única, lo primero su sistema de magia que es de lo más interesante, luego sus diferentes razas son fantásticas.Aparte tiene un potencial grandioso respect..."
"Como elemento más destacable durante los primeros minutos es que posee una animación 3D no sé si ralentizada o pulida para tener similitudes a la animación más tradicional, en dos dimensiones. No es un elemento negativo, a mí me ha gustado pues nunca he visto algo así.En cuanto a la calidad de la serie, es una serie muy prometedora. Asentada sobre un Universo que me ha recordado enormemente al mundo Warcraft (aunque he leído por ahí que sus similitudes van más hacia otros universos), nos cuenta una historia de amistad, una misión que cumplir y un largo viaje por delante.Esta producción parece destinada a todos los públicos pues, aunque tiene una atmósfera de inocencia propia de la infancia, vemos en los personajes sus dramas, sus inquietudes y sus miedos, y esto conecta más con un adulto que con un infante.Creo que si te gusta el género fantástico te va a gustar. Si no, no se hace pesada de ver (no deja de ser una serie de animación) y es probable que te guste, pues está bien narrada, sus personajes son carismáticos y entretiene bastante.","['Nos encontramos delante de una producción animada del género de fantasía.', 'Como elemento más destacable durante los primeros minutos es que posee una animación 3D no sé si ralentizada o pulida para tener similitudes a la animación más tradicional, en dos dimensiones.', 'A mí particularmente me ha parecido que dota de personalidad a la serie, y cuando llevas un par de capítulos este hecho deja de tener relevancia.', 'No es un elemento negativo, a mí me ha gustado pues nunca he visto algo así.En cuanto a la calidad de la serie, es una serie muy prometedora.', 'Asentada sobre un Universo que me ha recordado enormemente al mundo Warcraft (aunque he leído por ahí que sus similitudes van más hacia otros universos), nos cuenta una historia de amistad, una misión que cumplir y un largo viaje por delante.Esta producción parece destinada a todos los públicos pues, aunque tiene una atmósfera de inocencia propia de la infancia, vemos en los personajes sus dramas, sus inquietudes y sus miedos, y esto conecta más con un adulto que con un infante.Creo que si te gusta el género fantástico te va a gustar.', 'Si no, no se hace pesada de ver (no deja de ser una serie de animación) y es probable que te guste, pues está bien narrada, sus personajes son carismáticos y entretiene bastante.', 'Eso sí, no esperes encontrarte una serie memorable a lo ""Over the Garden Wall"", pues esta no llega a esas cotas.']","['serie', 'mas', 'pues', 'animacion', 'delante', 'produccion', 'genero', 'elemento', 'tener', 'similitudes']",4,387,Aventura,Nos encontramos delante de una producción animada del género de fantasía. Como elemento más destacable durante los primeros minutos es que posee una animación 3D no sé si ralentizada o pulida para ten...
"utilizando un trasfondo muy manido, (fantasía medieval), los creadores de esta serie aprovechan para hablarnos de manera sencilla y con mucho humor de temas muy serios, como la relación entre hermanos, lo que es correcto vs lo que es fácil... Temas universales que nunca pasan de moda.Al contrario que otros usuarios he visto esta serie y posteriormente atraído por el buen hacer de sus creadores quise  ver Avatar y he notado una evolución favorable no solo en un planteamiento menos infantil (avatar estaba emitida pesando en un publico target de 6-11 años y paga un peaje para los que ya somos un poco mayores) sino una agilidad en la historia que hace que los episodios de el príncipe dragón se te queden cortos y estén pensando ya en la tercera temporada.Ideal para un fin de semana de manta y sofá, para toda la familia.","['utilizando un trasfondo muy manido, (fantasía medieval), los creadores de esta serie aprovechan para hablarnos de manera sencilla y con mucho humor de temas muy serios, como la relación entre hermanos, lo que es correcto vs lo que es fácil...', 'Temas universales que nunca pasan de moda.Al contrario que otros usuarios he visto esta serie y posteriormente atraído por el buen hacer de sus creadores quise  ver Avatar y he notado una evolución favorable no solo en un planteamiento menos infantil (avatar estaba emitida pesando en un publico target de 6-11 años y paga un peaje para los que ya somos un poco mayores) sino una agilidad en la historia que hace que los episodios de el príncipe dragón se te queden cortos y estén pensando ya en la tercera temporada.Ideal para un fin de semana de manta y sofá, para toda la familia.']",[],2,388,Aventura,"utilizando un trasfondo muy manido, (fantasía medieval), los creadores de esta serie aprovechan para hablarnos de manera sencilla y con mucho humor de temas muy serios, como la relación entre hermanos..."
"Esta crítica la escribo después de haber visto solo la primera temporada, y tiene base suficiente para mejorar pero a mí no me ha gustado. Además de romper algún estereotipo (que el rey sea negro, añadir un personaje principal sordomudo, que los hermanastros príncipes se lleven bien) tampoco hay mucho que destaque en esta historia. Sobre la trama me da la sensación de que solo cuentan las misiones secundarias, y se están dejando para el final la misión principal en un intento de alargar la historia. Ya que en Avatar: la leyenda de Aang, hubo una gran cantidad de acontecimientos en su primera temporada y cerró con una gran batalla en el polo norte.","['Esta crítica la escribo después de haber visto solo la primera temporada, y tiene base suficiente para mejorar pero a mí no me ha gustado.', 'La sombra de Avatar es demasiado grande y algunos rasgos de esta perduran en la serie (que las temporadas se dividan en libros, la guerra de facciones,...).', 'Además de romper algún estereotipo (que el rey sea negro, añadir un personaje principal sordomudo, que los hermanastros príncipes se lleven bien) tampoco hay mucho que destaque en esta historia.', 'Pero tiene varios fallos graves, para mí el peor es la animación, porque a veces cae los frames o fotogramas y esto hace que los personajes se muevan muy despacio y parezcan erráticos sus movimientos.', 'El humor no es muy ingenioso, incluso llega a ser bastante tonto y simple.', 'Sobre la trama me da la sensación de que solo cuentan las misiones secundarias, y se están dejando para el final la misión principal en un intento de alargar la historia.', 'No ha ocurrido nada destacable en toda la temporada.', 'No es excusa que sea una primera temporada.', 'Ya que en Avatar: la leyenda de Aang, hubo una gran cantidad de acontecimientos en su primera temporada y cerró con una gran batalla en el polo norte.', 'Hay una gran cantidad de animes que en tan solo 12-13 episodios cuentan una buena historia.', 'Espero que mejore en las próximas temporadas y me este equivocando con esta serie.']","['temporada', 'solo', 'primera', 'historia', 'gran', 'avatar', 'serie', 'temporadas', 'principal', 'cuentan']",4,389,Aventura,"Esta crítica la escribo después de haber visto solo la primera temporada, y tiene base suficiente para mejorar pero a mí no me ha gustado. La sombra de Avatar es demasiado grande y algunos rasgos de e..."
"Lejos de ser un calco de ""El señor de los anillos"" o de un manual de ""Dungeons & Dragons"", esta serie nos ofrece todos los elementos necesarios para crear una obra de gran calidad.Los creadores supieron seleccionar muy bien los elementos que querían utilizar y optaron por un ""menos es más"". Basta con añadir elfos, dragones y magia a los castillos y aldeas humanas para crear una narrativa fácil de seguir pero con suficiente contenido y coherencia como para afirmar que no estamos ante un simple cuento. Cabe destacar la profundidad y consistencia de algunos personajes (no todos, desafortunadamente).En definitiva, una serie muy agradable e interesante para todo tipo de público.","['Lejos de ser un calco de ""El señor de los anillos"" o de un manual de ""Dungeons & Dragons"", esta serie nos ofrece todos los elementos necesarios para crear una obra de gran calidad.Los creadores supieron seleccionar muy bien los elementos que querían utilizar y optaron por un ""menos es más"".', 'Basta con añadir elfos, dragones y magia a los castillos y aldeas humanas para crear una narrativa fácil de seguir pero con suficiente contenido y coherencia como para afirmar que no estamos ante un simple cuento.', 'Cabe destacar la profundidad y consistencia de algunos personajes (no todos, desafortunadamente).En definitiva, una serie muy agradable e interesante para todo tipo de público.']",[],3,390,Aventura,"Lejos de ser un calco de ""El señor de los anillos"" o de un manual de ""Dungeons & Dragons"", esta serie nos ofrece todos los elementos necesarios para crear una obra de gran calidad.Los creadores supier..."
