id,termino_1,termino_2,dominio,tipo_esperado,tipo_detectado,similitud_jaccard_caracteres,coincide_con_esperado,observacion
1,alumno,estudiante,academico,sinonimia,sinonimia,0.273,si,Relación detectada por recurso léxico inicial.
2,docente,profesor,academico,sinonimia,sinonimia,0.2,si,Relación detectada por recurso léxico inicial.
3,coche,automovil,general,sinonimia,sinonimia,0.091,si,Relación detectada por recurso léxico inicial.
4,computadora,ordenador,tecnologia,sinonimia,sinonimia,0.364,si,Relación detectada por recurso léxico inicial.
5,evidencia,prueba,academico,sinonimia,sinonimia,0.182,si,Relación detectada por recurso léxico inicial.
6,error,fallo,tecnologia,sinonimia,sinonimia,0.167,si,Relación detectada por recurso léxico inicial.
7,rapido,veloz,general,sinonimia,sinonimia,0.1,si,Relación detectada por recurso léxico inicial.
8,analizar,examinar,general,sinonimia,sinonimia,0.444,si,Relación detectada por recurso léxico inicial.
9,resultado,salida,tecnologia,sinonimia,sinonimia,0.4,si,Relación detectada por recurso léxico inicial.
10,archivo,documento,tecnologia,sinonimia,sinonimia,0.154,si,Relación detectada por recurso léxico inicial.
11,modelo,sistema,tecnologia,sinonimia,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
12,clase,sesion,academico,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
13,tarea,actividad,academico,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
14,evaluacion,examen,academico,sinonimia,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
15,categoria,clase,pln,sinonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
16,oracion,frase,pln,sinonimia,sinonimia,0.222,si,Relación detectada por recurso léxico inicial.
17,token,unidad,pln,sinonimia,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
18,diccionario,lexico,pln,sinonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
19,sentido,significado,pln,sinonimia,sinonimia,0.455,si,Relación detectada por recurso léxico inicial.
20,consulta,busqueda,tecnologia,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
21,animal,perro,general,hiperonimia,hiperonimia,0.0,si,Relación detectada por recurso léxico inicial.
22,vehiculo,automovil,general,hiperonimia,hiperonimia,0.455,si,Relación detectada por recurso léxico inicial.
23,institucion,universidad,academico,hiperonimia,hiperonimia,0.333,si,Relación detectada por recurso léxico inicial.
24,herramienta,parser,pln,hiperonimia,hiperonimia,0.3,si,Relación detectada por recurso léxico inicial.
25,modelo,clasificador,pln,hiperonimia,hiperonimia,0.273,si,Relación detectada por recurso léxico inicial.
26,lenguaje,espanol,pln,hiperonimia,hiperonimia,0.4,si,Relación detectada por recurso léxico inicial.
27,archivo,csv,tecnologia,hiperonimia,hiperonimia,0.25,si,Relación detectada por recurso léxico inicial.
28,documento,pdf,tecnologia,hiperonimia,hiperonimia,0.1,si,Relación detectada por recurso léxico inicial.
29,persona,alumno,academico,hiperonimia,hiperonimia,0.3,si,Relación detectada por recurso léxico inicial.
30,profesionista,ingeniero,academico,hiperonimia,sin_cobertura_lexica,0.455,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
31,tecnica,tokenizacion,pln,hiperonimia,hiperonimia,0.667,si,La similitud superficial es alta; revisar si existe relación semántica no cubierta por el tipo detectado.
32,metrica,precision,pln,hiperonimia,hiperonimia,0.364,si,Relación detectada por recurso léxico inicial.
33,algoritmo,svm,pln,hiperonimia,hiperonimia,0.1,si,Relación detectada por recurso léxico inicial.
34,categoria,sustantivo,pln,hiperonimia,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
35,relacion,sinonimia,pln,hiperonimia,sin_cobertura_lexica,0.4,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
36,estructura,arbol,pln,hiperonimia,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
37,recurso,diccionario,pln,hiperonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
38,texto,noticia,pln,hiperonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
39,evento,entrega,academico,hiperonimia,sin_cobertura_lexica,0.375,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
40,sistema,plataforma,tecnologia,hiperonimia,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
41,automovil,motor,general,meronimia,meronimia,0.333,si,Relación detectada por recurso léxico inicial.
42,computadora,teclado,tecnologia,meronimia,meronimia,0.455,si,Relación detectada por recurso léxico inicial.
43,oracion,sujeto,pln,meronimia,meronimia,0.091,si,Relación detectada por recurso léxico inicial.
44,oracion,predicado,pln,meronimia,meronimia,0.556,si,Relación detectada por recurso léxico inicial.
45,arbol,rama,general,meronimia,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
46,universidad,aula,academico,meronimia,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
47,documento,pagina,tecnologia,meronimia,meronimia,0.083,si,Relación detectada por recurso léxico inicial.
48,archivo,encabezado,tecnologia,meronimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
