escenario,id_consulta,consulta,consulta_ajustada,dominio_esperado,relevancia_esperada,rank,id_documento,texto_documento,dominio_documento,relevancia_documento,score_coseno,es_relevante
con_ajuste,1,apoyo economico para estudiantes destacados,apoyo economico para estudiantes destacados alumnos beca becas,educacion,educacion_becas,1,1,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,educacion_becas,0.3864,True
con_ajuste,1,apoyo economico para estudiantes destacados,apoyo economico para estudiantes destacados alumnos beca becas,educacion,educacion_becas,2,2,Una universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,educacion_becas,0.3775,True
con_ajuste,1,apoyo economico para estudiantes destacados,apoyo economico para estudiantes destacados alumnos beca becas,educacion,educacion_becas,3,3,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado. El informe quedó registrado para revisión posterior.,educacion,educacion_becas,0.3666,True
con_ajuste,1,apoyo economico para estudiantes destacados,apoyo economico para estudiantes destacados alumnos beca becas,educacion,educacion_becas,4,63,El reporte económico señaló aumento de inflación durante el trimestre. El informe quedó registrado para revisión posterior.,economia,economia_inflacion,0.1157,False
con_ajuste,1,apoyo economico para estudiantes destacados,apoyo economico para estudiantes destacados alumnos beca becas,educacion,educacion_becas,5,61,El reporte económico señaló aumento de inflación durante el trimestre.,economia,economia_inflacion,0.1127,False
con_ajuste,2,entrega de evidencias en plataforma virtual,entrega de evidencias en plataforma virtual,educacion,educacion_plataforma,1,7,La plataforma virtual registró la entrega de evidencias del curso.,educacion,educacion_plataforma,0.654,True
con_ajuste,2,entrega de evidencias en plataforma virtual,entrega de evidencias en plataforma virtual,educacion,educacion_plataforma,2,8,Una plataforma virtual registró la entrega de evidencias del curso.,educacion,educacion_plataforma,0.6473,True
con_ajuste,2,entrega de evidencias en plataforma virtual,entrega de evidencias en plataforma virtual,educacion,educacion_plataforma,3,9,La plataforma virtual registró la entrega de evidencias del curso. El informe quedó registrado para revisión posterior.,educacion,educacion_plataforma,0.588,True
con_ajuste,2,entrega de evidencias en plataforma virtual,entrega de evidencias en plataforma virtual,educacion,educacion_plataforma,4,118,La API permitió integrar servicios externos con la plataforma interna.,tecnologia,tecnologia_api,0.0721,False
con_ajuste,2,entrega de evidencias en plataforma virtual,entrega de evidencias en plataforma virtual,educacion,educacion_plataforma,5,119,Una API permitió integrar servicios externos con la plataforma interna.,tecnologia,tecnologia_api,0.072,False
con_ajuste,3,asesoria academica para proyecto integrador,asesoria academica para proyecto integrador,educacion,educacion_tutoria,1,28,"El proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,educacion_proyecto,0.3836,False
con_ajuste,3,asesoria academica para proyecto integrador,asesoria academica para proyecto integrador,educacion,educacion_tutoria,2,29,"Un proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,educacion_proyecto,0.3792,False
con_ajuste,3,asesoria academica para proyecto integrador,asesoria academica para proyecto integrador,educacion,educacion_tutoria,3,30,"El proyecto integrador documentó objetivos, dataset y resultados de aprendizaje. El informe quedó registrado para revisión posterior.",educacion,educacion_proyecto,0.3587,False
con_ajuste,3,asesoria academica para proyecto integrador,asesoria academica para proyecto integrador,educacion,educacion_tutoria,4,21,La biblioteca digital agregó nuevos recursos de investigación académica. El informe quedó registrado para revisión posterior.,educacion,educacion_biblioteca,0.1321,False
con_ajuste,3,asesoria academica para proyecto integrador,asesoria academica para proyecto integrador,educacion,educacion_tutoria,5,19,La biblioteca digital agregó nuevos recursos de investigación académica.,educacion,educacion_biblioteca,0.1286,False
con_ajuste,4,recursos digitales para investigacion universitaria,recursos digitales para investigacion universitaria,educacion,educacion_biblioteca,1,19,La biblioteca digital agregó nuevos recursos de investigación académica.,educacion,educacion_biblioteca,0.2589,True
con_ajuste,4,recursos digitales para investigacion universitaria,recursos digitales para investigacion universitaria,educacion,educacion_biblioteca,2,20,Una biblioteca digital agregó nuevos recursos de investigación académica.,educacion,educacion_biblioteca,0.2559,True
con_ajuste,4,recursos digitales para investigacion universitaria,recursos digitales para investigacion universitaria,educacion,educacion_biblioteca,3,21,La biblioteca digital agregó nuevos recursos de investigación académica. El informe quedó registrado para revisión posterior.,educacion,educacion_biblioteca,0.2525,True
con_ajuste,4,recursos digitales para investigacion universitaria,recursos digitales para investigacion universitaria,educacion,educacion_biblioteca,4,84,La reforma ajustó reglas de impuestos para contribuyentes digitales. El informe quedó registrado para revisión posterior.,economia,economia_impuestos,0.1815,False
con_ajuste,4,recursos digitales para investigacion universitaria,recursos digitales para investigacion universitaria,educacion,educacion_biblioteca,5,82,La reforma ajustó reglas de impuestos para contribuyentes digitales.,economia,economia_impuestos,0.1814,False
con_ajuste,5,atencion urgente para pacientes accidentados,atencion urgente para pacientes accidentados,salud,salud_emergencia,1,31,El hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios.,salud,salud_hospital,0.3879,False
con_ajuste,5,atencion urgente para pacientes accidentados,atencion urgente para pacientes accidentados,salud,salud_emergencia,2,32,Un hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios.,salud,salud_hospital,0.3865,False
con_ajuste,5,atencion urgente para pacientes accidentados,atencion urgente para pacientes accidentados,salud,salud_emergencia,3,33,El hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios. El informe quedó registrado para revisión posterior.,salud,salud_hospital,0.3674,False
con_ajuste,5,atencion urgente para pacientes accidentados,atencion urgente para pacientes accidentados,salud,salud_emergencia,4,54,La clínica rural amplió sus horarios de atención primaria. El informe quedó registrado para revisión posterior.,salud,salud_clinica,0.1311,False
con_ajuste,5,atencion urgente para pacientes accidentados,atencion urgente para pacientes accidentados,salud,salud_emergencia,5,51,El área de urgencias recibió pacientes después del accidente vial. El informe quedó registrado para revisión posterior.,salud,salud_emergencia,0.1267,True
con_ajuste,6,tratamiento medico despues de diagnostico,tratamiento medico despues de diagnostico,salud,salud_diagnostico,1,37,El diagnóstico temprano permitió iniciar tratamiento antes de complicaciones.,salud,salud_diagnostico,0.3074,True
con_ajuste,6,tratamiento medico despues de diagnostico,tratamiento medico despues de diagnostico,salud,salud_diagnostico,2,38,Un diagnóstico temprano permitió iniciar tratamiento antes de complicaciones.,salud,salud_diagnostico,0.3038,True
con_ajuste,6,tratamiento medico despues de diagnostico,tratamiento medico despues de diagnostico,salud,salud_diagnostico,3,39,El diagnóstico temprano permitió iniciar tratamiento antes de complicaciones. El informe quedó registrado para revisión posterior.,salud,salud_diagnostico,0.2734,True
