,aclaracion_calificacion,consulta-proyecto,consulta_concepto,consulta_horario,consulta_proyecto,entrega actividad,entrega_actividad,saludo_cierre,soporte técnico,soporte_tecncio,soporte_tecnico,tramite admin,tramite_administrativo
aclaracion_calificacion,4,0,0,0,0,0,0,0,0,0,0,0,0
consulta-proyecto,0,0,0,0,1,0,0,0,0,0,0,0,0
consulta_concepto,0,0,5,0,0,0,0,0,0,0,0,0,0
consulta_horario,0,0,0,5,0,0,0,0,0,0,0,0,0
consulta_proyecto,0,0,1,0,2,0,0,0,0,0,0,0,0
entrega actividad,0,0,0,0,0,0,0,0,0,0,0,0,0
entrega_actividad,0,0,0,0,0,0,5,0,0,0,0,0,0
saludo_cierre,0,0,0,0,0,0,0,4,0,0,0,0,0
soporte técnico,0,0,0,0,0,0,0,0,0,0,0,0,0
soporte_tecncio,0,0,0,0,0,0,0,0,0,0,0,0,0
soporte_tecnico,0,0,0,0,0,0,0,0,0,0,5,0,0
tramite admin,0,0,0,0,0,0,0,0,0,0,0,0,0
tramite_administrativo,0,0,0,0,0,0,0,0,0,0,0,0,4
