id,valor_original,valor_final,justificacion
1,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
6,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
11,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
16,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
21,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
26,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
31,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
36,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
41,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
46,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
51,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
56,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
61,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
66,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
71,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
76,consulta-informacion,consulta_informacion,Normalización de variantes de la misma intención: se unifican etiquetas con guion medio y subrayado para evitar inconsistencia en la clasificación supervisada.
