id,termino_1,termino_2,dominio,tipo_esperado,tipo_detectado,similitud_jaccard_caracteres,coincide_con_esperado,observacion
11,modelo,sistema,tecnologia,sinonimia,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
12,clase,sesion,academico,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
13,tarea,actividad,academico,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
14,evaluacion,examen,academico,sinonimia,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
15,categoria,clase,pln,sinonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
17,token,unidad,pln,sinonimia,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
18,diccionario,lexico,pln,sinonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
20,consulta,busqueda,tecnologia,sinonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
30,profesionista,ingeniero,academico,hiperonimia,sin_cobertura_lexica,0.455,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
34,categoria,sustantivo,pln,hiperonimia,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
35,relacion,sinonimia,pln,hiperonimia,sin_cobertura_lexica,0.4,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
36,estructura,arbol,pln,hiperonimia,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
37,recurso,diccionario,pln,hiperonimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
38,texto,noticia,pln,hiperonimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
39,evento,entrega,academico,hiperonimia,sin_cobertura_lexica,0.375,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
40,sistema,plataforma,tecnologia,hiperonimia,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
45,arbol,rama,general,meronimia,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
46,universidad,aula,academico,meronimia,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
48,archivo,encabezado,tecnologia,meronimia,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
55,modelo,parametro,pln,meronimia,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
56,lexico,entrada,pln,meronimia,sin_cobertura_lexica,0.091,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
57,red,nodo,tecnologia,meronimia,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
59,examen,pregunta,academico,meronimia,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
60,programa,modulo,tecnologia,meronimia,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
72,formal,informal,pln,antonimia,sin_cobertura_lexica,0.75,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
73,global,local,general,antonimia,sin_cobertura_lexica,0.5,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
74,abierto,cerrado,general,antonimia,sin_cobertura_lexica,0.444,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
76,entrada,salida,tecnologia,antonimia,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
77,mayor,menor,general,antonimia,sin_cobertura_lexica,0.429,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
78,exacto,aproximado,general,antonimia,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
79,estable,inestable,general,antonimia,sin_cobertura_lexica,0.75,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
80,frecuente,raro,pln,antonimia,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
93,gobierno,presupuesto,politica,relacion_contextual,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
94,noticia,periodico,comunicacion,relacion_contextual,sin_cobertura_lexica,0.3,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
95,red,usuario,tecnologia,relacion_contextual,sin_cobertura_lexica,0.125,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
96,investigador,experimento,academico,relacion_contextual,sin_cobertura_lexica,0.429,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
