id,texto,dominio,tema,relevancia_grupo
1,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,becas,educacion_becas
2,Una universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,becas,educacion_becas
3,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado. El informe quedó registrado para revisión posterior.,educacion,becas,educacion_becas
4,El comité anunció apoyos económicos para alumnos con alto desempeño.,educacion,becas,educacion_becas
5,Un comité anunció apoyos económicos para alumnos con alto desempeño.,educacion,becas,educacion_becas
6,El comité anunció apoyos económicos para alumnos con alto desempeño. El informe quedó registrado para revisión posterior.,educacion,becas,educacion_becas
7,La plataforma virtual registró la entrega de evidencias del curso.,educacion,plataforma,educacion_plataforma
8,Una plataforma virtual registró la entrega de evidencias del curso.,educacion,plataforma,educacion_plataforma
9,La plataforma virtual registró la entrega de evidencias del curso. El informe quedó registrado para revisión posterior.,educacion,plataforma,educacion_plataforma
10,El programa de tutoría atendió dudas sobre proyectos integradores.,educacion,tutoria,educacion_tutoria
11,Un programa de tutoría atendió dudas sobre proyectos integradores.,educacion,tutoria,educacion_tutoria
12,El programa de tutoría atendió dudas sobre proyectos integradores. El informe quedó registrado para revisión posterior.,educacion,tutoria,educacion_tutoria
13,"La evaluación práctica revisó código, resultados y explicación técnica.",educacion,evaluacion,educacion_evaluacion
14,"Una evaluación práctica revisó código, resultados y explicación técnica.",educacion,evaluacion,educacion_evaluacion
15,"La evaluación práctica revisó código, resultados y explicación técnica. El informe quedó registrado para revisión posterior.",educacion,evaluacion,educacion_evaluacion
16,El departamento escolar abrió el proceso de inscripción semestral.,educacion,inscripcion,educacion_inscripcion
17,Un departamento escolar abrió el proceso de inscripción semestral.,educacion,inscripcion,educacion_inscripcion
18,El departamento escolar abrió el proceso de inscripción semestral. El informe quedó registrado para revisión posterior.,educacion,inscripcion,educacion_inscripcion
19,La biblioteca digital agregó nuevos recursos de investigación académica.,educacion,biblioteca,educacion_biblioteca
20,Una biblioteca digital agregó nuevos recursos de investigación académica.,educacion,biblioteca,educacion_biblioteca
21,La biblioteca digital agregó nuevos recursos de investigación académica. El informe quedó registrado para revisión posterior.,educacion,biblioteca,educacion_biblioteca
22,El docente explicó modelos de lenguaje con ejemplos de código.,educacion,clase,educacion_clase
23,Un docente explicó modelos de lenguaje con ejemplos de código.,educacion,clase,educacion_clase
