indice_prueba,texto,etiqueta_real,prediccion,correcto,confianza
0,Necesito dar de baja mi suscripción porque ya no la utilizaré en el portal institucional.,cancelacion,cancelacion,True,0.476406
1,Quiero actualizar el correo asociado a mi cuenta de servicios antes del cierre.,tramite,tramite,True,0.561155
2,La plataforma no reconoce mis credenciales desde esta mañana hoy.,soporte_tecnico,soporte_tecnico,True,0.591506
3,Busco información para comprobar que mi depósito fue reconocido.,pago,pago,True,0.551831
4,Necesito validar un pago que hice mediante transferencia bancaria desde ayer.,pago,pago,True,0.642351
5,Quiero registrar un incidente que puede afectar la seguridad del grupo en el portal institucional.,urgencia,urgencia,True,0.338737
6,"Quiero registrar un incidente que puede afectar la seguridad del grupo, hoy.",urgencia,urgencia,True,0.401435
7,"Quiero saber si existe apoyo financiero para continuar mis estudios, para este periodo.",consulta_informacion,consulta_informacion,True,0.531712
8,Realicé una transferencia y quiero verificar el estado del pago en el portal institucional.,pago,pago,True,0.630553
9,"Se requiere atención inmediata por una lesión que está sangrando, antes del cierre.",urgencia,urgencia,True,0.520358
10,Necesito cancelar la renovación automática de mi plan para este periodo.,cancelacion,cancelacion,True,0.600171
11,La coordinación publicó información sobre estímulos para estudiantes destacados en el portal institucional.,consulta_informacion,consulta_informacion,True,0.564617
12,"Un alumno presenta dolor intenso y requiere valoración urgente, en el portal institucional.",urgencia,urgencia,True,0.535716
13,Requiero información sobre los horarios de consulta médica general hoy.,consulta_informacion,consulta_informacion,True,0.679551
14,¿Qué especialidades médicas están disponibles para los estudiantes en el portal institucional.,consulta_informacion,consulta_informacion,True,0.448889
15,"Se requiere atención inmediata por una lesión que está sangrando, hoy.",urgencia,urgencia,True,0.582648
16,Necesito saber dónde consultar recomendaciones de salud institucional desde ayer.,consulta_informacion,consulta_informacion,True,0.602749
17,"Quiero cancelar mi participación en el curso de este periodo, hoy.",cancelacion,cancelacion,True,0.604886
18,¿Dónde puedo modificar los datos asociados a mi servicio?,tramite,tramite,True,0.445144
19,Quiero cancelar el servicio antes del siguiente periodo de cobro antes del cierre.,cancelacion,cancelacion,True,0.689054
20,Quiero aclarar por qué se generó dos veces el mismo cargo antes del cierre.,pago,pago,True,0.603048
21,Hay una persona inconsciente y necesitamos contactar atención médica.,urgencia,urgencia,True,0.713534
22,¿Dónde puedo modificar los datos asociados a mi servicio hoy.,tramite,tramite,True,0.421399
23,"¿Dónde puedo solicitar la baja definitiva del servicio, desde ayer.",cancelacion,cancelacion,True,0.537681
24,El sistema se detiene cuando intento cargar un archivo PDF.,soporte_tecnico,soporte_tecnico,True,0.587773
25,Se requiere atención inmediata por una lesión que está sangrando en el portal institucional.,urgencia,urgencia,True,0.489729
26,¿Dónde puedo modificar los datos asociados a mi servicio antes del cierre.,tramite,tramite,True,0.38187
27,Necesito actualizar una materia dentro de mi proceso de inscripción.,tramite,tramite,True,0.59839
28,"Necesito revisar un cobro que no reconozco en mi cuenta, antes del cierre.",pago,pago,True,0.635119
29,Quiero saber si existe apoyo financiero para continuar mis estudios hoy.,consulta_informacion,consulta_informacion,True,0.553689
30,"Quiero registrar un incidente que puede afectar la seguridad del grupo, antes del cierre.",urgencia,urgencia,True,0.353707
31,Busco requisitos para solicitar una beca universitaria este periodo.,consulta_informacion,consulta_informacion,True,0.474738
32,Necesito comprobar el origen de un cobro registrado esta semana.,pago,pago,True,0.644628
33,"¿Cómo puedo consultar los resultados de una convocatoria de beca, antes del cierre.",consulta_informacion,consulta_informacion,True,0.587597
34,Necesito atención médica inmediata porque una persona se desmayó antes del cierre.,urgencia,urgencia,True,0.640961
35,Necesito restablecer la clave porque no puedo entrar al portal.,soporte_tecnico,soporte_tecnico,True,0.651625
36,Se requiere atención inmediata por una lesión que está sangrando esta semana.,urgencia,urgencia,True,0.553973
37,Necesito corregir un dato antes de concluir mi registro académico.,tramite,tramite,True,0.644664
38,"Aparece una excepción después de presionar el botón de enviar, esta semana.",soporte_tecnico,soporte_tecnico,True,0.594497
39,La plataforma no reconoce mis credenciales desde esta mañana.,soporte_tecnico,soporte_tecnico,True,0.599546
40,"¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño, antes del cierre.",consulta_informacion,consulta_informacion,True,0.628911
41,"El domicilio registrado ya no es correcto y quiero actualizarlo, esta semana.",tramite,tramite,True,0.542343
42,"Necesitamos apoyo médico inmediato por un accidente en el campus, hoy.",urgencia,urgencia,True,0.672583
43,¿Qué especialidades médicas están disponibles para los estudiantes?,consulta_informacion,consulta_informacion,True,0.586133
44,"El sistema muestra una comisión adicional que no esperaba, esta semana.",pago,pago,True,0.551578
45,Necesito dar de baja mi suscripción porque ya no la utilizaré.,cancelacion,cancelacion,True,0.488602
46,La médica avisó a la enfermera que ella debía atender de inmediato al estudiante.,urgencia,soporte_tecnico,False,0.211545
47,¿Cuánto tiempo tarda en reflejarse un pago en el sistema?,pago,pago,True,0.554161
48,Una persona desconocida intenta ingresar a un área restringida esta semana.,urgencia,urgencia,True,0.608085
49,"Necesito completar el registro de materias para el nuevo cuatrimestre, antes del cierre.",tramite,tramite,True,0.549652
50,¿Dónde presento la solicitud para retirar una asignatura hoy.,cancelacion,cancelacion,True,0.553279
51,"Quiero saber cómo registrar el pago correspondiente al periodo, hoy.",pago,pago,True,0.567382
52,"¿Qué pasos debo seguir para formalizar mi inscripción, en el portal institucional.",tramite,tramite,True,0.512538
