id,texto,dominio,tema,relevancia_grupo,texto_limpio
1,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,becas,educacion_becas,la universidad publico una convocatoria de becas academicas para estudiantes de posgrado
2,Una universidad publicó una convocatoria de becas académicas para estudiantes de posgrado.,educacion,becas,educacion_becas,una universidad publico una convocatoria de becas academicas para estudiantes de posgrado
3,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado. El informe quedó registrado para revisión posterior.,educacion,becas,educacion_becas,la universidad publico una convocatoria de becas academicas para estudiantes de posgrado el informe quedo registrado para revision posterior
4,El comité anunció apoyos económicos para alumnos con alto desempeño.,educacion,becas,educacion_becas,el comite anuncio apoyos economicos para alumnos con alto desempeno
5,Un comité anunció apoyos económicos para alumnos con alto desempeño.,educacion,becas,educacion_becas,un comite anuncio apoyos economicos para alumnos con alto desempeno
6,El comité anunció apoyos económicos para alumnos con alto desempeño. El informe quedó registrado para revisión posterior.,educacion,becas,educacion_becas,el comite anuncio apoyos economicos para alumnos con alto desempeno el informe quedo registrado para revision posterior
7,La plataforma virtual registró la entrega de evidencias del curso.,educacion,plataforma,educacion_plataforma,la plataforma virtual registro la entrega de evidencias del curso
8,Una plataforma virtual registró la entrega de evidencias del curso.,educacion,plataforma,educacion_plataforma,una plataforma virtual registro la entrega de evidencias del curso
9,La plataforma virtual registró la entrega de evidencias del curso. El informe quedó registrado para revisión posterior.,educacion,plataforma,educacion_plataforma,la plataforma virtual registro la entrega de evidencias del curso el informe quedo registrado para revision posterior
10,El programa de tutoría atendió dudas sobre proyectos integradores.,educacion,tutoria,educacion_tutoria,el programa de tutoria atendio dudas sobre proyectos integradores
11,Un programa de tutoría atendió dudas sobre proyectos integradores.,educacion,tutoria,educacion_tutoria,un programa de tutoria atendio dudas sobre proyectos integradores
12,El programa de tutoría atendió dudas sobre proyectos integradores. El informe quedó registrado para revisión posterior.,educacion,tutoria,educacion_tutoria,el programa de tutoria atendio dudas sobre proyectos integradores el informe quedo registrado para revision posterior
13,"La evaluación práctica revisó código, resultados y explicación técnica.",educacion,evaluacion,educacion_evaluacion,la evaluacion practica reviso codigo resultados y explicacion tecnica
14,"Una evaluación práctica revisó código, resultados y explicación técnica.",educacion,evaluacion,educacion_evaluacion,una evaluacion practica reviso codigo resultados y explicacion tecnica
15,"La evaluación práctica revisó código, resultados y explicación técnica. El informe quedó registrado para revisión posterior.",educacion,evaluacion,educacion_evaluacion,la evaluacion practica reviso codigo resultados y explicacion tecnica el informe quedo registrado para revision posterior
