metrica,detalle,valor
numero_registros,total,480
numero_columnas,total,5
nulos,total,0
nulos_por_columna,id,0
nulos_por_columna,texto,0
nulos_por_columna,dominio,0
nulos_por_columna,etiqueta,0
nulos_por_columna,grupo_relevancia,0
duplicados_texto,texto,0
distribucion_dominio,educacion,120
distribucion_dominio,finanzas,40
distribucion_dominio,salud,80
distribucion_dominio,seguridad,40
distribucion_dominio,servicios,120
distribucion_dominio,tecnologia,80
catalogo_etiquetas,cancelacion,80
catalogo_etiquetas,consulta-informacion,16
catalogo_etiquetas,consulta_informacion,64
catalogo_etiquetas,pago,80
catalogo_etiquetas,soporte_tecnico,80
catalogo_etiquetas,tramite,80
catalogo_etiquetas,urgencia,80
