id,texto,tipo_esperado,raiz_detectada,sujeto_detectado,objeto_detectado,dependencias_principales,posible_dificultad,observacion_automatica
1,El estudiante analiza el texto,simple,['analiza'],estudiante,texto,"det(estudiante, El) | nsubj(analiza, estudiante) | ROOT(analiza, analiza) | det(texto, el) | obj(analiza, texto)",Baja,Estructura analizada sin anomalías.
2,La profesora revisa la evidencia,simple,['evidencia'],profesora,No detectado,"det(profesora, La) | nsubj(evidencia, profesora) | amod(profesora, revisa) | det(evidencia, la) | ROOT(evidencia, evidencia)",Baja,Estructura analizada sin anomalías.
3,El parser genera un árbol,simple,['genera'],parser,árbol,"det(parser, El) | nsubj(genera, parser) | ROOT(genera, genera) | det(árbol, un) | obj(genera, árbol)",Baja,Estructura analizada sin anomalías.
4,El modelo procesa la oración,simple,['modelo'],No detectado,No detectado,"det(modelo, El) | ROOT(modelo, modelo) | amod(modelo, procesa) | det(oración, la) | appos(modelo, oración)",Baja,Estructura analizada sin anomalías.
5,La alumna identifica la raíz,simple,['identifica'],alumna,raíz,"det(alumna, La) | nsubj(identifica, alumna) | ROOT(identifica, identifica) | det(raíz, la) | obj(identifica, raíz)",Baja,Estructura analizada sin anomalías.
6,El sistema clasifica el documento,simple,['clasifica'],sistema,documento,"det(sistema, El) | nsubj(clasifica, sistema) | ROOT(clasifica, clasifica) | det(documento, el) | obj(clasifica, documento)",Baja,Estructura analizada sin anomalías.
7,La herramienta detecta el sujeto,simple,['herramienta'],No detectado,No detectado,"det(herramienta, La) | ROOT(herramienta, herramienta) | amod(herramienta, detecta) | det(sujeto, el) | appos(herramienta, sujeto)",Baja,Estructura analizada sin anomalías.
8,El algoritmo compara resultados,simple,['compara'],algoritmo,resultados,"det(algoritmo, El) | nsubj(compara, algoritmo) | ROOT(compara, compara) | obj(compara, resultados)",Baja,Estructura analizada sin anomalías.
9,La gramática reconoce la estructura,simple,['reconoce'],gramática,estructura,"det(gramática, La) | nsubj(reconoce, gramática) | ROOT(reconoce, reconoce) | det(estructura, la) | obj(reconoce, estructura)",Baja,Estructura analizada sin anomalías.
10,El programa exporta la tabla,simple,['exporta'],programa,tabla,"det(programa, El) | nsubj(exporta, programa) | ROOT(exporta, exporta) | det(tabla, la) | obj(exporta, tabla)",Baja,Estructura analizada sin anomalías.
