consulta_id,posicion,id_documento,score,intencion_relevante,intencion_documento,es_relevante
Q01,1,20,0.355814,educacion_beca,educacion_beca,True
Q01,2,4,0.340152,educacion_beca,educacion_beca,True
Q01,3,12,0.335052,educacion_beca,educacion_beca,True
Q02,1,43,0.239401,salud_informacion,salud_informacion,True
Q02,2,49,0.238607,salud_informacion,salud_informacion,True
Q02,3,51,0.22226,salud_informacion,salud_informacion,True
Q03,1,103,0.524833,tecnologia_acceso,tecnologia_acceso,True
Q03,2,87,0.495187,tecnologia_acceso,tecnologia_acceso,True
Q03,3,115,0.493863,tecnologia_acceso,tecnologia_acceso,True
Q04,1,131,0.269513,tecnologia_error,tecnologia_error,True
Q04,2,123,0.254772,tecnologia_error,tecnologia_error,True
Q04,3,139,0.249688,tecnologia_error,tecnologia_error,True
Q05,1,321,0.233854,educacion_inscripcion,servicios_cancelacion,False
Q05,2,187,0.219831,educacion_inscripcion,educacion_inscripcion,True
Q05,3,179,0.216993,educacion_inscripcion,educacion_inscripcion,True
Q06,1,128,0.324259,servicios_actualizacion,tecnologia_error,False
Q06,2,136,0.300194,servicios_actualizacion,tecnologia_error,False
Q06,3,144,0.299714,servicios_actualizacion,tecnologia_error,False
Q07,1,249,0.394647,finanzas_pago,finanzas_pago,True
Q07,2,241,0.366277,finanzas_pago,finanzas_pago,True
Q07,3,257,0.366239,finanzas_pago,finanzas_pago,True
Q08,1,290,0.605713,servicios_cobro,servicios_cobro,True
Q08,2,306,0.580451,servicios_cobro,servicios_cobro,True
Q08,3,282,0.577029,servicios_cobro,servicios_cobro,True
Q09,1,327,0.304,servicios_cancelacion,servicios_cancelacion,True
Q09,2,335,0.274824,servicios_cancelacion,servicios_cancelacion,True
Q09,3,343,0.274262,servicios_cancelacion,servicios_cancelacion,True
Q10,1,363,0.473454,educacion_baja,educacion_baja,True
Q10,2,371,0.439884,educacion_baja,educacion_baja,True
Q10,3,379,0.439157,educacion_baja,educacion_baja,True
Q11,1,425,0.389325,salud_urgencia,salud_urgencia,True
Q11,2,409,0.36772,salud_urgencia,salud_urgencia,True
Q11,3,416,0.366153,salud_urgencia,salud_urgencia,True
Q12,1,459,0.190191,seguridad_incidente,seguridad_incidente,True
Q12,2,443,0.178112,seguridad_incidente,seguridad_incidente,True
Q12,3,451,0.174333,seguridad_incidente,seguridad_incidente,True
