resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"Sin embargo, Kaos nos retrotrae a una en concreto, American Gods, esa brillante adaptación de la novela del gran Neil Gaiman que cautivó con su explosiva primera temporada y tras dos más fue cancelada por los problemas fuera de cámara.¿Por qué esta serie en concreto? Así de simple, con sus mismas personalidades, caprichos y desenfrenos, en un mundo alternativo en el que Dios, en mayúsculas, no existe, sino que se rinde culto a los grandes nombres griegos, de la misma forma que en la antigüedad.Si tuviéramos que resumir la premisa común sería la imperiosa necesidad que esos dioses tienen de mantener su poder a costa de la humanidad. *La premisa de KaosLa showrunner de Kaos nos presenta a la familia de dioses griegos por excelencia, en su máximo nivel de poder, cuya veneración por parte de los humanos se mantiene intacta, salvo por esos pocos escépticos de la casa troyana, cargados de motivos para odiar a los que consideran sus enemigos y absolutamente ausentes al sufrimiento de sus siervos.Es a partir de la pequeña duda desde donde parte esta serie, de ese Zeus que, a pesar de saberse omnipotente e infalible, empieza a acusar el peso de la incertidumbre, esto es, algo que escapa a su omnisciencia. *Rostros divinos y humanosPara lograr este fantástico personaje, en definitiva el que más juego debe dar, la creadora de Kaos fichó a última hora porque en principio estaba atado Hugh Grant, al genial Jeff Goldblum, que aporta a su Zeus una serie de matices sabrosísimos, juguetones y necesariamente macabros.","['*Inevitable referenciaNo vamos ahora a descubrir América enumerando la enorme lista de títulos que han adaptado con mayor o menor acierto la literatura mitológica.', 'Los mejores están en nuestra memoria, siendo que casi todos argumentan siempre desde un prisma antiguo, trasladándonos a la edad dorada de los mitos sobre Heracles o Perseo, las sádicas ambiciones de Ares e incluso los introspectivos viajes epopéyicos.', 'Sin embargo, Kaos nos retrotrae a una en concreto, American Gods, esa brillante adaptación de la novela del gran Neil Gaiman que cautivó con su explosiva primera temporada y tras dos más fue cancelada por los problemas fuera de cámara.¿Por qué esta serie en concreto?', 'Fácil, porque junta las dos bases más definitorias de ambas propuestas: mitología y actualidad.', 'Es decir, ya no rebobinamos para recrear un tiempo de espadas y flechas, sino que vemos a los mismos dioses reinar, en mayor o menor medida, en el presente.', 'Quizá aquí esté la diferencia sustancial entre las dos, pues mientras la de 2017 nos muestra a unas divinidades en decadencia, caídas en el olvido y en guerra con los nuevos ídolos (tecnologías y demás), la de 2024 coge a las mismas deidades del pasado y las suelta en nuestros días.', 'Así de simple, con sus mismas personalidades, caprichos y desenfrenos, en un mundo alternativo en el que Dios, en mayúsculas, no existe, sino que se rinde culto a los grandes nombres griegos, de la misma forma que en la antigüedad.Si tuviéramos que resumir la premisa común sería la imperiosa necesidad que esos dioses tienen de mantener su poder a costa de la humanidad.', 'Tanto Kaos como American Gods reflejan a unos seres ensimismados pero sabedores de la necesidad de almas para sobrevivir, para seguir siendo eternos.', 'Si bien es cierto, Charlie Covell, la creadora, lo hace de una manera mucho más directa, porque le interesa ahondar en otros aspectos.', '*La premisa de KaosLa showrunner de Kaos nos presenta a la familia de dioses griegos por excelencia, en su máximo nivel de poder, cuya veneración por parte de los humanos se mantiene intacta, salvo por esos pocos escépticos de la casa troyana, cargados de motivos para odiar a los que consideran sus enemigos y absolutamente ausentes al sufrimiento de sus siervos.Es a partir de la pequeña duda desde donde parte esta serie, de ese Zeus que, a pesar de saberse omnipotente e infalible, empieza a acusar el peso de la incertidumbre, esto es, algo que escapa a su omnisciencia.', 'De ahí hacia la absoluta anarquía, os podéis imaginar el resto.', 'El rey de los dioses del Olimpo piensa que ha abandonado su supremacista personalidad, y a pesar de haber jurado no querer ser como su padre Crono, su tristeza existencial se torna de nuevo tiránica.', '*Rostros divinos y humanosPara lograr este fantástico personaje, en definitiva el que más juego debe dar, la creadora de Kaos fichó a última hora porque en principio estaba atado Hugh Grant, al genial Jeff Goldblum, que aporta a su Zeus una serie de matices sabrosísimos, juguetones y necesariamente macabros.', 'Es la elección perfecta porque la serie tiene una clara carga de humor negro, por lo que el actor debe ir virando de un espectro a otro sin parar.', 'Y qué queréis que os diga, si la primera secuencia es la apoteósica voz en off de Prometeo narrando la presentación de Zeus, con Money for nothing de Dire Straits... imposible comenzar con mejor pie.El resto del reparto es igualmente maravilloso, sin duda uno de los motivos por los que esta serie crece sobremanera.', 'Un titánico Jeff Goldblum, nunca mejor dicho, está muy bien emparentado en la ficción con la vanidosa Hera de Janet McTeer, el cachondo Poseidón de Cliff Curtis, un lógicamente atormentado Hades de David Thewlis, y el inmaduro Dionisio de Nabhaan Rizwan.', 'A esta enfermiza familia se suman los humanos arcos principales de Killiam Scott, haciendo de Orfeo, Aurora Perineau, encarnando a Riddy, y Misia Butler como Caneus.', '*De profecías y mitosSi algo destaca en Kaos más allá de sus buenas interpretaciones o lo evidente del atractivo argumento, es la dualidad que la showrunner nos presenta de manera constante y con una clara evolución ascendente del primero al octavo y último episodio.', 'Es la indisoluble confrontación entre realidades la que define esta serie.', 'Primeramente a través de ese subyacente fundamento del bien y el mal, que se comporta de forma convencional y totalmente reconocible, pues da sentido último al cómputo general.', 'Después tenemos otras dualidades muy interesantes como sacrificio y libertad, sangre y abandono o destino y autodeterminación.Pero la más clara, que marca casi todos los arcos narrativos, es la que viaja siempre reflexionando sobre el sentido de la vida.', '¿Qué es ser humano?', 'Sin miedo a desvelar spoilers, diremos que los personajes, tanto dioses como hombres, van debatiéndose sobre el origen y destino de cada persona.', 'Porque todos son personas al fin y al cabo, con mayor o menor rango de poder, pero todas tienen un nacimiento y una muerte escrita.Y ahí es donde aparece el protagonista más sibilino, la profecía.', 'Porque todo este pitote surge por la importancia que aparentemente tiene uno de los presagios de las sensacionalmente interpretadas Moiras: A line appears, the order wanes, the family falls and the kaos reigns.', 'Es decir, que esa línea que surge como clara referencia al hilo que crea y destruye, pudiendo o no, según convicciones (tal cual rezan las Parcas), hacer que el orden se tambalee y el caos prevalezca.', '¿Cómo?', 'Evidentemente, nada puede cambiar si la contaminada relación entre dioses y humanos no cambia, si las fuerzas no se igualan, si la naturaleza no es revelada tal cual es.', 'Como digo, que todos son personas, y Kaos dilucida sobre esto, en un sentido directo y también metafórico.', 'Todos buscando la verdad tras el mito roto que trae la anarquía...........................................................Escrito por  Gabriel Sales']","['kaos', 'mas', 'serie', 'dioses', 'clara', 'mayor', 'menor', 'dos', 'poder', 'bien']",4,19,Comedia,*Inevitable referenciaNo vamos ahora a descubrir América enumerando la enorme lista de títulos que han adaptado con mayor o menor acierto la literatura mitológica. Los mejores están en nuestra memoria...
"Después de un primer y segundo capítulos prometedores (soberbios Goldblun en el papel de un Zeus neurótico y cachondo, y Nabaan Rizwaan, como un Dionisos inocente y pasado de vueltas), pero la cosa se va desinflando poco a poco. La trama entra en piloto automático enseguida, lastrada por el intento de que todos (todos) los diálogos sean inteligentes, profundos y graciosos al mismo tiempo, y unos actores que no siempre dan la talla. Por momentos me recordaba a un Así en el cielo como en la tierra escrito por alguien que ha estudiado en Oxford o Cambridge. Stephen Dillane, en el papel de Prometeo, también está muy bien.","['Después de un primer y segundo capítulos prometedores (soberbios Goldblun en el papel de un Zeus neurótico y cachondo, y Nabaan Rizwaan, como un Dionisos inocente y pasado de vueltas), pero la cosa se va desinflando poco a poco.', 'La trama entra en piloto automático enseguida, lastrada por el intento de que todos (todos) los diálogos sean inteligentes, profundos y graciosos al mismo tiempo, y unos actores que no siempre dan la talla.', 'Por momentos me recordaba a un Así en el cielo como en la tierra escrito por alguien que ha estudiado en Oxford o Cambridge.', 'Le voy a dar otra oportunidad,  pero no sé si remontará.P.D.', 'Stephen Dillane, en el papel de Prometeo, también está muy bien.']","['papel', 'despues', 'primer', 'segundo', 'capitulos', 'prometedores', 'soberbios', 'goldblun', 'zeus', 'neurotico']",4,20,Comedia,"Después de un primer y segundo capítulos prometedores (soberbios Goldblun en el papel de un Zeus neurótico y cachondo, y Nabaan Rizwaan, como un Dionisos inocente y pasado de vueltas), pero la cosa se..."
"Incoming, titulada en España y Latinoamérica Inexpertos, y cuya premisa nos presenta a cuatro adolescentes que se quieren desmadrar en su primera fiesta de instituto. Sí, tú también lo estás pensando, Supersalidos (Superbad), y si bien no alcanza los niveles de aquella, ni de la también espléndida Superempollonas (Booksmart) o la simpática Chicos Buenos, ofrece justo lo que se espera de una comedia juvenil de estas características: diversión, además de ser una de las sorpresas del verano, aunque viendo el percal, casi me atrevería a decir, ‘la sorpresa’.A ver, no se ha estrenado en cines, y, por lo tanto, no has pagado una entrada a precio de riñón por verla en una sala abarrotada y repleta de desconocidos sin educación, es un estreno de Netflix de viernes noche, por lo que la cosa podría haber sido un desastre, y joder, no ha sido así, y por eso estamos de celebración, porque sin ser la octava maravilla ni reinventar la rueda, cumple como entretenimiento y tiene gags muy logrados, aunque hay uno que me ha dejado secuelas de por vida. Y hasta aquí puedo leer...Sí, esta película ya la hemos visto todos antes, como los ejemplos citados, y que son muy superiores, pero repito, es un estreno de Netflix, y teniendo en cuenta ese factor, no queda más que abrazarla, porque aunque carente de originalidad y frescura, es simpática, divertida y no invita al bostezo en sus ajustados ochenta minutos. A ver, cuando la plataforma roja hace bien las cosas, hay que decirlo, no todo van a ser palos…Y encima el reparto juvenil está más que convincente, con mención especial para el siempre estupendo Bobby Cannavale, pasándoselo en grande y entregándose a la causa, porque es un actor que siempre cumple, así que bienvenido a la fiesta, Bobby.No es la mejor comedia del año, ni acabará siendo un nuevo clásico del género, pero que me cuelguen si no se pasa un rato divertido con una gamberrada que no engaña a nadie y que funciona como respuesta a clásicos como Supersalidos o Superempollonas, y sólo por eso, me quito el sombrero, porque de vez en cuando vienen bien este tipo de comedias sin pretensiones y con ganas de hacer pasar un buen rato el espectador, y para un servidor, han cumplido.","['Incoming, titulada en España y Latinoamérica Inexpertos, y cuya premisa nos presenta a cuatro adolescentes que se quieren desmadrar en su primera fiesta de instituto.', 'Sí, tú también lo estás pensando, Supersalidos (Superbad), y si bien no alcanza los niveles de aquella, ni de la también espléndida Superempollonas (Booksmart) o la simpática Chicos Buenos, ofrece justo lo que se espera de una comedia juvenil de estas características: diversión, además de ser una de las sorpresas del verano, aunque viendo el percal, casi me atrevería a decir, ‘la sorpresa’.A ver, no se ha estrenado en cines, y, por lo tanto, no has pagado una entrada a precio de riñón por verla en una sala abarrotada y repleta de desconocidos sin educación, es un estreno de Netflix de viernes noche, por lo que la cosa podría haber sido un desastre, y joder, no ha sido así, y por eso estamos de celebración, porque sin ser la octava maravilla ni reinventar la rueda, cumple como entretenimiento y tiene gags muy logrados, aunque hay uno que me ha dejado secuelas de por vida.', 'Los débiles de estómago o que no toleréis el humor escatológico, ni os acerquéis, porque el homenaje que se hace a Pulp Fiction no es de fácil digestión.', 'Y hasta aquí puedo leer...Sí, esta película ya la hemos visto todos antes, como los ejemplos citados, y que son muy superiores, pero repito, es un estreno de Netflix, y teniendo en cuenta ese factor, no queda más que abrazarla, porque aunque carente de originalidad y frescura, es simpática, divertida y no invita al bostezo en sus ajustados ochenta minutos.', '¿Qué más quieres?', 'A ver, cuando la plataforma roja hace bien las cosas, hay que decirlo, no todo van a ser palos…Y encima el reparto juvenil está más que convincente, con mención especial para el siempre estupendo Bobby Cannavale, pasándoselo en grande y entregándose a la causa, porque es un actor que siempre cumple, así que bienvenido a la fiesta, Bobby.No es la mejor comedia del año, ni acabará siendo un nuevo clásico del género, pero que me cuelguen si no se pasa un rato divertido con una gamberrada que no engaña a nadie y que funciona como respuesta a clásicos como Supersalidos o Superempollonas, y sólo por eso, me quito el sombrero, porque de vez en cuando vienen bien este tipo de comedias sin pretensiones y con ganas de hacer pasar un buen rato el espectador, y para un servidor, han cumplido.', 'Ya era hora Netflix, ya era hora…Más críticas: El Videoclub de Javi McClane (Youtube)']","['mas', 'bien', 'ser', 'aunque', 'netflix', 'fiesta', 'tambien', 'supersalidos', 'superempollonas', 'simpatica']",4,33,Comedia,"Incoming, titulada en España y Latinoamérica Inexpertos, y cuya premisa nos presenta a cuatro adolescentes que se quieren desmadrar en su primera fiesta de instituto. Sí, tú también lo estás pensando,..."
"Típica película de adolescentes que empiezan en el instituto y, como no, quieren asistir a una fiesta donde por fin encontrar el amor ... y el sexo con alguien que no sea su propia mano.Que no esperaba nada que no hubiera visto en otras comedias similares, pero es que en este caso me ha parecido que plagia bastante a la genial ""PROJECT X"", pero sin su garra, su música, su montaje, su emoción, sus personajes carismáticos, que en ""INEXPERTOS"" tienen su versión de marca blanca: el protagonista enamorado de su amiga, el amigo salido que anuncia la fiesta por internet, el traficante de drogas engañado que va a la fiesta buscando venganza, un adulto liándola ... aunque tiene algunos buenos gags (para mi sobre todo el más escatológico), te hace pasar un rato entretenido y con momentos de vergüenza ajena, que es a lo que había venido yo.Pero imposible no compararlas.","['Típica película de adolescentes que empiezan en el instituto y, como no, quieren asistir a una fiesta donde por fin encontrar el amor ... y el sexo con alguien que no sea su propia mano.Que no esperaba nada que no hubiera visto en otras comedias similares, pero es que en este caso me ha parecido que plagia bastante a la genial ""PROJECT X"", pero sin su garra, su música, su montaje, su emoción, sus personajes carismáticos, que en ""INEXPERTOS"" tienen su versión de marca blanca: el protagonista enamorado de su amiga, el amigo salido que anuncia la fiesta por internet, el traficante de drogas engañado que va a la fiesta buscando venganza, un adulto liándola ... aunque tiene algunos buenos gags (para mi sobre todo el más escatológico), te hace pasar un rato entretenido y con momentos de vergüenza ajena, que es a lo que había venido yo.Pero imposible no compararlas.']",[],1,34,Comedia,"Típica película de adolescentes que empiezan en el instituto y, como no, quieren asistir a una fiesta donde por fin encontrar el amor ... y el sexo con alguien que no sea su propia mano.Que no esperab..."
"Entiendo que la mayor parte de los que pasamos el rato puntuando y escribiendo críticas en esta página, no somos críticos profesionales.Así mismo, entiendo que cuando ponemos una nota (nuestro juicio de espectador), lo hacemos teniendo claro el tipo de película que hemos visto, género, expectativas, referencias con otros títulos de la misma categoría, etc.La película que nos ocupa, corresponde a un género muy concreto. Dentro de las comedias juveniles estadounidenses, existe un subgénero que aplica un tipo de humor más soez, más gamberro, que puede chocar con las reglas normativas actuales.Representantes clásicos del género, los tenemos en los ochenta con cintas como “Los albóndigas en remojo” y “Porky¨s”. Y a principios del siglo actual, apareció la saga “American Pie”, con la que yo me reí un montón.Digo todo esto, porque hay que juzgar a “Inexpertos” según este baremo y criterio.Y si tienes claro lo que vas a ver, la película cumple.Púberes que comienzan una nueva etapa en un instituto. Con las habituales situaciones cómicas derivadas de su interés (desmedido) por el sexo opuesto, su afán de pertenencia a la manada, etc..Y el trasfondo de la amistad.Aderezado todo ello con un humor picante, explícito y bastante bizarro.","['Entiendo que la mayor parte de los que pasamos el rato puntuando y escribiendo críticas en esta página, no somos críticos profesionales.Así mismo, entiendo que cuando ponemos una nota (nuestro juicio de espectador), lo hacemos teniendo claro el tipo de película que hemos visto, género, expectativas, referencias con otros títulos de la misma categoría, etc.La película que nos ocupa, corresponde a un género muy concreto.', 'Dentro de las comedias juveniles estadounidenses, existe un subgénero que aplica un tipo de humor más soez, más gamberro, que puede chocar con las reglas normativas actuales.Representantes clásicos del género, los tenemos en los ochenta con cintas como “Los albóndigas en remojo” y “Porky¨s”.', 'A mi me pillaron muy niño y no tengo opinión.', 'Y a principios del siglo actual, apareció la saga “American Pie”, con la que yo me reí un montón.Digo todo esto, porque hay que juzgar a “Inexpertos” según este baremo y criterio.Y si tienes claro lo que vas a ver, la película cumple.Púberes que comienzan una nueva etapa en un instituto.', 'Con las habituales situaciones cómicas derivadas de su interés (desmedido) por el sexo opuesto, su afán de pertenencia a la manada, etc..Y el trasfondo de la amistad.Aderezado todo ello con un humor picante, explícito y bastante bizarro.', 'Y secuencias a veces absurdas, a veces hilarantes, y muchas veces tiernas.¿Qué quieren que les diga?', 'A mi me ha gustado.', 'Me ha hecho reír, y me ha entretenido durante sus 90 minutos.Me ha dejado con una sonrisa en la cara, tan importante en estos tiempos que corren.']","['pelicula', 'genero', 'veces', 'entiendo', 'claro', 'tipo', 'etc', 'humor', 'mas', 'mayor']",4,35,Comedia,"Entiendo que la mayor parte de los que pasamos el rato puntuando y escribiendo críticas en esta página, no somos críticos profesionales.Así mismo, entiendo que cuando ponemos una nota (nuestro juicio ..."
"La película a priori te mantiene tener unas expectativas muy bajas, pero la realidad es que ofrece un buen rato de risas y entretenimiento, en mi opinión es mas entretenida y tiene más high que películas de su misma índole como supersalidos y cosas de esas.Los actores que son auténticos desconocidos logran y crean una atmósfera agradable, no hay mucha absurda ridiculez como en algunas comedias de este tipo.En resumidas cuentas, me esperaba ver una película mal hecha y obscena pero luego me ha hecho gracia hasta el punto de escribir una crítica, ya que las críticas que se supone son profesionales la ponen por el suelo y nada más lejos. La película tiene su que.","['La película a priori te mantiene tener unas expectativas muy bajas, pero la realidad es que ofrece un buen rato de risas y entretenimiento, en mi opinión es mas entretenida y tiene más high que películas de su misma índole como supersalidos y cosas de esas.Los actores que son auténticos desconocidos logran y crean una atmósfera agradable, no hay mucha absurda ridiculez como en algunas comedias de este tipo.En resumidas cuentas, me esperaba ver una película mal hecha y obscena pero luego me ha hecho gracia hasta el punto de escribir una crítica, ya que las críticas que se supone son profesionales la ponen por el suelo y nada más lejos.', 'La película tiene su que.']",[],2,36,Comedia,"La película a priori te mantiene tener unas expectativas muy bajas, pero la realidad es que ofrece un buen rato de risas y entretenimiento, en mi opinión es mas entretenida y tiene más high que pelícu..."
"Ni sabía que se había estrenado, me la recomendaron y se lo agradezco. Es muy difícil que una comedia haga reír más de 5 segundos seguidos y esta lo consigue.Visionado: en casa, pantalla de 42, a velocidad normal de 1x porqué tiene muy buen ritmo.Abandonos/pausas: te hace estar pendiente, sólo miré el teléfono una vez y para consultar información del film, mantiene interés.Banda sonora: canciones muy acertadas y conectadas.Actores: No los conocía y hacen muy buen trabajo.Montaje: de lo mejor de la película, es una lástima que el desenlace sea tan abrupto. Te quedas con ganas de más.Lo mejor: la escena del coche.Lo peor: que las malas críticas le quiten público","['Ni sabía que se había estrenado, me la recomendaron y se lo agradezco.', 'Es muy difícil que una comedia haga reír más de 5 segundos seguidos y esta lo consigue.Visionado: en casa, pantalla de 42, a velocidad normal de 1x porqué tiene muy buen ritmo.Abandonos/pausas: te hace estar pendiente, sólo miré el teléfono una vez y para consultar información del film, mantiene interés.Banda sonora: canciones muy acertadas y conectadas.Actores: No los conocía y hacen muy buen trabajo.Montaje: de lo mejor de la película, es una lástima que el desenlace sea tan abrupto.', 'Te quedas con ganas de más.Lo mejor: la escena del coche.Lo peor: que las malas críticas le quiten público']",[],3,37,Comedia,"Ni sabía que se había estrenado, me la recomendaron y se lo agradezco. Es muy difícil que una comedia haga reír más de 5 segundos seguidos y esta lo consigue.Visionado: en casa, pantalla de 42, a velo..."
"Como fan absoluto de ""Aquellos maravillosos 70"", no he podido resistirme a ver esta (para mi), deseada secuela, la cual me ha gustado más de lo que había imaginado.Si no has visto la anterior, esta serie te la definiría como una sitcom para adolescentes, con un humor bastante juvenil, si tienes más de 20 años quizás no te guste. Te recomendaría verte la original, que al ser sobre los 70, su humor se mantiene igual de bien.Si por el contrario viste la original, te la recomiendo. La serie mantiene su esencia, te traerá muy buenos recuerdos, el humor de los personajes que repiten está intacto. Se ve que han tenido mucho tacto al ser los creadores de la primera, los actores originales (mención especial al doblaje de España, salvo Red, todos son los originales y eso que son muchos), las localizaciones de siempre, e incluso secundarios míticos que te harán sacar una sonrisa al verlos.La única pega y que es bastante importante, es que la nueva pandilla es bastante peor, más para público joven, no hace tanta gracia, pero tampoco se centran todo el tiempo en ellos.Yo tengo un cariño especial por la original y es de mis pocos dieces en FA, mi nota va a estar condicionada por eso, pero es que me ha hecho volver a recordar las risas que echaba con mis amigos viéndola en mi sótano, haciendo exactamente lo mismo que los protas, no puedo evitarlo.","['Como fan absoluto de ""Aquellos maravillosos 70"", no he podido resistirme a ver esta (para mi), deseada secuela, la cual me ha gustado más de lo que había imaginado.Si no has visto la anterior, esta serie te la definiría como una sitcom para adolescentes, con un humor bastante juvenil, si tienes más de 20 años quizás no te guste.', 'Te recomendaría verte la original, que al ser sobre los 70, su humor se mantiene igual de bien.Si por el contrario viste la original, te la recomiendo.', 'La serie mantiene su esencia, te traerá muy buenos recuerdos, el humor de los personajes que repiten está intacto.', 'Se ve que han tenido mucho tacto al ser los creadores de la primera, los actores originales (mención especial al doblaje de España, salvo Red, todos son los originales y eso que son muchos), las localizaciones de siempre, e incluso secundarios míticos que te harán sacar una sonrisa al verlos.La única pega y que es bastante importante, es que la nueva pandilla es bastante peor, más para público joven, no hace tanta gracia, pero tampoco se centran todo el tiempo en ellos.Yo tengo un cariño especial por la original y es de mis pocos dieces en FA, mi nota va a estar condicionada por eso, pero es que me ha hecho volver a recordar las risas que echaba con mis amigos viéndola en mi sótano, haciendo exactamente lo mismo que los protas, no puedo evitarlo.']",[],4,45,Comedia,"Como fan absoluto de ""Aquellos maravillosos 70"", no he podido resistirme a ver esta (para mi), deseada secuela, la cual me ha gustado más de lo que había imaginado.Si no has visto la anterior, esta se..."
"En la era de la nostalgia y los reencuentros con series que han marcado cierta época en nuestra historia televisiva, es donde Netflix saca provecho para entregarnos una especie de secuela con toques de actualidad de That´ 70s Show.La propuesta que nos ofrece Netflix cumple con grandes momentos, en especial cuando recurre a los personajes históricos más allá de los padres de Eric. En cuanto a la nueva camada de personajes, con el paso de la serie logramos tomarle cariño y entrar de lleno en toda la historia que nos proponen sobre las amistades, amores y estupideces.Lo cierto es que la nueva sitcom funciona como un entretenido pasatiempo del cual tienes garantizado las risas que hicieron tan popular a su antecesora. También es una propuesta distinta a lo que conocíamos y hay que saber entender que todo está un poco más adecuado a los tiempos que corren, pero que cuando se despoja un tanto de esas actualizaciones encuentra sus momentos más eficientes en la serie.Los nuevos personajes terminan funcionando en su recorrido final y en donde la nueva pandilla define muy bien el camino que tomara en lo que venga posteriormente.  Saben mezclar las cosas que funcionaban con la pandilla de los 70 y darle esos toques de los noventa a la nueva, aquella mezcla resulta ser un buen contagio de momentos que generan bastante risa y nos permiten comprometernos con Leia, Gwen, Jay, Ozzie, Nikki y Nate como la futura pandilla de amigos.No puedo dejar de lado a los padres Red y Kitty que en gran parte entregan los momentos más divertidos de la serie.Una propuesta para los amantes de las sitcom, es un pasatiempo divertido que se puede ver en tan solo un día y dejarse entretener sin mayores contratiempos, para los más puristas no terminara de llenar todas las expectativas, pero al menos intenta darnos momentos para complacer esas peticiones.","['En la era de la nostalgia y los reencuentros con series que han marcado cierta época en nuestra historia televisiva, es donde Netflix saca provecho para entregarnos una especie de secuela con toques de actualidad de That´ 70s Show.La propuesta que nos ofrece Netflix cumple con grandes momentos, en especial cuando recurre a los personajes históricos más allá de los padres de Eric.', 'En cuanto a la nueva camada de personajes, con el paso de la serie logramos tomarle cariño y entrar de lleno en toda la historia que nos proponen sobre las amistades, amores y estupideces.Lo cierto es que la nueva sitcom funciona como un entretenido pasatiempo del cual tienes garantizado las risas que hicieron tan popular a su antecesora.', 'También es una propuesta distinta a lo que conocíamos y hay que saber entender que todo está un poco más adecuado a los tiempos que corren, pero que cuando se despoja un tanto de esas actualizaciones encuentra sus momentos más eficientes en la serie.Los nuevos personajes terminan funcionando en su recorrido final y en donde la nueva pandilla define muy bien el camino que tomara en lo que venga posteriormente.', 'Saben mezclar las cosas que funcionaban con la pandilla de los 70 y darle esos toques de los noventa a la nueva, aquella mezcla resulta ser un buen contagio de momentos que generan bastante risa y nos permiten comprometernos con Leia, Gwen, Jay, Ozzie, Nikki y Nate como la futura pandilla de amigos.No puedo dejar de lado a los padres Red y Kitty que en gran parte entregan los momentos más divertidos de la serie.Una propuesta para los amantes de las sitcom, es un pasatiempo divertido que se puede ver en tan solo un día y dejarse entretener sin mayores contratiempos, para los más puristas no terminara de llenar todas las expectativas, pero al menos intenta darnos momentos para complacer esas peticiones.']",[],4,46,Comedia,"En la era de la nostalgia y los reencuentros con series que han marcado cierta época en nuestra historia televisiva, es donde Netflix saca provecho para entregarnos una especie de secuela con toques d..."
"La acción tiene como escenario principal nuevamente el sótano de la casa, donde junto a ella, un grupo de adolescentes con los que entabla amistad serán los que hagan girar cada episodio.Como reclamo, en algunos de estos 10 capítulos de los que consta la serie, verán el cameo y algo más, de algunos de los protagonistas que hicieron de Aquellos maravillosos 70, una serie de culto. Ellos dan vida a los Forman, y con ellos en la casilla de salida, han podido repetir la sensación de continuidad de la que se beneficia la serie.El humor parece ser algo más blando, eso es verdad, junto al querer agradar a todo el extracto social, con la inclusión de las diferentes razas y sus opciones de sexualidad. El nuevo elenco de jovencitos actores funciona bien, no creo que desprendan la química del reparto original, (pero también es cierto, que con solo 10 episodios, tampoco parece la mejor opción para ello). Aquellos maravillosos 90 en general puede gustar a los que seguimos las andanzas de los miembros originales.No caso tanto con la limpieza a la que ha sido sometido su humor claramente, para adecuarla a los tiempos que estamos viviendo, pero creo que incluso con eso, podemos pasar un buen rato.Se rumorea que puede que tengamos una segunda temporada, espero que se confirme, pues creo que los personajes necesitan crecer para que se consolide como una interesante secuela de su hermana mayor.Escrito por Víctor Vega Cuervo","['*El sótano como mismo punto de partidaAquellos maravillosos 90, sigue los pasos con la misma fórmula de su antecesora.', 'En esta ocasión, la trama nos sitúa en la misma casa de los Forman, donde viene a pasar el verano la nieta de Red y Kitty, Leia Forman (hija de Eric y Donna).', 'La acción tiene como escenario principal nuevamente el sótano de la casa, donde junto a ella, un grupo de adolescentes con los que entabla amistad serán los que hagan girar cada episodio.Como reclamo, en algunos de estos 10 capítulos de los que consta la serie, verán el cameo y algo más, de algunos de los protagonistas que hicieron de Aquellos maravillosos 70, una serie de culto.', 'Quitando a los abuelos, que siguen siendo parte integral de cada episodio.', '*Si algo funciona, mejor no tocarloNetflix si tiene un problema con sus producciones, es que no ha dado con la tecla en cuanto a las sitcoms se refiere.', 'Parece tener una especie de maldición en ese sentido, y por más que lo intenta, no consigue la fórmula para crear una serie propia que de el espaldarazo.', 'Viendo el panorama, imagino que han dicho, si algo funciona, mejor no tocarlo, y es lo que han hecho con esta nueva serie.', 'Para ello contar como cabezas visibles con los actores Kurtwood Smith y Debra Jo Rupp, en los papeles antes como padres, y ahora como abuelos, es un acierto en ese sentido.', 'Ellos dan vida a los Forman, y con ellos en la casilla de salida, han podido repetir la sensación de continuidad de la que se beneficia la serie.El humor parece ser algo más blando, eso es verdad, junto al querer agradar a todo el extracto social, con la inclusión de las diferentes razas y sus opciones de sexualidad.', 'El nuevo elenco de jovencitos actores funciona bien, no creo que desprendan la química del reparto original, (pero también es cierto, que con solo 10 episodios, tampoco parece la mejor opción para ello).', '*ConclusiónPara ir terminando con Aquellos maravillosos 90, solo algunos últimos apuntes.', 'Me ha gustado la sensación que desprende el formato de la fotografía, con ese toque añejo que le da el color ocre.', 'Soy un ferviente admirador de las sitcoms, y su estupendo minutaje de los 20 minutos típicos.', 'Aquellos maravillosos 90 en general puede gustar a los que seguimos las andanzas de los miembros originales.No caso tanto con la limpieza a la que ha sido sometido su humor claramente, para adecuarla a los tiempos que estamos viviendo, pero creo que incluso con eso, podemos pasar un buen rato.Se rumorea que puede que tengamos una segunda temporada, espero que se confirme, pues creo que los personajes necesitan crecer para que se consolide como una interesante secuela de su hermana mayor.Escrito por Víctor Vega Cuervo']","['serie', 'maravillosos', 'forman', 'mas', 'aquellos', 'funciona', 'mejor', 'parece', 'creo', 'sotano']",4,47,Comedia,"*El sótano como mismo punto de partidaAquellos maravillosos 90, sigue los pasos con la misma fórmula de su antecesora. En esta ocasión, la trama nos sitúa en la misma casa de los Forman, donde viene a..."
