id,texto,tipo_esperado,raiz_detectada,sujeto_detectado,objeto_detectado,dependencias_principales,posible_dificultad,observacion_automatica
51,Vi al estudiante con el telescopio,ambigua,['Vi'],No detectado,estudiante,"ROOT(Vi, Vi) | case(estudiante, al) | obj(Vi, estudiante) | case(telescopio, con) | det(telescopio, el)",Baja,Estructura analizada sin anomalías.
52,El profesor calificó el proyecto difícil,ambigua,['calificó'],profesor,proyecto,"det(profesor, El) | nsubj(calificó, profesor) | ROOT(calificó, calificó) | det(proyecto, el) | obj(calificó, proyecto)",Baja,Estructura analizada sin anomalías.
53,El gobierno anunció inversión en hospitales,ambigua,['anunció'],gobierno,inversión,"det(gobierno, El) | nsubj(anunció, gobierno) | ROOT(anunció, anunció) | obj(anunció, inversión) | case(hospitales, en)",Baja,Estructura analizada sin anomalías.
54,La alumna observó al investigador con la cámara,ambigua,['observó'],alumna,investigador,"det(alumna, La) | nsubj(observó, alumna) | ROOT(observó, observó) | case(investigador, al) | obj(observó, investigador)",Baja,Estructura analizada sin anomalías.
55,El docente revisó el reporte con errores,ambigua,['revisó'],docente,reporte,"det(docente, El) | nsubj(revisó, docente) | ROOT(revisó, revisó) | det(reporte, el) | obj(revisó, reporte)",Baja,Estructura analizada sin anomalías.
56,El sistema analizó documentos de alumnos avanzados,ambigua,['analizó'],sistema,documentos,"det(sistema, El) | nsubj(analizó, sistema) | ROOT(analizó, analizó) | obj(analizó, documentos) | case(alumnos, de)",Baja,Estructura analizada sin anomalías.
57,La profesora explicó la práctica con ejemplos complejos,ambigua,['explicó'],profesora,"práctica, complejos","det(profesora, La) | nsubj(explicó, profesora) | ROOT(explicó, explicó) | det(práctica, la) | obj(explicó, práctica)",Baja,Estructura analizada sin anomalías.
58,El estudiante presentó el análisis del modelo nuevo,ambigua,['presentó'],estudiante,análisis,"det(estudiante, El) | nsubj(presentó, estudiante) | ROOT(presentó, presentó) | det(análisis, el) | obj(presentó, análisis)",Baja,Estructura analizada sin anomalías.
59,El parser procesó la oración con la herramienta,ambigua,['procesó'],parser,oración,"det(parser, El) | nsubj(procesó, parser) | ROOT(procesó, procesó) | det(oración, la) | obj(procesó, oración)",Baja,Estructura analizada sin anomalías.
60,El equipo evaluó el resultado del programa automático,ambigua,['evaluó'],equipo,resultado,"det(equipo, El) | nsubj(evaluó, equipo) | ROOT(evaluó, evaluó) | det(resultado, el) | obj(evaluó, resultado)",Baja,Estructura analizada sin anomalías.
61,La universidad publicó resultados de estudiantes sobresalientes,ambigua,['publicó'],universidad,resultados,"det(universidad, La) | nsubj(publicó, universidad) | ROOT(publicó, publicó) | obj(publicó, resultados) | case(estudiantes, de)",Baja,Estructura analizada sin anomalías.
62,El algoritmo detectó relaciones entre textos similares,ambigua,['detectó'],algoritmo,relaciones,"det(algoritmo, El) | nsubj(detectó, algoritmo) | ROOT(detectó, detectó) | obj(detectó, relaciones) | case(textos, entre)",Baja,Estructura analizada sin anomalías.
63,El alumno revisó el archivo con la profesora,ambigua,['revisó'],alumno,archivo,"det(alumno, El) | nsubj(revisó, alumno) | ROOT(revisó, revisó) | det(archivo, el) | obj(revisó, archivo)",Baja,Estructura analizada sin anomalías.
