resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"He puesto todas mis ganas para que me gustase,  ya que soy muy fan de la saga, pero ha sido imposible .Es lenta y con poca atmósfera y no se tiene la sensación de estar dentro del mundo Terminator.Nos cuenta otra vez lo que ya hemos visto en la franquicia solo que con otros personajes que para colmo no tienen interés y son bastante planos. Es una mezcla de toda la franquicia pero no cuenta nada nuevo ni expande el universo, sino que tomando cosas de aquí y de allá de las películas hace un popurrí para contarnos otra vez lo mismo, solo que esta vez en Japón.El giro que hay en el capítulo 4 se ve venir desde el capítulo 1, por lo tanto, encima es predecible.La animación es fea, poco estilosa y tosca. No recordarás ni un solo personaje de esta serie.Algo positivo es la banda sonora, que crea ambiente y tiene garra e intención, aún siendo minimalista. Curiosamente los compositores trabajaron antes para Netflix en otra película de inteligencias artificiales titulada Mother/Android.","['He puesto todas mis ganas para que me gustase,  ya que soy muy fan de la saga, pero ha sido imposible .Es lenta y con poca atmósfera y no se tiene la sensación de estar dentro del mundo Terminator.Nos cuenta otra vez lo que ya hemos visto en la franquicia solo que con otros personajes que para colmo no tienen interés y son bastante planos.', 'Tenemos situaciones y frases totalmente copiadas de las películas.Es más de lo mismo.', 'Es una mezcla de toda la franquicia pero no cuenta nada nuevo ni expande el universo, sino que tomando cosas de aquí y de allá de las películas hace un popurrí para contarnos otra vez lo mismo, solo que esta vez en Japón.El giro que hay en el capítulo 4 se ve venir desde el capítulo 1, por lo tanto, encima es predecible.La animación es fea, poco estilosa y tosca.', 'El diseño de personajes es simplista, anodino y olvidable.', 'No recordarás ni un solo personaje de esta serie.Algo positivo es la banda sonora, que crea ambiente y tiene garra e intención, aún siendo minimalista.', 'Curiosamente los compositores trabajaron antes para Netflix en otra película de inteligencias artificiales titulada Mother/Android.']","['vez', 'solo', 'cuenta', 'franquicia', 'personajes', 'peliculas', 'mismo', 'capitulo', 'puesto', 'todas']",4,21,Accion,"He puesto todas mis ganas para que me gustase,  ya que soy muy fan de la saga, pero ha sido imposible .Es lenta y con poca atmósfera y no se tiene la sensación de estar dentro del mundo Terminator.Nos..."
"La saga Terminator tuvo su momento álgido con Terminator 2 y, a mi pesar, desde entonces solo ha ido a peor. Aun así, por lo menos ""ZERO"" no da vergüenza ajena como ""Genesis"" o ""Dark Fate"".No me desagrada que el argumento de este nuevo anime que nos trae Netflix se centre bastante en la ética de la inteligencia artificial y el destino de los seres humanos y no ceda tanto el protagonismo exclusivo a la acción, que haberla la hay aunque sea genérica y poco original en muchos casos, pero creo que se enfanga planteando múltiples líneas temporales, algo nuevo en el universo Terminator, por si no había ya bastantes paradojas con todos sus viajes en el tiempo.Visualmente está bien aunque sus creadores son Production I.G., que han parido maravillas como las dos películas de Ghost in the Shell o la animación de Kill Bill, con lo cual esperaba muchísimo nivel y lamentablemente no me lo ha parecido.Tiene momentos y diálogos interesantes, es entretenida y rápida de ver con sus episodios de menos de media hora, hay algunos homenajes/guiños/plagios a T1 y T2 ... pero para mí es otra oportunidad perdida de revitalizar la famosa rebelión de las máquinas de Skynet.","['La saga Terminator tuvo su momento álgido con Terminator 2 y, a mi pesar, desde entonces solo ha ido a peor.', 'Aun así, por lo menos ""ZERO"" no da vergüenza ajena como ""Genesis"" o ""Dark Fate"".No me desagrada que el argumento de este nuevo anime que nos trae Netflix se centre bastante en la ética de la inteligencia artificial y el destino de los seres humanos y no ceda tanto el protagonismo exclusivo a la acción, que haberla la hay aunque sea genérica y poco original en muchos casos, pero creo que se enfanga planteando múltiples líneas temporales, algo nuevo en el universo Terminator, por si no había ya bastantes paradojas con todos sus viajes en el tiempo.Visualmente está bien aunque sus creadores son Production I.G., que han parido maravillas como las dos películas de Ghost in the Shell o la animación de Kill Bill, con lo cual esperaba muchísimo nivel y lamentablemente no me lo ha parecido.Tiene momentos y diálogos interesantes, es entretenida y rápida de ver con sus episodios de menos de media hora, hay algunos homenajes/guiños/plagios a T1 y T2 ... pero para mí es otra oportunidad perdida de revitalizar la famosa rebelión de las máquinas de Skynet.']",[],2,22,Accion,"La saga Terminator tuvo su momento álgido con Terminator 2 y, a mi pesar, desde entonces solo ha ido a peor. Aun así, por lo menos ""ZERO"" no da vergüenza ajena como ""Genesis"" o ""Dark Fate"".No me desag..."
"La franquicia de 'Terminator' es, sin duda, una de las más desaprovechadas de la historia del cine desde que se estrenase 'Terminator 2: El juicio final' en aquel 1991. Productos desaprovechados o, directamente, malos como 'Terminator Génesis' o 'Terminator: Destino oscuro'.Desde Japón llegaba una nueva pica en este camino comenzado hace ya 40 años con la novedad de que iba a ser la primera vez que se optase por la animación (de forma oficial, porque había un cortometraje llamado 'Batman versus The Terminator', el cual prometía) y con ninguna comedia tonta ni guiones extraños como llevaban mostrando desde las últimas entregas cinematográficas. Sí que es verdad que en esta ocasión, se preocupan por meter más matices a un tema ya manido con ramificaciones filosóficas sobre el uso de las inteligencias artificiales o la convivencia entre humanos y máquinas y, también, cambios imprevistos en los hechos relatados, además de revelaciones sorpresa con algunos personajes de la trama que se irán desvelando por el camino.No obstante, durante buena parte de los ocho episodios es inevitable sentir que han optado por un camino más sencillo de lo que podrían haber hecho. Irónicamente, el tema de fondo (la guerra contra Skynet) solo se vio un poco en 'Terminator Salvation', en algunos 'flashbacks' de los tres primeros largometrajes y en el videojuego 'Terminator: Resistance'; mas yo no quiero la tan referida guerra en un videojuego, me gustaría verlo a plena potencia en una película o, incluso, una serie.Lo que 'Terminator Zero' ofrece, con ligeras variaciones, no es sino más de lo mismo, con guiños obvios para que los fans los identifiquen y cosas que se dejan en el tintero, seguramente con la esperanza de que den luz verde a una segunda temporada.","[""La franquicia de 'Terminator' es, sin duda, una de las más desaprovechadas de la historia del cine desde que se estrenase 'Terminator 2: El juicio final' en aquel 1991."", 'Aquel filme dirigido por James Cameron fue la última gran producción, y desde entonces no ha habido más.', ""Productos desaprovechados o, directamente, malos como 'Terminator Génesis' o 'Terminator: Destino oscuro'.Desde Japón llegaba una nueva pica en este camino comenzado hace ya 40 años con la novedad de que iba a ser la primera vez que se optase por la animación (de forma oficial, porque había un cortometraje llamado 'Batman versus The Terminator', el cual prometía) y con ninguna comedia tonta ni guiones extraños como llevaban mostrando desde las últimas entregas cinematográficas."", 'Lamentablemente, aún la franquicia no consigue volver a despegar.Y es que se opta una vez más por el camino de los viajes en el tiempo con el objetivo de cambiar el curso de la guerra en el pasado.', 'Esto es algo que se lleva haciendo desde la primera película y cuatro décadas después estamos en las mismas.', 'Sí que es verdad que en esta ocasión, se preocupan por meter más matices a un tema ya manido con ramificaciones filosóficas sobre el uso de las inteligencias artificiales o la convivencia entre humanos y máquinas y, también, cambios imprevistos en los hechos relatados, además de revelaciones sorpresa con algunos personajes de la trama que se irán desvelando por el camino.No obstante, durante buena parte de los ocho episodios es inevitable sentir que han optado por un camino más sencillo de lo que podrían haber hecho.', 'Personalmente, ya estoy harto de que se acuda a los viajes en el tiempo en casi cada oportunidad como si fuese a funcionar cada vez que entra en escena, y lo que se consigue es más hartazgo de recurrir a lo mismo.', ""Irónicamente, el tema de fondo (la guerra contra Skynet) solo se vio un poco en 'Terminator Salvation', en algunos 'flashbacks' de los tres primeros largometrajes y en el videojuego 'Terminator: Resistance'; mas yo no quiero la tan referida guerra en un videojuego, me gustaría verlo a plena potencia en una película o, incluso, una serie.Lo que 'Terminator Zero' ofrece, con ligeras variaciones, no es sino más de lo mismo, con guiños obvios para que los fans los identifiquen y cosas que se dejan en el tintero, seguramente con la esperanza de que den luz verde a una segunda temporada."", 'Una segunda temporada que yo, si se hiciese, creo que podría ver si realmente hay más pelotas para innovar.', 'Aquí se ven intenciones de salirse de la ruta; aunque no están decididos del todo a ir más por libre.']","['mas', 'terminator', 'camino', 'vez', 'guerra', 'franquicia', 'aquel', 'primera', 'consigue', 'viajes']",4,23,Accion,"La franquicia de 'Terminator' es, sin duda, una de las más desaprovechadas de la historia del cine desde que se estrenase 'Terminator 2: El juicio final' en aquel 1991. Aquel filme dirigido por James ..."
"""Terminator Zero"" ofrece un enfoque refrescante a la franquicia, integrando de manera inteligente elementos de las secuelas posteriores a ""Terminator 2"". Este concepto se desmarca de los escenarios habituales en Estados Unidos y trasladando la acción a Japón.La trama central gira en torno a la clásica fórmula de Skynet enviando un único Terminator al pasado para aniquilar cualquier esperanza para la humanidad. ""Terminator Zero"" divide su narrativa en dos líneas paralelas: por un lado, Malcom activa su propia IA para contrarrestar a Skynet; por otro, un Terminator busca capturar a sus hijos para forzarle a reprogramar su IA y alinearla con los objetivos de Skynet.Uno de los puntos débiles de la serie es la decisión de que los hijos de Malcom permanezcan en su hogar, en lugar de ser llevados al lugar de trabajo de su padre, un edificio equipado con defensas contra cualquier Terminator. Sin esta decisión, la historia probablemente habría transcurrido sin mayores complicaciones para los protagonistas.En cuanto al aspecto técnico, la serie presenta una calidad de animación aceptable, con una violencia que no es suavizada ni censurada, lo que se ajusta bien al tono oscuro y visceral que caracteriza a la franquicia.En definitiva, ""Terminator Zero"" es una propuesta que, a pesar de ciertos fallos argumentales, consigue ofrecer una experiencia interesante.","['""Terminator Zero"" ofrece un enfoque refrescante a la franquicia, integrando de manera inteligente elementos de las secuelas posteriores a ""Terminator 2"".', 'La serie plantea una premisa intrigante: si eliminas a un salvador de la humanidad, otro tomará su lugar.', 'Este concepto se desmarca de los escenarios habituales en Estados Unidos y trasladando la acción a Japón.La trama central gira en torno a la clásica fórmula de Skynet enviando un único Terminator al pasado para aniquilar cualquier esperanza para la humanidad.', 'Como es común en las historias de viajes en el tiempo, la serie no escapa a algunos agujeros de guion relacionados con las leyes físicas que ella misma establece.', '""Terminator Zero"" divide su narrativa en dos líneas paralelas: por un lado, Malcom activa su propia IA para contrarrestar a Skynet; por otro, un Terminator busca capturar a sus hijos para forzarle a reprogramar su IA y alinearla con los objetivos de Skynet.Uno de los puntos débiles de la serie es la decisión de que los hijos de Malcom permanezcan en su hogar, en lugar de ser llevados al lugar de trabajo de su padre, un edificio equipado con defensas contra cualquier Terminator.', 'Este detalle, aunque cuestionable desde un punto de vista lógico, es crucial para crear el conflicto necesario en la trama.', 'Sin esta decisión, la historia probablemente habría transcurrido sin mayores complicaciones para los protagonistas.En cuanto al aspecto técnico, la serie presenta una calidad de animación aceptable, con una violencia que no es suavizada ni censurada, lo que se ajusta bien al tono oscuro y visceral que caracteriza a la franquicia.En definitiva, ""Terminator Zero"" es una propuesta que, a pesar de ciertos fallos argumentales, consigue ofrecer una experiencia interesante.', 'Aunque estos errores se vuelven más evidentes al reflexionar sobre la trama, durante el visionado la serie logra mantener al espectador inmerso en la acción.', 'Para mí, es una digna sucesora del legado creado por James Cameron, aportando un soplo de aire fresco.']","['terminator', 'serie', 'zero', 'lugar', 'trama', 'skynet', 'franquicia', 'humanidad', 'accion', 'cualquier']",4,24,Accion,"""Terminator Zero"" ofrece un enfoque refrescante a la franquicia, integrando de manera inteligente elementos de las secuelas posteriores a ""Terminator 2"". La serie plantea una premisa intrigante: si el..."
"Desde luego, 'Terminator Zero' no está en el mismo escalón donde se posan 'Terminator' y 'Terminator 2: El juicio final'. Y bueno, esos experimentos llamados 'Genisys' y 'Dark Fate', insultos mayúsculos, prefiero hacer como si no existiesen.Realmente considero que toda la saga 'Terminator' se reduce a tres obras: 'Terminator', 'Terminator 2: El juicio final' y el videojuego 'Terminator: Resistance'. Al fin y al cabo, para los más puristas de 'Terminator', y ahí me incluiría perfectamente, la saga siempre se reducirá a T1 y T2, añadiendo un complemento sobresaliente como es 'Resistance'. Puede que 'Terminator Zero' no esté en el mismo saco donde se encuentran los grandes animes de los últimos años en cuanto a calidad de la animación y demás, pero como anime en sí mantiene las virtudes propias de su medio, como son el uso de la violencia sin ningún tipo de censura, ausencia de complejos a la hora de mostrar algunos desnudos puntuales y tramas que provocan la reflexión y el análisis en el espectador.La ambientación y el trabajo musical han hecho que disfrute de una obra del género cyberpunk que me ha recordado, por momentos, a grandes animes de la vieja escuela.Lo dicho, no es una maravilla, pero desde luego queda justificado el interés de cierto público que buscaba algo que no manchase un legado ya bastante mancillado y, por otro lado, que aportase elementos más o menos frescos a la ""mitología Terminator"".","['La verdad es que me están sorprendiendo muchas críticas negativas que estoy viendo por aquí.', ""Desde luego, 'Terminator Zero' no está en el mismo escalón donde se posan 'Terminator' y 'Terminator 2: El juicio final'."", 'Pero eso es imposible, porque estamos hablando de una duología cuyas virtudes van más allá de aspectos puramente fílmicos.', 'Desde que James Cameron abandonara la franquicia (aunque a veces ha participado de manera más o menos tímida en alguna producción), la saga apenas ha tenido buenos momentos.', 'T3 fue un desastre que sólo sirvió para insultar el final de T2.', ""'Salvation', por su parte, aunque me parezca una película más que digna (y con un Kyle Reese magnífico), tiene el defecto de seguir manteniéndose como una secuela, lo cual sigue haciendo que el final de T2 carezca de importancia."", ""Personalmente, 'Salvation' prefiero verla como una precuela de T1 y T2."", ""Y bueno, esos experimentos llamados 'Genisys' y 'Dark Fate', insultos mayúsculos, prefiero hacer como si no existiesen.Realmente considero que toda la saga 'Terminator' se reduce a tres obras: 'Terminator', 'Terminator 2: El juicio final' y el videojuego 'Terminator: Resistance'."", ""Por favor, si aún no habéis jugado a 'Resistance', hacedlo."", ""Como videojuego, será muy simple, pero como pieza de la saga, es una obra magnífica.La cuestión es que desde que se anunció un anime de 'Terminator' para Netflix estuve interesado en el proyecto."", ""Al fin y al cabo Netflix es capaz de lo peor, pero también de lo mejor, y ya nos había entregado animes excelentes como 'Cyberpunk: Edgerunners' por parte de Trigger."", 'Y lo cierto es que he estado enganchado y atento durante más de tres horas.', ""Estaba interesado en todo lo que me estaba mostrando 'Terminator Zero' y me estaba haciendo varias preguntas: ¿Por qué Tokyo?"", '¿Por qué en 1997 hay cosas tan avanzadas?', '¿Quién es la chica que envían al pasado?', '¿Qué es Kokoro?Durante el desarrollo de la serie, se van descubriendo nuevos aspectos de la trama que generan nuevas preguntas y la gran mayoría son respondidas durante su desenlace.', 'La idea me parece bastante acertada.', 'Es una obra que no insulta el legado icónico de nombres como ""John Connor"", ""Sarah Connor"", ""Skynet"" o ""el día del juicio final"".', 'Y creo que es un movimiento muy inteligente llevar esta trama a un lugar paralelo a la historia que todos conocemos, introduciendo elementos novedosos para una línea temporal que para nada afecta a la trama original de la franquicia.', ""Al fin y al cabo, para los más puristas de 'Terminator', y ahí me incluiría perfectamente, la saga siempre se reducirá a T1 y T2, añadiendo un complemento sobresaliente como es 'Resistance'."", ""'Terminator Zero' es algo distinto, es una perspectiva diferente, que apuesta por abrazar el tono más existencial de la franquicia."", 'Hay un debate filosófico continuo a lo largo de los episodios que dan la clave al porqué de todo el conflicto de la obra, aportando profundidad en el choque humano-máquina.', ""La idea de presentar otra IA (que no es Skynet ni sustituye a Skynet como pasaba en 'Genisys' y 'Dark Fate') me parece algo bastante acertado."", 'Siempre he pensado que el gran villano de la saga no es tanto Skynet como el tiempo.', 'Y en este anime, esta vez nuestros protagonistas aprovechan el tiempo para adelantarse a Skynet.Como anime, siempre aplaudiré la naturaleza propia de la animación asiática.', 'Puede que \'Terminator Zero\' no esté en el mismo saco donde se encuentran los grandes animes de los últimos años en cuanto a calidad de la animación y demás, pero como anime en sí mantiene las virtudes propias de su medio, como son el uso de la violencia sin ningún tipo de censura, ausencia de complejos a la hora de mostrar algunos desnudos puntuales y tramas que provocan la reflexión y el análisis en el espectador.La ambientación y el trabajo musical han hecho que disfrute de una obra del género cyberpunk que me ha recordado, por momentos, a grandes animes de la vieja escuela.Lo dicho, no es una maravilla, pero desde luego queda justificado el interés de cierto público que buscaba algo que no manchase un legado ya bastante mancillado y, por otro lado, que aportase elementos más o menos frescos a la ""mitología Terminator"".']","['terminator', 'mas', 'final', 'saga', 'skynet', 'zero', 'obra', 'anime', 'juicio', 'franquicia']",4,25,Accion,"La verdad es que me están sorprendiendo muchas críticas negativas que estoy viendo por aquí. Desde luego, 'Terminator Zero' no está en el mismo escalón donde se posan 'Terminator' y 'Terminator 2: El ..."
"El universo del mundo creado por James Cameron es Terminator (1984), Terminator 2: El juicio final (1991),Terminator 3: La rebelión de las máquinas (2003), Terminator: Las crónicas de Sarah Connor (2008), Terminator Salvation (2009) y Terminator: Destino oscuro (2019).Acabo de terminar de ver los 8 capítulos de la nueva serie basada en este universo de Terminator.Terminator Zero (2024) es una recopilación de todas las películas en una, un nuevo guión que cuenta la vieja historia, la serie está llena de guiños de casi todas las películas.La serie es excelente, aunque nos presenta un guión dentro del guión conocido, una nueva historia dentro de la historia que ya nos han contado.La serie nos presenta nuevos cambios y nuevas ideas, ideas que cambian lo que ya nos han contado, nuevos personajes, nuevos villanos, nueva inteligencia artificial.La idea de presentar la serie en dibujos al estilo Manga es excelente, música, las escenas de acción  y el planteamiento del guión es muy bueno.Merece la pena verla y apreciar el intento de volver a contarnos la historia desde otra perspectiva.Creo qué no defraudará a nadie !!!!","['El universo del mundo creado por James Cameron es Terminator (1984), Terminator 2: El juicio final (1991),Terminator 3: La rebelión de las máquinas (2003), Terminator: Las crónicas de Sarah Connor (2008), Terminator Salvation (2009) y Terminator: Destino oscuro (2019).Acabo de terminar de ver los 8 capítulos de la nueva serie basada en este universo de Terminator.Terminator Zero (2024) es una recopilación de todas las películas en una, un nuevo guión que cuenta la vieja historia, la serie está llena de guiños de casi todas las películas.La serie es excelente, aunque nos presenta un guión dentro del guión conocido, una nueva historia dentro de la historia que ya nos han contado.La serie nos presenta nuevos cambios y nuevas ideas, ideas que cambian lo que ya nos han contado, nuevos personajes, nuevos villanos, nueva inteligencia artificial.La idea de presentar la serie en dibujos al estilo Manga es excelente, música, las escenas de acción  y el planteamiento del guión es muy bueno.Merece la pena verla y apreciar el intento de volver a contarnos la historia desde otra perspectiva.Creo qué no defraudará a nadie !', '!!', '!']",[],3,26,Accion,"El universo del mundo creado por James Cameron es Terminator (1984), Terminator 2: El juicio final (1991),Terminator 3: La rebelión de las máquinas (2003), Terminator: Las crónicas de Sarah Connor (20..."
"Todos los capítulos tienen su momento de acción y una parte en la que los personajes reflexionan, esto ya se ha dicho, de lo que no se habla tanto es de los giros que da la historia, a mi me gustaron y si bien ninguno es del todo original (no hay nada que no se haya visto ya en ciencia ficción) funcionan. Los diferentes personajes son medianamente interesante, el guion también es mas o menos interesante.Entiendo que las partes reflexivas (o filosóficas) aburrieron a varios y se quejaron pero yo las toleré bien así que le pongo una nota alta.","['Todos los capítulos tienen su momento de acción y una parte en la que los personajes reflexionan, esto ya se ha dicho, de lo que no se habla tanto es de los giros que da la historia, a mi me gustaron y si bien ninguno es del todo original (no hay nada que no se haya visto ya en ciencia ficción) funcionan.', 'Los diferentes personajes son medianamente interesante, el guion también es mas o menos interesante.Entiendo que las partes reflexivas (o filosóficas) aburrieron a varios y se quejaron pero yo las toleré bien así que le pongo una nota alta.']",[],2,27,Accion,"Todos los capítulos tienen su momento de acción y una parte en la que los personajes reflexionan, esto ya se ha dicho, de lo que no se habla tanto es de los giros que da la historia, a mi me gustaron ..."
"Aburrida, absurda, cansina, ridícula, con un falsario (y soporífero) discurso filosófico-existencialista, alguna que otra perlita ""woke"" y, en general, un sinsentido. Lo mismo que nos han contando, hasta la saciedad, en casi todas las entregas anteriores, pero peor, compartiendo un VERGONZOSO podio con Génesis y Dark Fate, en lo que supone un clavo más en el ataúd de la saga...No pierdas el tiempo viendo esto. A excepción de algunas escenas puntuales, carece prácticamente de INTERÉS. No es apta para el público en general, ni para fans ni para otakus, y ni siquiera la calificación R la salva.Otra oportunidad desperdiciada y en definitiva, un DESPROPÓSITO.","['Aburrida, absurda, cansina, ridícula, con un falsario (y soporífero) discurso filosófico-existencialista, alguna que otra perlita ""woke"" y, en general, un sinsentido.', 'Lo mismo que nos han contando, hasta la saciedad, en casi todas las entregas anteriores, pero peor, compartiendo un VERGONZOSO podio con Génesis y Dark Fate, en lo que supone un clavo más en el ataúd de la saga...No pierdas el tiempo viendo esto.', 'A excepción de algunas escenas puntuales, carece prácticamente de INTERÉS.', 'No es apta para el público en general, ni para fans ni para otakus, y ni siquiera la calificación R la salva.Otra oportunidad desperdiciada y en definitiva, un DESPROPÓSITO.']",[],4,28,Accion,"Aburrida, absurda, cansina, ridícula, con un falsario (y soporífero) discurso filosófico-existencialista, alguna que otra perlita ""woke"" y, en general, un sinsentido. Lo mismo que nos han contando, ha..."
"Una excelente seriañe, bien construida y desarrollada, recuerda mucho a varias historias contadas en los cómics.Lo mejor es su excelente calidad, tanto en sonido como en cgi, eso la hace muy disfrutable. Además en ciertos momentos se sienten toques de terror como en T1, haciéndola mejor a cada momento.Quizá el único pero, son las actuaciones de algunos personajes que la hacen un poco insufrible, pero recordemos que está ambientada en Japón,  donde es otra cultura y otra forma de actuar en determinados momentos.En resumen UNA EXCELENTE SERIE, totalmente recomendable y que ayuda a reflotar la franquicia después de las últimas horribles películas.No hagan caso de críticas que a todo ponen una mala nota y que su afán es criticar porque si, véanla y la disfrutarán, así como Aliens RomulusMuy recomendable","['Una excelente seriañe, bien construida y desarrollada, recuerda mucho a varias historias contadas en los cómics.Lo mejor es su excelente calidad, tanto en sonido como en cgi, eso la hace muy disfrutable.', 'Además en ciertos momentos se sienten toques de terror como en T1, haciéndola mejor a cada momento.Quizá el único pero, son las actuaciones de algunos personajes que la hacen un poco insufrible, pero recordemos que está ambientada en Japón,  donde es otra cultura y otra forma de actuar en determinados momentos.En resumen UNA EXCELENTE SERIE, totalmente recomendable y que ayuda a reflotar la franquicia después de las últimas horribles películas.No hagan caso de críticas que a todo ponen una mala nota y que su afán es criticar porque si, véanla y la disfrutarán, así como Aliens RomulusMuy recomendable']",[],2,29,Accion,"Una excelente seriañe, bien construida y desarrollada, recuerda mucho a varias historias contadas en los cómics.Lo mejor es su excelente calidad, tanto en sonido como en cgi, eso la hace muy disfrutab..."
"La IA tan de moda en estos días pero que sin embargo siempre fue mencionada de diversas formas en todos y cada uno de los proyectos paridos por la ciencia ficción, es la que abre este nuevo proyecto a cerca de los famosos Terminators. Esta vez en formato del estilo anime y en una plataforma en la cual son escasos los títulos de calidad e interesantes.Historias alternativas con referencias a los componentes principales de los originales: Skynet, el día del Juicio, los robots y otras cosas mas.Innecesaria y ridícula a mas no poder. El feminismo, el Wokismo y el pensamiento limitado.Es una pena que estas franquicias sean vejadas de esta manera a tal punto que ya no da ganas ni entusiasmo de verlas y si lo hice, solo fue para comprobar que el cine, las series y los dibujos animados que tanto disfrute de niño, joven y parte de mi adultez, han desaparecido.Los problemas surgen al conocer a los personajes y es que el lore se ve afectado en sobremanera.También sigue el virus del feminismo y esta vez es ridículo al extremo.Algunos diálogos son de grima extrema y sólo por eso, no es recomendable tomarse en serio este producto fallido.Si quieren ver una buena película, interesante y  con una IA creíble la mejor opción es aquél magnífico Film llamado ALITA 2019.La calidad de los dibujos y animación, no es la gran cosa y hasta ya hay criticas de que el guion tiene algo de reflexivo. Algo que me causa risa y vergüenza ajena.Netflix a tomado la bandera para atacar directamente al género masculino en todas formas de manera directa e indirecta, y unos pocos nos damos cuenta de eso.Siguen los productos MIERDOSOS como Alien romulus y Deadpool 3..","['La IA tan de moda en estos días pero que sin embargo siempre fue mencionada de diversas formas en todos y cada uno de los proyectos paridos por la ciencia ficción, es la que abre este nuevo proyecto a cerca de los famosos Terminators.', 'Esta vez en formato del estilo anime y en una plataforma en la cual son escasos los títulos de calidad e interesantes.Historias alternativas con referencias a los componentes principales de los originales: Skynet, el día del Juicio, los robots y otras cosas mas.Innecesaria y ridícula a mas no poder.', 'Estas empresas de supuesto entretenimiento, no escarmientan mas y siguen con los vicios de la ultima película de esta franquicia.', 'El feminismo, el Wokismo y el pensamiento limitado.Es una pena que estas franquicias sean vejadas de esta manera a tal punto que ya no da ganas ni entusiasmo de verlas y si lo hice, solo fue para comprobar que el cine, las series y los dibujos animados que tanto disfrute de niño, joven y parte de mi adultez, han desaparecido.Los problemas surgen al conocer a los personajes y es que el lore se ve afectado en sobremanera.También sigue el virus del feminismo y esta vez es ridículo al extremo.Algunos diálogos son de grima extrema y sólo por eso, no es recomendable tomarse en serio este producto fallido.Si quieren ver una buena película, interesante y  con una IA creíble la mejor opción es aquél magnífico Film llamado ALITA 2019.La calidad de los dibujos y animación, no es la gran cosa y hasta ya hay criticas de que el guion tiene algo de reflexivo.', 'Algo que me causa risa y vergüenza ajena.Netflix a tomado la bandera para atacar directamente al género masculino en todas formas de manera directa e indirecta, y unos pocos nos damos cuenta de eso.Siguen los productos MIERDOSOS como Alien romulus y Deadpool 3..']","['mas', 'formas', 'vez', 'calidad', 'siguen', 'pelicula', 'feminismo', 'manera', 'solo', 'dibujos']",4,30,Accion,"La IA tan de moda en estos días pero que sin embargo siempre fue mencionada de diversas formas en todos y cada uno de los proyectos paridos por la ciencia ficción, es la que abre este nuevo proyecto a..."
