id,texto,dominio,etiqueta,grupo_relevancia
1,El banco informó a la alumna que el apoyo para continuar sus estudios ya estaba disponible.,educacion,consulta-informacion,educacion_beca
2,La coordinadora habló con la estudiante porque ella necesitaba información sobre el apoyo.,educacion,consulta_informacion,educacion_beca
3,Requiero información sobre becas académicas para estudiantes de posgrado hoy.,educacion,consulta_informacion,educacion_beca
4,"¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño, hoy.",educacion,consulta_informacion,educacion_beca
5,Busco requisitos para solicitar una beca universitaria este periodo.,educacion,consulta_informacion,educacion_beca
6,Quiero saber si existe apoyo financiero para continuar mis estudios hoy.,educacion,consulta-informacion,educacion_beca
7,"La coordinación publicó información sobre estímulos para estudiantes destacados, hoy.",educacion,consulta_informacion,educacion_beca
8,¿Qué documentos solicitan para el programa de becas de la universidad?,educacion,consulta_informacion,educacion_beca
9,Necesito orientación sobre apoyo económico estudiantil y fechas de registro hoy.,educacion,consulta_informacion,educacion_beca
10,"¿Cómo puedo consultar los resultados de una convocatoria de beca, hoy.",educacion,consulta_informacion,educacion_beca
11,Necesito información sobre becas académicas para estudiantes de posgrado.,educacion,consulta-informacion,educacion_beca
12,¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño esta semana.,educacion,consulta_informacion,educacion_beca
13,"Busco requisitos para solicitar una beca universitaria este periodo, esta semana.",educacion,consulta_informacion,educacion_beca
14,Quiero saber si existe apoyo financiero para continuar mis estudios.,educacion,consulta_informacion,educacion_beca
15,La coordinación publicó información sobre estímulos para estudiantes destacados esta semana.,educacion,consulta_informacion,educacion_beca
16,"¿Qué documentos solicitan para el programa de becas de la universidad, esta semana.",educacion,consulta-informacion,educacion_beca
17,Necesito orientación sobre apoyo económico estudiantil y fechas de registro.,educacion,consulta_informacion,educacion_beca
18,¿Cómo puedo consultar los resultados de una convocatoria de beca esta semana.,educacion,consulta_informacion,educacion_beca
19,"Necesito información sobre becas académicas para estudiantes de posgrado, desde ayer.",educacion,consulta_informacion,educacion_beca
20,¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño?,educacion,consulta_informacion,educacion_beca
21,Busco requisitos para solicitar una beca universitaria este periodo desde ayer.,educacion,consulta-informacion,educacion_beca
22,"Quiero saber si existe apoyo financiero para continuar mis estudios, desde ayer.",educacion,consulta_informacion,educacion_beca
23,La coordinación publicó información sobre estímulos para estudiantes destacados.,educacion,consulta_informacion,educacion_beca
24,¿Qué documentos solicitan para el programa de becas de la universidad desde ayer.,educacion,consulta_informacion,educacion_beca
25,"Necesito orientación sobre apoyo económico estudiantil y fechas de registro, desde ayer.",educacion,consulta_informacion,educacion_beca
26,¿Cómo puedo consultar los resultados de una convocatoria de beca?,educacion,consulta-informacion,educacion_beca
27,Necesito información sobre becas académicas para estudiantes de posgrado antes del cierre.,educacion,consulta_informacion,educacion_beca
28,"¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño, antes del cierre.",educacion,consulta_informacion,educacion_beca
29,Quiero saber si existe apoyo financiero para continuar mis estudios antes del cierre.,educacion,consulta_informacion,educacion_beca
30,"La coordinación publicó información sobre estímulos para estudiantes destacados, antes del cierre.",educacion,consulta_informacion,educacion_beca
31,Necesito orientación sobre apoyo económico estudiantil y fechas de registro antes del cierre.,educacion,consulta-informacion,educacion_beca
32,"¿Cómo puedo consultar los resultados de una convocatoria de beca, antes del cierre.",educacion,consulta_informacion,educacion_beca
33,¿Dónde consulto la convocatoria de apoyo económico para alumnos con buen desempeño en el portal institucional.,educacion,consulta_informacion,educacion_beca
34,"Busco requisitos para solicitar una beca universitaria este periodo, en el portal institucional.",educacion,consulta_informacion,educacion_beca
35,La coordinación publicó información sobre estímulos para estudiantes destacados en el portal institucional.,educacion,consulta_informacion,educacion_beca
36,"¿Qué documentos solicitan para el programa de becas de la universidad, en el portal institucional.",educacion,consulta-informacion,educacion_beca
37,¿Cómo puedo consultar los resultados de una convocatoria de beca en el portal institucional.,educacion,consulta_informacion,educacion_beca
38,"Requiero información sobre becas académicas para estudiantes de posgrado, para este periodo.",educacion,consulta_informacion,educacion_beca
39,Busco requisitos para solicitar una beca universitaria este periodo para este periodo.,educacion,consulta_informacion,educacion_beca
40,"Quiero saber si existe apoyo financiero para continuar mis estudios, para este periodo.",educacion,consulta_informacion,educacion_beca
41,Requiero información sobre los horarios de consulta médica general hoy.,salud,consulta-informacion,salud_informacion
42,"¿Dónde puedo revisar los servicios disponibles en la clínica universitaria, hoy.",salud,consulta_informacion,salud_informacion
43,Quiero conocer los requisitos para recibir orientación preventiva de salud.,salud,consulta_informacion,salud_informacion
44,Busco información sobre campañas de vacunación y atención preventiva hoy.,salud,consulta_informacion,salud_informacion
45,"¿Qué especialidades médicas están disponibles para los estudiantes, hoy.",salud,consulta_informacion,salud_informacion
46,Necesito saber dónde consultar recomendaciones de salud institucional.,salud,consulta-informacion,salud_informacion
47,Quiero información sobre prevención y servicios médicos disponibles hoy.,salud,consulta_informacion,salud_informacion
48,"¿Dónde publican los horarios de atención del consultorio, hoy.",salud,consulta_informacion,salud_informacion
49,Necesito información sobre los horarios de consulta médica general.,salud,consulta_informacion,salud_informacion
50,¿Dónde puedo revisar los servicios disponibles en la clínica universitaria esta semana.,salud,consulta_informacion,salud_informacion
51,"Quiero conocer los requisitos para recibir orientación preventiva de salud, esta semana.",salud,consulta-informacion,salud_informacion
52,Busco información sobre campañas de vacunación y atención preventiva.,salud,consulta_informacion,salud_informacion
53,¿Qué especialidades médicas están disponibles para los estudiantes esta semana.,salud,consulta_informacion,salud_informacion
54,"Necesito saber dónde consultar recomendaciones de salud institucional, esta semana.",salud,consulta_informacion,salud_informacion
55,Quiero información sobre prevención y servicios médicos disponibles.,salud,consulta_informacion,salud_informacion
56,¿Dónde publican los horarios de atención del consultorio esta semana.,salud,consulta-informacion,salud_informacion
57,"Necesito información sobre los horarios de consulta médica general, desde ayer.",salud,consulta_informacion,salud_informacion
58,¿Dónde puedo revisar los servicios disponibles en la clínica universitaria?,salud,consulta_informacion,salud_informacion
59,Quiero conocer los requisitos para recibir orientación preventiva de salud desde ayer.,salud,consulta_informacion,salud_informacion
60,"Busco información sobre campañas de vacunación y atención preventiva, desde ayer.",salud,consulta_informacion,salud_informacion
61,¿Qué especialidades médicas están disponibles para los estudiantes?,salud,consulta-informacion,salud_informacion
62,Necesito saber dónde consultar recomendaciones de salud institucional desde ayer.,salud,consulta_informacion,salud_informacion
63,"Quiero información sobre prevención y servicios médicos disponibles, desde ayer.",salud,consulta_informacion,salud_informacion
64,¿Dónde publican los horarios de atención del consultorio?,salud,consulta_informacion,salud_informacion
65,Necesito información sobre los horarios de consulta médica general antes del cierre.,salud,consulta_informacion,salud_informacion
66,"¿Dónde puedo revisar los servicios disponibles en la clínica universitaria, antes del cierre.",salud,consulta-informacion,salud_informacion
67,Busco información sobre campañas de vacunación y atención preventiva antes del cierre.,salud,consulta_informacion,salud_informacion
68,"¿Qué especialidades médicas están disponibles para los estudiantes, antes del cierre.",salud,consulta_informacion,salud_informacion
69,Quiero información sobre prevención y servicios médicos disponibles antes del cierre.,salud,consulta_informacion,salud_informacion
70,"¿Dónde publican los horarios de atención del consultorio, antes del cierre.",salud,consulta_informacion,salud_informacion
71,¿Dónde puedo revisar los servicios disponibles en la clínica universitaria en el portal institucional.,salud,consulta-informacion,salud_informacion
72,"Quiero conocer los requisitos para recibir orientación preventiva de salud, en el portal institucional.",salud,consulta_informacion,salud_informacion
73,¿Qué especialidades médicas están disponibles para los estudiantes en el portal institucional.,salud,consulta_informacion,salud_informacion
74,"Necesito saber dónde consultar recomendaciones de salud institucional, en el portal institucional.",salud,consulta_informacion,salud_informacion
75,¿Dónde publican los horarios de atención del consultorio en el portal institucional.,salud,consulta_informacion,salud_informacion
76,"Requiero información sobre los horarios de consulta médica general, para este periodo.",salud,consulta-informacion,salud_informacion
77,Quiero conocer los requisitos para recibir orientación preventiva de salud para este periodo.,salud,consulta_informacion,salud_informacion
78,"Busco información sobre campañas de vacunación y atención preventiva, para este periodo.",salud,consulta_informacion,salud_informacion
79,Necesito saber dónde consultar recomendaciones de salud institucional para este periodo.,salud,consulta_informacion,salud_informacion
80,"Quiero información sobre prevención y servicios médicos disponibles, para este periodo.",salud,consulta_informacion,salud_informacion
81,La administradora escribió al alumno cuando él reportó que la cuenta seguía cerrada.,tecnologia,soporte_tecnico,tecnologia_acceso
82,El sistema revisó la cuenta del estudiante con el módulo nuevo y negó el acceso.,tecnologia,soporte_tecnico,tecnologia_acceso
83,No puedo ingresar a la plataforma aunque mi usuario es correcto hoy.,tecnologia,soporte_tecnico,tecnologia_acceso
84,"El sistema rechaza mi contraseña y necesito recuperar el acceso, hoy.",tecnologia,soporte_tecnico,tecnologia_acceso
