id,texto,motivo,revision_sugerida
14,El estudiante analiza el texto con el programa,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
15,La profesora revisa la evidencia en la plataforma,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
16,El modelo clasificó noticias de tecnología con errores razonables,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
17,El parser generó un árbol con varias ramas,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
18,La alumna comparó resultados en la tabla,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
19,El sistema detectó patrones en los documentos,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
20,El algoritmo procesó oraciones con estructuras simples,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
21,La herramienta identificó dependencias en la oración,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
22,El docente explicó el tema con ejemplos claros,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
24,La gramática aceptó la oración con sintagma preposicional,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
25,El programa guardó los resultados en el archivo,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
26,La clase comparó modelos con criterios técnicos,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
27,Vi al estudiante con el telescopio,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
28,El profesor calificó el proyecto difícil,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
29,El gobierno anunció inversión en hospitales,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
30,La alumna observó al investigador con la cámara,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
31,El docente revisó el reporte con errores,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
32,El sistema analizó documentos de alumnos avanzados,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
33,La profesora explicó la práctica con ejemplos complejos,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
34,El estudiante presentó el análisis del modelo nuevo,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
35,El parser procesó la oración con la herramienta,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
36,El equipo evaluó el resultado del programa automático,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
37,La universidad publicó resultados de estudiantes sobresalientes,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
38,El algoritmo detectó relaciones entre textos similares,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
39,Los alumnos que llegaron tarde entregaron el análisis después de clase,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
42,El modelo que fue entrenado con pocos datos produjo resultados inestables,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
47,El análisis falló aunque la oración era correcta en español,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
48,El parser no reconoció la estructura porque faltaba una regla de producción,"posible ambigüedad, sintagma preposicional o varios análisis","comparar interpretación por reglas, spaCy y criterio humano"
