id,tipo,valida_cfg,num_parseos_cfg,raiz_spacy,enfoque_recomendado,observacion
1,simple,True,1,analiza,reglas suficientes para estructura básica,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
2,simple,True,1,evidencia,reglas suficientes para estructura básica,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
3,simple,True,1,genera,reglas suficientes para estructura básica,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
4,simple,False,0,modelo,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
5,simple,False,0,identifica,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
6,simple,False,0,clasifica,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
7,simple,False,0,herramienta,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
8,simple,False,0,compara,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
9,simple,False,0,reconoce,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
10,simple,False,0,exporta,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
11,simple,False,0,revisa,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
12,simple,False,0,explica,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
13,simple,False,0,entrega,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
14,sintagma_preposicional,True,3,analiza,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
15,sintagma_preposicional,True,3,revisa,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
16,sintagma_preposicional,False,0,clasificó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
17,sintagma_preposicional,False,0,generó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
18,sintagma_preposicional,False,0,comparó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
19,sintagma_preposicional,False,0,detectó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
20,sintagma_preposicional,False,0,procesó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
21,sintagma_preposicional,False,0,identificó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
22,sintagma_preposicional,False,0,explicó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
23,sintagma_preposicional,False,0,revisó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
24,sintagma_preposicional,False,0,aceptó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
25,sintagma_preposicional,False,0,guardó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
26,sintagma_preposicional,False,0,comparó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
27,ambigua,False,0,Vi,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
28,ambigua,False,0,calificó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
29,ambigua,False,0,anunció,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
30,ambigua,False,0,observó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
31,ambigua,False,0,revisó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
32,ambigua,False,0,analizó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
33,ambigua,False,0,explicó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
34,ambigua,False,0,presentó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
35,ambigua,False,0,procesó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
36,ambigua,False,0,evaluó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
37,ambigua,False,0,publicó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
38,ambigua,False,0,detectó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
39,dificil_para_reglas,False,0,entregaron,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
40,dificil_para_reglas,False,0,detectó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
41,dificil_para_reglas,False,0,falló,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
42,dificil_para_reglas,False,0,produjo,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
43,dificil_para_reglas,False,0,oración,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
44,dificil_para_reglas,False,0,rechazado,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
45,dificil_para_reglas,False,0,identificó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
46,dificil_para_reglas,False,0,tenían,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
47,dificil_para_reglas,False,0,falló,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
48,dificil_para_reglas,False,0,reconoció,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
49,dificil_para_reglas,False,0,parecía,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
50,dificil_para_reglas,False,0,generó,comparar reglas y parser moderno,"revisar manualmente si hay preposición, múltiples complementos o rechazo por reglas"
