resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"Desde que hace ya más de 50 años que William Peter Blatty primero y, William Friedkin después, concibieran el mito de The Exorcist, nunca jamás nada volvió a ser igual. El carácter puramente dramático e interpretativo, por un lado y, el relato puramente terrorífico basado en las posesiones demoníacas.Funciona bien como relato dramático, al que sin duda ayuda, y mucho, el plantel interpretativo. Honestamente y, considerando, que mí opinión puede ser completamente irrelevante, tanta retórica victimista no diré que cansa, ni que aburre, pero sí que satura.Dos pesos pesados como Glenn Close y Mo´Nique están bien en sus respectivos roles, aunque es Andra Day, quién se erige en protagonista con un personaje áspero y, bastante desagradable.Es de agradecer a Lee Daniels, por otra parte, el hecho de que el relato puramente terrorífico, haya quedado  relegado al último tercio de la película. Ello no quita que se pueda disfrutar, aunque tampoco se nos mantendrá excesivamente anclada en nuestra memoria.NOTA: De verdad, tengo tantas ganas y, desde hace tantos años, para un día decir, ""Es la mejor puta película que he visto desde The Exorcist"", y nada.","['Desde que hace ya más de 50 años que William Peter Blatty primero y, William Friedkin después, concibieran el mito de The Exorcist, nunca jamás nada volvió a ser igual.', 'Decenas de producciones hechas, las cuales, ni siquiera han conseguido rozar el acercamiento a The Exorcist.Ello no quita que hayan habido producciones buenas.', 'Que desde una perspectiva de contar una historia digna y, el efectismo que logran conseguir los avances tecnológicos al servicio del cine, se pueda hacer de ellas un producto disfrutable.La liberación la podríamos separar en dos apartados diferentes.', 'El carácter puramente dramático e interpretativo, por un lado y, el relato puramente terrorífico basado en las posesiones demoníacas.Funciona bien como relato dramático, al que sin duda ayuda, y mucho, el plantel interpretativo.', 'Lee Daniels construye una historia común estadounidense.', 'Drama familiar con el componente racial de la comunidad afroamericana, como premisa argumental base.', 'Honestamente y, considerando, que mí opinión puede ser completamente irrelevante, tanta retórica victimista no diré que cansa, ni que aburre, pero sí que satura.Dos pesos pesados como Glenn Close y Mo´Nique están bien en sus respectivos roles, aunque es Andra Day, quién se erige en protagonista con un personaje áspero y, bastante desagradable.Es de agradecer a Lee Daniels, por otra parte, el hecho de que el relato puramente terrorífico, haya quedado  relegado al último tercio de la película.', 'Me refiero a que no tenemos que lidiar con ojos vueltos, cabriolas y, Break Dance desde el minuto diez.', 'Es precisamente en ese último tercio cuando el efectismo visual, bien resulto por cierto, comienza a cobrar relevancia.', 'Aunque he tenido la sensación de que todo ese desarrollo, comienza a transmitir sensación de apresuramiento.Bien, no sé...la película no nos muestra nada destacable en ningún aspecto realmente.', 'Como drama funciona bien, aunque sea una historia bastante clásica.', 'Como relato de terror, lo mismo, nada que no sepamos ni hayamos visto cien mil veces.', 'Ello no quita que se pueda disfrutar, aunque tampoco se nos mantendrá excesivamente anclada en nuestra memoria.NOTA: De verdad, tengo tantas ganas y, desde hace tantos años, para un día decir, ""Es la mejor puta película que he visto desde The Exorcist"", y nada.', 'No lo consigo ni pa Dios.']","['bien', 'relato', 'aunque', 'the', 'exorcist', 'historia', 'puramente', 'pelicula', 'hace', 'anos']",4,10,Terror,"Desde que hace ya más de 50 años que William Peter Blatty primero y, William Friedkin después, concibieran el mito de The Exorcist, nunca jamás nada volvió a ser igual. Decenas de producciones hechas,..."
"Ya la has visto antes de verla en otras 200 películas del mismo estilo que salieron post El Exorcista, y lo único que tiene de nuevo es que  es una versión hecha por y para evangelistas. Nada absolutamente nada nuevo en este diablo que trepa paredes como Spiderman.La única que se salva en todo este refrito es Glenn Close, que por más tonto que sea su papel en cualquier película, ella la mejora con su sola presencia. Pero da pena que se preste a este tipo de trabajos.Entiendo que esta hecha para personas con 19 años que no hayan visto apenas cine. La mercancía tiene que renovarse para el consumo de cada generación, y si algo funciona para qué intentar cosas nuevas …no hay un solo impacto original :( por lo que no asusta y aburre bastante.Escribía la crítica mientras la veía terminar, y he vuelto a estas líneas para ponerle peor nota al encontrarme con que se inspira en una “historia real” y da pábulo a la memez de que todavía se viven cosas extrañas en el terreno de la casa…si hubiera ido solo de ficción tendría un pase, pero que el fin real sea de paso adoctrinar, me escandaliza.","['Ya la has visto antes de verla en otras 200 películas del mismo estilo que salieron post El Exorcista, y lo único que tiene de nuevo es que  es una versión hecha por y para evangelistas.', 'Nada absolutamente nada nuevo en este diablo que trepa paredes como Spiderman.La única que se salva en todo este refrito es Glenn Close, que por más tonto que sea su papel en cualquier película, ella la mejora con su sola presencia.', 'Pero da pena que se preste a este tipo de trabajos.Entiendo que esta hecha para personas con 19 años que no hayan visto apenas cine.', 'La mercancía tiene que renovarse para el consumo de cada generación, y si algo funciona para qué intentar cosas nuevas …no hay un solo impacto original :( por lo que no asusta y aburre bastante.Escribía la crítica mientras la veía terminar, y he vuelto a estas líneas para ponerle peor nota al encontrarme con que se inspira en una “historia real” y da pábulo a la memez de que todavía se viven cosas extrañas en el terreno de la casa…si hubiera ido solo de ficción tendría un pase, pero que el fin real sea de paso adoctrinar, me escandaliza.']",[],4,11,Terror,"Ya la has visto antes de verla en otras 200 películas del mismo estilo que salieron post El Exorcista, y lo único que tiene de nuevo es que  es una versión hecha por y para evangelistas. Nada absoluta..."
"Hay que puntualizar que no es una peli de terror, sino un dramón barato digno de antena 3 a la hora de la sobremesa. ""La Ebony"" (se han comido el tarro con el nombre el guionista) de hortaleza sufridora que intenta sacar a su familia adelante mientras lidia con su adicción al alcohol. No te dejes engañar, no pertenece al género de terror, es un drama, y muy de serie b barata. A partir de ahí la fotografía regulera, realización igual y el reparto encabezado por Glenn Close y cerrado por ella misma, porque no hay nadie reseñable.","['Hay que puntualizar que no es una peli de terror, sino un dramón barato digno de antena 3 a la hora de la sobremesa.', '""La Ebony"" (se han comido el tarro con el nombre el guionista) de hortaleza sufridora que intenta sacar a su familia adelante mientras lidia con su adicción al alcohol.', 'No te dejes engañar, no pertenece al género de terror, es un drama, y muy de serie b barata.', 'A partir de ahí la fotografía regulera, realización igual y el reparto encabezado por Glenn Close y cerrado por ella misma, porque no hay nadie reseñable.', 'Candidata firme a los premios Razzies 2024, yo la voy a votar desde luego.', 'Si empiezas a verla esperando a que arranque, eso no va a pasar ""amijos"".', 'Otro quiero y no puedo lamentable que da verguenza ajena.']","['terror', 'puntualizar', 'peli', 'sino', 'dramon', 'barato', 'digno', 'antena', 'hora', 'sobremesa']",4,12,Terror,"Hay que puntualizar que no es una peli de terror, sino un dramón barato digno de antena 3 a la hora de la sobremesa. ""La Ebony"" (se han comido el tarro con el nombre el guionista) de hortaleza sufrido..."
"La carrera de Lee Daniels es cuanto menos irregular. Desde la muy sobrevalorada Precious hasta El mayordomo, quizás lo más brillante de su filmografía sea el biopic de Billie Holiday, que ya tenía a Andra Day como protagonista.En esta ocasión, Daniels y Day se unen de nuevo para contarnos una historia más de posesión supuestamente real, y el resultado es francamente anodino. Entretiene, sí, desde luego, y Day se esfuerza por hacer creíble su personaje, pero la química con Glenn Close (¿?) es nula y el desarrollo está ya tan visto en mil películas previas que no sorprende ni aterroriza.Muy simplona y poco interesante.","['La carrera de Lee Daniels es cuanto menos irregular.', 'Desde la muy sobrevalorada Precious hasta El mayordomo, quizás lo más brillante de su filmografía sea el biopic de Billie Holiday, que ya tenía a Andra Day como protagonista.En esta ocasión, Daniels y Day se unen de nuevo para contarnos una historia más de posesión supuestamente real, y el resultado es francamente anodino.', 'Entretiene, sí, desde luego, y Day se esfuerza por hacer creíble su personaje, pero la química con Glenn Close (¿?)', 'es nula y el desarrollo está ya tan visto en mil películas previas que no sorprende ni aterroriza.Muy simplona y poco interesante.']",[],4,13,Terror,"La carrera de Lee Daniels es cuanto menos irregular. Desde la muy sobrevalorada Precious hasta El mayordomo, quizás lo más brillante de su filmografía sea el biopic de Billie Holiday, que ya tenía a A..."
"A medida que los sucesos extraños se intensifican, tanto la familia como la comunidad local empiezan a creer que la casa es un portal al infierno.A pesar de la prometedora premisa, la película no logra desarrollar su potencial de manera efectiva. La dirección de Lee Daniels, aunque competente en otros géneros, aquí se siente desorientada, incapaz de mantener una atmósfera consistente de terror o de construir una tensión que realmente involucre al espectador.Los personajes, a pesar de enfrentarse a una situación aterradora, no logran conectar emocionalmente con el público, lo que reduce el impacto de sus experiencias. Incluso los momentos más ""escalofriantes"" se sienten reciclados de otras películas, lo que disminuye su efectividad.En resumen, es una entrada decepcionante en el género de terror. A pesar de su premisa, no logra generar el miedo o la intriga que promete, quedándose en un ejercicio superficial y poco memorable.","['Intenta sumergirnos en el clásico subgénero del terror de casas encantadas, mezclando elementos sobrenaturales con un trasfondo de intriga.', 'La trama sigue a una familia que se muda a una casa en Indiana, solo para descubrir que el lugar alberga fuerzas oscuras y demoníacas.', 'A medida que los sucesos extraños se intensifican, tanto la familia como la comunidad local empiezan a creer que la casa es un portal al infierno.A pesar de la prometedora premisa, la película no logra desarrollar su potencial de manera efectiva.', 'La historia cae rápidamente en los tropos más comunes del género, con sustos predecibles y una narrativa que carece de originalidad.', 'La dirección de Lee Daniels, aunque competente en otros géneros, aquí se siente desorientada, incapaz de mantener una atmósfera consistente de terror o de construir una tensión que realmente involucre al espectador.Los personajes, a pesar de enfrentarse a una situación aterradora, no logran conectar emocionalmente con el público, lo que reduce el impacto de sus experiencias.', 'Las actuaciones son en su mayoría planas, y el guion no les da suficiente material para que desarrollen profundidad o complejidad.', 'Como resultado, la historia avanza sin generar un verdadero sentido de peligro o desesperación.Visualmente, la película no ofrece nada nuevo.', 'Los efectos especiales y el diseño de producción son genéricos, careciendo de la creatividad necesaria para destacar en un género tan saturado.', 'Incluso los momentos más ""escalofriantes"" se sienten reciclados de otras películas, lo que disminuye su efectividad.En resumen, es una entrada decepcionante en el género de terror.', 'A pesar de su premisa, no logra generar el miedo o la intriga que promete, quedándose en un ejercicio superficial y poco memorable.']","['terror', 'pesar', 'genero', 'intriga', 'familia', 'casa', 'premisa', 'pelicula', 'logra', 'historia']",4,14,Terror,"Intenta sumergirnos en el clásico subgénero del terror de casas encantadas, mezclando elementos sobrenaturales con un trasfondo de intriga. La trama sigue a una familia que se muda a una casa en India..."
"El aclamado director nos ofrece su propia mirada de terror con una historia que intensifica el drama para explotar en el terror de forma agridulce.Basada en hechos reales en la ciudad de Indiana, su director nos enfrenta a un relato con el cual vamos cayendo a medida que vamos conociendo de la verdadera maldad que esconde la casa en cuestión donde transcurre todo. Para ello da pie a contarnos la historia de una familia absolutamente disfuncional con la cual vas intensificando el drama de manera aguda y en la que se permite brillar tanto a Andra Day en su protagónico y a Glenn Close quienes se entregan por completo a sus complejos personajes y su frenética relación de madre e hija.El director sabe llevar los conflictos con la astucia que marca el sello de los dramas que propone Daniels en sus películas y aquí lo hace con intensidad mientras nos va dando piscas de terror que van combatiendo con la potencia de un drama que por momentos se apodera más de su guion que propiamente los sustos que uno desea ver.Cuando estalla el terror, el director sorprende con ciertas decisiones que te hacen recordar a un par de clásicos del género sin dejar de estar presente que Lee Daniels se atreve a darnos en su propia mirada de sustos que no abusan de los recursos baratos y que realmente llegan a ser muy bien logrados y terroríficos.El manejo que tiene el director para darle momentos a todo su reparto es algo que también vale la pena destacar y podemos ver interesantes momentos de un reparto secundario como Aunjanue Ellis-Taylor, Mo'Nique, Caleb McLaughlin, Anthony B. Jenkins y Demi Singleton.La construcción y el debut del director en el género de terror se siente de manera agraz, ya que se pueden ver las intenciones de darnos algo más de una simple historia de terror sobre una casa embrujada, pero también la intensidad de contarnos un trasfondo más allá de encontrar un demonio ficticio en la historia hace que la película tenga una constante lucha entre el intenso drama familiar y una interesante historia de posesiones y es aquí donde la película no termina de consolidarse como algo realmente redondo en su resultado final.Me quedo con una apuesta de Netflix que tiene momentos altos de un cineasta que es muy bueno haciendo lo que sabe y su debut en el género de terror es bastante interesante, que no llega a ser totalmente satisfactorio por esa pequeña lucha que produce en el espectador de enfrentarnos a un drama que nos cautiva gracias a sus interpretaciones, pero que lo que esperamos ver es una película de terror sobre una casa embrujada y esos momentos se sienten demasiados escasos en su resultado final.De todas maneras, es una película que vale la pena ver y disfrutar por qué termina en su suma final, siendo una apuesta con la que logras conectar y entretenerte en gran parte de todo su visionado, Netflix brinda una apuesta que destaca por sobre otros estrenos de este 2024 en su catálogo.","['El aclamado director nos ofrece su propia mirada de terror con una historia que intensifica el drama para explotar en el terror de forma agridulce.Basada en hechos reales en la ciudad de Indiana, su director nos enfrenta a un relato con el cual vamos cayendo a medida que vamos conociendo de la verdadera maldad que esconde la casa en cuestión donde transcurre todo.', ""Para ello da pie a contarnos la historia de una familia absolutamente disfuncional con la cual vas intensificando el drama de manera aguda y en la que se permite brillar tanto a Andra Day en su protagónico y a Glenn Close quienes se entregan por completo a sus complejos personajes y su frenética relación de madre e hija.El director sabe llevar los conflictos con la astucia que marca el sello de los dramas que propone Daniels en sus películas y aquí lo hace con intensidad mientras nos va dando piscas de terror que van combatiendo con la potencia de un drama que por momentos se apodera más de su guion que propiamente los sustos que uno desea ver.Cuando estalla el terror, el director sorprende con ciertas decisiones que te hacen recordar a un par de clásicos del género sin dejar de estar presente que Lee Daniels se atreve a darnos en su propia mirada de sustos que no abusan de los recursos baratos y que realmente llegan a ser muy bien logrados y terroríficos.El manejo que tiene el director para darle momentos a todo su reparto es algo que también vale la pena destacar y podemos ver interesantes momentos de un reparto secundario como Aunjanue Ellis-Taylor, Mo'Nique, Caleb McLaughlin, Anthony B. Jenkins y Demi Singleton.La construcción y el debut del director en el género de terror se siente de manera agraz, ya que se pueden ver las intenciones de darnos algo más de una simple historia de terror sobre una casa embrujada, pero también la intensidad de contarnos un trasfondo más allá de encontrar un demonio ficticio en la historia hace que la película tenga una constante lucha entre el intenso drama familiar y una interesante historia de posesiones y es aquí donde la película no termina de consolidarse como algo realmente redondo en su resultado final.Me quedo con una apuesta de Netflix que tiene momentos altos de un cineasta que es muy bueno haciendo lo que sabe y su debut en el género de terror es bastante interesante, que no llega a ser totalmente satisfactorio por esa pequeña lucha que produce en el espectador de enfrentarnos a un drama que nos cautiva gracias a sus interpretaciones, pero que lo que esperamos ver es una película de terror sobre una casa embrujada y esos momentos se sienten demasiados escasos en su resultado final.De todas maneras, es una película que vale la pena ver y disfrutar por qué termina en su suma final, siendo una apuesta con la que logras conectar y entretenerte en gran parte de todo su visionado, Netflix brinda una apuesta que destaca por sobre otros estrenos de este 2024 en su catálogo.""]",[],2,15,Terror,"El aclamado director nos ofrece su propia mirada de terror con una historia que intensifica el drama para explotar en el terror de forma agridulce.Basada en hechos reales en la ciudad de Indiana, su d..."
"Andra Day y Glenn Close son fascinantes, al ofrecer interpretaciones sumamente entrañables y sórdidas, pero desafortunadamente en otros aspectos la película falla abismalmente; en primer lugar la crítica social que integra gran parte del metraje funciona en ciertos puntos sobre todo porque Lee Daniel su director los maneja con mucha destreza porque realmente generan un impacto y una reflexión en la audiencia, desafortunadamente a veces la forma en que es presentada es demasiado melodramática y brusca, haciendo que ciertas escenas que deberían ser impactantes se vuelvan risibles.En segundo lugar, los sustos que deberían ser un pilar para una película de terror, acá no hay una construcción de atmosfera adecuada, sino que simplemente se usan jumpscares demasiado clichés y con efectos especiales tan malos que parecen de los 90, por lo que, si el terror no funciona y la crítica social es mediocre, simplemente la película no funciona, ni siquiera sus potentes actuaciones logran salvarla.","['Andra Day y Glenn Close son fascinantes, al ofrecer interpretaciones sumamente entrañables y sórdidas, pero desafortunadamente en otros aspectos la película falla abismalmente; en primer lugar la crítica social que integra gran parte del metraje funciona en ciertos puntos sobre todo porque Lee Daniel su director los maneja con mucha destreza porque realmente generan un impacto y una reflexión en la audiencia, desafortunadamente a veces la forma en que es presentada es demasiado melodramática y brusca, haciendo que ciertas escenas que deberían ser impactantes se vuelvan risibles.En segundo lugar, los sustos que deberían ser un pilar para una película de terror, acá no hay una construcción de atmosfera adecuada, sino que simplemente se usan jumpscares demasiado clichés y con efectos especiales tan malos que parecen de los 90, por lo que, si el terror no funciona y la crítica social es mediocre, simplemente la película no funciona, ni siquiera sus potentes actuaciones logran salvarla.']",[],1,16,Terror,"Andra Day y Glenn Close son fascinantes, al ofrecer interpretaciones sumamente entrañables y sórdidas, pero desafortunadamente en otros aspectos la película falla abismalmente; en primer lugar la crít..."
"Dos lugares comunes del genero gótico, delicados de echar mano. Un gato muerto en el sótano termina de conformar un triangulo de gratuidad, de desconexión irrisoria, entre un esbozado drama neorrealista de violencia familiar y (digámoslo de una vez) El Exorsista (1973), y que son el único indicio de presencia demoníaca, hasta muy avanzada la película.¿Cómo puede ser que un director tan reconocido (Precious, 2009, se anotó 6 nominaciones a los Oscar) se preste para un producto de plagios y populachería, cosidos así nomas, si no fuera para pagar las cuentas. Me imagino el típico brainstorming entre Barton Fink y su editor detrás de esto, pero lo verosímil es una contratación mercenaria, decidida por analogía.Acá se ve a dos equipos de naturaleza extremadamente dispar trabajando juntos.Por un lado, el apartado actoral, de lujo; la construcción de personajes, de taquito; planos generales icónicos, uno del cielo tormentoso en ciernes; uno del barrio, ya en plena tormenta; otro del barrio al final, que son una satisfacción de un deseo antiguo para los fans del genero, directamente.Denotan mano maestra. Pero en general es un ejemplo de falta de creatividad, de falta de talento.A cargo de esta segunda unidad se ha dejado el Mal Sobrenatural, ese personaje que se manifiesta paulatinamente, a través de indicios; que podrían tener un cuerpo; un sentido metafórico; una relación con lo que sucede.","['Dos lugares comunes del genero gótico, delicados de echar mano.', 'Pueden hacer que una obra de fantasía (está basada en hechos reales...) quede demasiado barata, o cuando menos, muy desprolija.', 'Un gato muerto en el sótano termina de conformar un triangulo de gratuidad, de desconexión irrisoria, entre un esbozado drama neorrealista de violencia familiar y (digámoslo de una vez) El Exorsista (1973), y que son el único indicio de presencia demoníaca, hasta muy avanzada la película.¿Cómo puede ser que un director tan reconocido (Precious, 2009, se anotó 6 nominaciones a los Oscar) se preste para un producto de plagios y populachería, cosidos así nomas, si no fuera para pagar las cuentas.', 'No sé.', 'Me imagino el típico brainstorming entre Barton Fink y su editor detrás de esto, pero lo verosímil es una contratación mercenaria, decidida por analogía.Acá se ve a dos equipos de naturaleza extremadamente dispar trabajando juntos.Por un lado, el apartado actoral, de lujo; la construcción de personajes, de taquito; planos generales icónicos, uno del cielo tormentoso en ciernes; uno del barrio, ya en plena tormenta; otro del barrio al final, que son una satisfacción de un deseo antiguo para los fans del genero, directamente.Denotan mano maestra.', 'Precioso, literalmente.El otro equipo.', '¿Qué decir a su favor?', 'Se les podría anotar algún efecto bien plagiado; perfeccionado, incluso, en algún caso.', 'Pero en general es un ejemplo de falta de creatividad, de falta de talento.A cargo de esta segunda unidad se ha dejado el Mal Sobrenatural, ese personaje que se manifiesta paulatinamente, a través de indicios; que podrían tener un cuerpo; un sentido metafórico; una relación con lo que sucede.', 'Y no.Parece dos filmaciones opuestas colisionadas, desintegradas.', 'Precious y Los tres chiflados en la mansión embrujada.']","['dos', 'genero', 'mano', 'precious', 'barrio', 'algun', 'falta', 'lugares', 'comunes', 'gotico']",4,17,Terror,"Dos lugares comunes del genero gótico, delicados de echar mano. Pueden hacer que una obra de fantasía (está basada en hechos reales...) quede demasiado barata, o cuando menos, muy desprolija. Un gato ..."
"Todo ello es implacablemente escrutado por la trabajadora social Cynthia (Mo'Nique), quien manifiesta una evidente falta de confianza en Ebony como madre.Ebony, quien nos llega a caer antipática, desprende, no obstante, un aura de cierta soledad. De todos modos se puede intuir la querencia de Daniels por el comentario social y los apuntes de familias desestructuradas, pero todo queda subsumido por una realización vulgar.La parte terrorífica tiene todos los recursos habituales tanto de las casas encantadas (puertas y objetos que se mueven solos, presencia excesiva de insectos, un sótano que da miedo solo de mirarlo, y algún que otro jumpscare). También del de posesiones (aprendizaje de lenguas extrañas, ojos en blanco, dislocaciones articulares, exorcismos..-) En este sentido podemos ver la sombra de Terror en Amytiville (1979) o El exorcista (1973)*Una conjunto poco convincenteDe La liberación podría decirse de forma algo tramposa que no abusa del efectismo y que se centra más en la parte terrenal y menos en la parte sobrenatural. Podemos advertirlo en el personaje de Glenn Close, profundamente devota y la primera que piensa en una causa diabólica para los extraños fenómenos que ocurren en su casa.En el último tercio irrumpe con fuerza el personaje la reverenda Bernice James (Aunjanue Ellis-Taylor), una evangelista que parece saber demasiado sobre lo que está pasando en casa de Ebony.","['*Primeros síntomasLa liberación (The Deliverance) es algo así como una película dual, mixta, dividida.', 'En su naturaleza participa de dos mundos distintos que pueden convivir, pero que en este caso colisionan.', 'Durante gran parte de su metraje, La liberación es un drama de tintes sociales, donde la acumulación de infortunios la colocan casi al borde del misery porn.', 'Ahí se ve el pedigrí de Lee Daniels, director de Precious (2009).Para situarnos un poco.', 'Ebony Jackson (Andra Day), su madre (Glenn Close), y sus tres hijos llegan a una nueva casa en Indiana.', 'Poco tardamos en darnos cuenta de que la situación de la familia no es un lecho de rosas.', 'Así por lo pronto, Ebony tiene un problema irresoluto con el alcohol, no pasa por un buen momento económico y su carácter se va agriando hasta pagarlo con su familia.', 'Sus antecedentes como ex convicta no ayuda a mostrarnos una imagen mejor de ella.', ""Todo ello es implacablemente escrutado por la trabajadora social Cynthia (Mo'Nique), quien manifiesta una evidente falta de confianza en Ebony como madre.Ebony, quien nos llega a caer antipática, desprende, no obstante, un aura de cierta soledad."", 'Su marido, eso dicen a la trabajadora social, está en Irak, trasluciéndose por el contexto que la pareja está separada.', 'Pero pronto un problema de naturaleza muy distinto comienza a infiltrarse en la casa de Ebony.', 'Sus hijos, sobre todo el pequeño Andre (Anthony B. Jenkins), comienzan a comportarse de forma extraña, e incluso violenta.', 'Lo sobrenatural aparece en la película para ir yendo a más por momentos.', '*Dos géneros no armonizadosLa liberación (The Deliverance) es abrupta a la hora de intentar engarzar los dos principales géneros en los que se mueve.', 'A saber: el drama tremendista con cierta raigambre social, y el terror de posesiones y casas malditas.', 'Estos ingredientes se superponen pero no se mezclan sin contradecirse antes, como dos facetas demasiado irreconocibles entre sí.', 'El problema se intensifica cuando, más allá de su acople, La liberación tampoco es demasiado destacable ni conmoviendo con el drama y ni amedrentando con terror.', 'Cabe decir que Lee Daniels se mueve con más soltura en el primero de los elementos, pero sin alcanzar grandes cotas.Cada revelación de los primeros treinta minutos es una vuelta de tuerca en fatalidades.', 'Glen Close, en un papel que recuerda un poco al que hizo en Hillbilly, una elegía rural (2020), podría ser un elemento de contrapunto, pero pronto vemos que padece de un cáncer del que se está tratando con quimio.', 'Este período dramático llega a rimar demasiado con un telefilm vespertino, donde la fatalidad viene por mera acumulación, sin demasiada estructura o alcance.', 'De todos modos se puede intuir la querencia de Daniels por el comentario social y los apuntes de familias desestructuradas, pero todo queda subsumido por una realización vulgar.La parte terrorífica tiene todos los recursos habituales tanto de las casas encantadas (puertas y objetos que se mueven solos, presencia excesiva de insectos, un sótano que da miedo solo de mirarlo, y algún que otro jumpscare).', 'También del de posesiones (aprendizaje de lenguas extrañas, ojos en blanco, dislocaciones articulares, exorcismos..-) En este sentido podemos ver la sombra de Terror en Amytiville (1979) o El exorcista (1973)*Una conjunto poco convincenteDe La liberación podría decirse de forma algo tramposa que no abusa del efectismo y que se centra más en la parte terrenal y menos en la parte sobrenatural.', 'No es del todo cierto.', 'Todos los recursos y manierismos de un terror de estas características están presentes, solo que lucen menos debido a una factura endeble, a veces casi de telefilm (otra vez la dichosa palabra).', 'Además temáticamente la película acaba asentada en un concepto principal que orbita alrededor de la fe y la religión.', 'Podemos advertirlo en el personaje de Glenn Close, profundamente devota y la primera que piensa en una causa diabólica para los extraños fenómenos que ocurren en su casa.En el último tercio irrumpe con fuerza el personaje la reverenda Bernice James (Aunjanue Ellis-Taylor), una evangelista que parece saber demasiado sobre lo que está pasando en casa de Ebony.', 'De hecho, podemos afirmar que La liberación es una película eminentemente cristiana, y una clara apología de fe.', 'Nada de esto es reprobable en sí mismo.', 'La óptica de El Exorcista, p.ej, y la obra posterior de William Petter Blatty tiene una perspectiva eminentemente creyente.', 'Por no mencionar el universo de los Warren, aunque de una forma más pulp, por así decirlo.La cosa está en que la forma de expresar las inquietudes espirituales es un poco de brocha gorda, a pocos palmos de la retórica de un telepredicador.', 'La cuestión mollar es que el acabado en la faceta de terror es demasiado tópico como para mostrar algo convincente.', 'No beneficia la ramplonería estética que suele presidir, y ésta no es ninguna excepción, las producciones de Netflix.', 'Por sacar algo positivo, la historia tiene cierta fuerza que hace que se pueda ver sin demasiados problemas la película, pero con un  resultado total poco satisfactorio.', '*ConclusionesLa liberación (The Deliverance) no resulta satisfactoria ni en el conjunto, ni en cualquiera de sus partes.', 'Su acusada dualidad entre el melodrama y el terror se resuelve a golpes de volantazos estilísticos que empeoran una película, que a la hora de conmover o a la de asustar falla o se queda lejos.', 'Las hechuras de telefilm lastran todo demasiado.', 'Acorde con la película, hace falta un enorme acto de fe para disfrutar de ella.Escrito por Mariano González']","['liberacion', 'pelicula', 'ebony', 'terror', 'demasiado', 'mas', 'dos', 'parte', 'casa', 'social']",4,18,Terror,"*Primeros síntomasLa liberación (The Deliverance) es algo así como una película dual, mixta, dividida. En su naturaleza participa de dos mundos distintos que pueden convivir, pero que en este caso col..."
"En los primeros capítulos surgen muchos interrogantes y se cuestiona las reacciones de algún personaje, que se van resolviendo a medida que avanza la trama. Y así es como hay que enfocarla mientras se desenvuelven las dos historias; no impacientarse en el desarrollo, pues todo lo que sucede tiene su porqué y toma caminos que no nos esperamos, lo que evita el ""ahora ocurrirá esto"" en determinados momentos. Y si, los primeros capítulos se toman su tiempo, y necesita de constante atención, pues un solo detalle perdido puede llevar a la confusión de lo que sucederá más adelante, lo que conlleva un esfuerzo por parte del espectador, pero lo compensa, y de qué manera, con creces en los últimos capítulos.Pero lo que más destaca es la actuación de la ganadora de los premios Blue Dragon como actriz revelación del año 2023, Go Min-Si, que la reconoceréis de la reciente Sweet Home. Ocho capítulos en los que he disfrutado de su constante intriga, dejándome llevar sin complejos mientras las preguntas surgían constantemente en mi cabeza y, el detalle de esa gorra que... dejaré que lo veas por ti mismo.","['Hay series que te acompañan de la mano y no te la suelta hasta los créditos finales, y hay otras que te vapulean para que uno mismo arme el intenso rompecabezas, y Nadie en el Bosque es de las segundas.', 'En los primeros capítulos surgen muchos interrogantes y se cuestiona las reacciones de algún personaje, que se van resolviendo a medida que avanza la trama.', 'Y así es como hay que enfocarla mientras se desenvuelven las dos historias; no impacientarse en el desarrollo, pues todo lo que sucede tiene su porqué y toma caminos que no nos esperamos, lo que evita el ""ahora ocurrirá esto"" en determinados momentos.', 'Y si, los primeros capítulos se toman su tiempo, y necesita de constante atención, pues un solo detalle perdido puede llevar a la confusión de lo que sucederá más adelante, lo que conlleva un esfuerzo por parte del espectador, pero lo compensa, y de qué manera, con creces en los últimos capítulos.Pero lo que más destaca es la actuación de la ganadora de los premios Blue Dragon como actriz revelación del año 2023, Go Min-Si, que la reconoceréis de la reciente Sweet Home.', '¡Vaya papelón se marca!', 'Te mete en una vorágine de su locura psicópata a niveles insanos, y te arrastra en una violencia que.', 'como respuesta a sus actos infames, te sonreía a la cara sin escrúpulos.', 'Ocho capítulos en los que he disfrutado de su constante intriga, dejándome llevar sin complejos mientras las preguntas surgían constantemente en mi cabeza y, el detalle de esa gorra que... dejaré que lo veas por ti mismo.']","['capitulos', 'mismo', 'primeros', 'mientras', 'pues', 'constante', 'detalle', 'llevar', 'mas', 'series']",4,38,Terror,"Hay series que te acompañan de la mano y no te la suelta hasta los créditos finales, y hay otras que te vapulean para que uno mismo arme el intenso rompecabezas, y Nadie en el Bosque es de las segunda..."
