resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"Es una historia bellísima, bueno, varias, bajo mi punto de vista ya que encuentro muy sugestivo el guion y con un diseño de imágenes que me remiten un poco a la magia de ""La la land"", aunque no se parecen en nada (debe ser por lo de Land, la bondad de sus intérpretes y algún que otro tema musical)... Pero hablando más en serio esa sociedad más utópica que distópica, llamada ""Wonderland"" y que se dedica a prolongar la memoria de los muertos dándoles una vida virtual es pero más que plausible y supongo que ya funciona alguna aunque a mí directamente aún no me han ofrecido sus servicios. En cuanto a los personajes que aquí sí los solicitan vas cogiéndoles cariño y hasta te involucras con ellos con ese menú a la carta que te permite además cambiar de coche sin más o renovar tu vestuario... Pero el alma de la peli surge cuando el sistema falla y se altera la conexión por un buen motivo detrás y un plus de abnegación más la ayuda de los programadores... Se abre la experiencia entonces a futuras interferencias, a cual más interesante entre los I.A.","['Es una historia bellísima, bueno, varias, bajo mi punto de vista ya que encuentro muy sugestivo el guion y con un diseño de imágenes que me remiten un poco a la magia de ""La la land"", aunque no se parecen en nada (debe ser por lo de Land, la bondad de sus intérpretes y algún que otro tema musical)...', 'Pero hablando más en serio esa sociedad más utópica que distópica, llamada ""Wonderland"" y que se dedica a prolongar la memoria de los muertos dándoles una vida virtual es pero más que plausible y supongo que ya funciona alguna aunque a mí directamente aún no me han ofrecido sus servicios.', 'En cuanto a los personajes que aquí sí los solicitan vas cogiéndoles cariño y hasta te involucras con ellos con ese menú a la carta que te permite además cambiar de coche sin más o renovar tu vestuario...', 'Pero el alma de la peli surge cuando el sistema falla y se altera la conexión por un buen motivo detrás y un plus de abnegación más la ayuda de los programadores... Se abre la experiencia entonces a futuras interferencias, a cual más interesante entre los I.A.', 'y nosotros, con plasma de por medio, porque, a fin de cuentas ""Todo es real si tú te lo crees"" (y, a saber quién es quién al otro lado de la pantalla).', 'En fin... tiempo al tiempo en este sólo el principio de un futuro arrollador.', '(Y bien pensado el Cine ¡es una buena muestra también!', 'Por cierto, atención al gag final al principio de los títulos de crédito porque es muy simpático y conviene no perdérselo ;)']","['mas', 'land', 'aunque', 'fin', 'tiempo', 'principio', 'historia', 'bellisima', 'bueno', 'varias']",4,379,Ciencia Ficcion,"Es una historia bellísima, bueno, varias, bajo mi punto de vista ya que encuentro muy sugestivo el guion y con un diseño de imágenes que me remiten un poco a la magia de ""La la land"", aunque no se par..."
"Buena y bonita película, con un argumento bastante original.Se la recomendó a mi mujer una amiga, y yo la vi sin tener ni pajolera idea de la historia, por lo que no me situé hasta los 15 o 20 minutos (quizás soy algo torpe), pero creo que eso es la intención de muchas películas. En muchas ocasiones, solo por cotillear la sinopsis, perdemos esa 'sorpresa', esos regalos que nos puede traer un buen guion, o ese desconcierto ante una trama más compleja que cualquier tontería americana, remake o precuela que inundan el mercado, y no me pronuncio sobre las películas españolas con niños, una cada 6 meses, esa ya es otra historia...Aunque mezcle con buena mano la ternura, el dolor, o incluso la esperanza (la hija de la 'arqueóloga', por ejemplo), no llega a ser una peli de lagrimón, y sin dar detalles, solo diré que al finalizar acabas con una sonrisa, tanto por haber pasado un rato grato y agradable como por las sensaciones que desprende esta película, incluyendo unos buenísimos trabajos de todo el reparto. También tiene algunos leves toques de comedia, para aliviar la seriedad de la historia, aunque aclaro que más bien entra dentro del género dramático.., lo digo como aviso.Hay una escena post-créditos, que provocará que vuelvas a sonreír, y al finalizar, espero que los demás espectadores tangan la misma sensación de haber visto un producto más que satisfactorio como la que tuvimos nosotros.Wolf.","['Buena y bonita película, con un argumento bastante original.Se la recomendó a mi mujer una amiga, y yo la vi sin tener ni pajolera idea de la historia, por lo que no me situé hasta los 15 o 20 minutos (quizás soy algo torpe), pero creo que eso es la intención de muchas películas.', ""En muchas ocasiones, solo por cotillear la sinopsis, perdemos esa 'sorpresa', esos regalos que nos puede traer un buen guion, o ese desconcierto ante una trama más compleja que cualquier tontería americana, remake o precuela que inundan el mercado, y no me pronuncio sobre las películas españolas con niños, una cada 6 meses, esa ya es otra historia...Aunque mezcle con buena mano la ternura, el dolor, o incluso la esperanza (la hija de la 'arqueóloga', por ejemplo), no llega a ser una peli de lagrimón, y sin dar detalles, solo diré que al finalizar acabas con una sonrisa, tanto por haber pasado un rato grato y agradable como por las sensaciones que desprende esta película, incluyendo unos buenísimos trabajos de todo el reparto."", 'También tiene algunos leves toques de comedia, para aliviar la seriedad de la historia, aunque aclaro que más bien entra dentro del género dramático.., lo digo como aviso.Hay una escena post-créditos, que provocará que vuelvas a sonreír, y al finalizar, espero que los demás espectadores tangan la misma sensación de haber visto un producto más que satisfactorio como la que tuvimos nosotros.Wolf.']",[],3,380,Ciencia Ficcion,"Buena y bonita película, con un argumento bastante original.Se la recomendó a mi mujer una amiga, y yo la vi sin tener ni pajolera idea de la historia, por lo que no me situé hasta los 15 o 20 minutos..."
"El guion de Jung Sung Joo aborda un estudio sobre la naturaleza humana en momentos de crisis o pánico elaborando una historia donde la maldad, la indiferencia y la crueldad humana no necesitan la excusa del fin del mundo para manifestarse en todo su esplendor, ya que son la verdadera catástrofe que siempre surge en los peores momentos donde sale a la luz la monstruosidad de las personas y su lado más oscuro. Del mismo modo, también estas grandes catástrofes sacan a la luz el lado más humano, noble y solidario de las personas.La historia sigue el día a día de diferentes personajes como una profesora de secundaria que intentara hacer todo lo posible por proteger a sus alumnos de redes de tráfico y explotación sexual de menores luchando por evitar que sufran ningún tipo de violencia, un sacerdote que sufre una crisis de fe, una soldado que afrontará situaciones muy complejas como la imposición de la ley marcial y una guerra civil y un prometedor científico que tiene en sus manos un estudio que sería de vital importancia para la continuación de la vida humana en la tierra. Este es un delito muy grave en Corea del Sur, llegando incluso a arruinar la vida de diferentes personalidades como ocurrió en el caso del actor Lee Sun-kyun al que muchos conocimos en ‘’Parásitos’’ y que tras un escándalo de drogas se quitó la vida a finales de diciembre de 2023 debido a la presión social. De este modo, Yoo Ah-in (uno de mis actores favoritos y de los mejores actores masculinos que tiene Corea del Sur) vio su carrera truncada en marzo de 2023, llegando a ser agredido por diferentes personas mientras acudía a una comisaría de policía para ser investigado.","['El nuevo kdrama del director surcoreano Kim Jin Min que nos ha dejado en su trayectoria éxitos como los kdramas ‘’Extracurricular’’ o ‘’Mi nombre’’, es una historia post apocalíptica sobre el nacimiento de una catástrofe sin precedentes.', 'Un asteroide va a estrellarse contra la tierra en tan solo 200 días.', 'Aunque se han estudiado sus movimientos nadie puede cambiar su trayectoria.', 'El final parecer ser inminente y justamente el epicentro de la tragedia no será otro que ‘’Corea del Sur’’.', 'El guion de Jung Sung Joo aborda un estudio sobre la naturaleza humana en momentos de crisis o pánico elaborando una historia donde la maldad, la indiferencia y la crueldad humana no necesitan la excusa del fin del mundo para manifestarse en todo su esplendor, ya que son la verdadera catástrofe que siempre surge en los peores momentos donde sale a la luz la monstruosidad de las personas y su lado más oscuro.', 'Del mismo modo, también estas grandes catástrofes sacan a la luz el lado más humano, noble y solidario de las personas.La historia sigue el día a día de diferentes personajes como una profesora de secundaria que intentara hacer todo lo posible por proteger a sus alumnos de redes de tráfico y explotación sexual de menores luchando por evitar que sufran ningún tipo de violencia, un sacerdote que sufre una crisis de fe, una soldado que afrontará situaciones muy complejas como la imposición de la ley marcial y una guerra civil y un prometedor científico que tiene en sus manos un estudio que sería de vital importancia para la continuación de la vida humana en la tierra.', 'A pesar de que la historia gira en torno a estos cuatro protagonistas, aparecerán muchos personajes más vinculados a ellos con sus propias tramas y conflictos.La serie ha sufrido muchos cortes, ya que antes de su estreno el actor Yoo Ah-in tuvo que enfrentarse a la justicia por tenencia de drogas.', 'Este es un delito muy grave en Corea del Sur, llegando incluso a arruinar la vida de diferentes personalidades como ocurrió en el caso del actor Lee Sun-kyun al que muchos conocimos en ‘’Parásitos’’ y que tras un escándalo de drogas se quitó la vida a finales de diciembre de 2023 debido a la presión social.', 'Para que os hagáis una idea de lo que supone esto para una celebridad, tras un escándalo de semejante magnitud la carrera de los actores se ve arruinada por completo, se les dejan de ofrecer proyectos y sufren una condena social.', 'Incluso sus conocidos les dan de lado y el público no duda ni un segundo en rechazarlos condenándolos al ostracismo más absoluto.', 'En la normativa estricta y rígida de Corea del Sur no existe espacio para la redención o las segundas oportunidades.', 'Cuando actores o idols ‘’fallan’’ y se ven envueltos en escándalos de drogas, bullying o cualquier motivo que ensucie su imagen y de un mal ejemplo al público, la reacción social es desproporcionada.', 'A las celebridades surcoreanas se les exige la perfección absoluta, tanto que hasta algunos actores y cantantes han finalizado noviazgos por la presión de los fanáticos.', 'De este modo, Yoo Ah-in (uno de mis actores favoritos y de los mejores actores masculinos que tiene Corea del Sur) vio su carrera truncada en marzo de 2023, llegando a ser agredido por diferentes personas mientras acudía a una comisaría de policía para ser investigado.', 'Cuando esta investigación comenzó, ‘’Goodbye Earth’’ había finalizado su rodaje y se exigió al director recortar el máximo número posible de escenas donde apareciera Yoo Ah-in.Esto ha dado lugar a un kdrama que se antoja casi incompleto.', 'Aunque Yoo Ah-in aparece en muchas escenas, esta supresión se nota desde los primeros instantes y resta valor a la historia ya que su personaje es crucial en el desarrollo de la trama.', 'El kdrama que tiene muchos momentos brillantes, hubiera destacado mucho más si se hubiera optado por no recortar las escenas donde aparece el actor.', 'Sobre todo, los primeros capítulos resultan algo caóticos por ello.', 'Ademas Yoo Ah-in es un actor bestial.', 'Desde que lo conocí en la película ‘’Burning’’ en 2018 me quedé completamente fascinada por él.', 'Tiene una forma única de expresar los sentimientos y las emociones de sus personajes.', 'Es una verdadera pena lo que le ha ocurrido y viendo este kdrama he sentido mucha tristeza por saber que quizás estas breves apariciones serian posiblemente su última interpretación.La sociedad surcoreana necesita cambiar algunas cosas.', 'No es justo que se les exija la perfección absoluta a sus celebridades y que un solo fallo arruine sus vidas y sus carreras.', 'Corea del Sur es uno de los países con los índices de suicidios más altos y son muchos los actores e idols que se han quitado la vida por este tipo de cosas.', 'La presión social es demoledora.', 'La sociedad debería ser más compasiva y creer en el valor de las segundas oportunidades aceptando a las celebridades como seres humanos corrientes que pueden caer y volver a levantarse.Me he referido mucho a los cortes de escenas de este actor, pero es que estos recortes afectan mucho al desarrollo de la serie y te dejan con un mal sabor de boca una vez finalizada.', 'El resto de actores y actrices consiguen dejar grandes interpretaciones, como la actriz Ahn Eun-jin (de la que pudimos disfrutar en ‘’My dearest’’ el pasado 2023) que se marca una interpretación nuevamente brutal en esta ocasión.', 'Sin embargo, el kdrama no es lo mismo tras haber sufrido semejante mutilación.', 'Una pena porque merecíamos disfrutar de los doce capítulos de este kdrama en toda su totalidad sin haber sufrido ninguna modificación.', 'Y del mismo modo también merecíamos disfrutar de la aparición de Yoo Ah-in en la segunda temporada de ‘’Hellbound’’ para la que ya le han buscado sustituto.', 'Sigo en spoilers por falta de espacio.']","['mas', 'actores', 'kdrama', 'yoo', 'historia', 'corea', 'sur', 'actor', 'ser', 'vida']",4,1270,Ciencia Ficcion,"El nuevo kdrama del director surcoreano Kim Jin Min que nos ha dejado en su trayectoria éxitos como los kdramas ‘’Extracurricular’’ o ‘’Mi nombre’’, es una historia post apocalíptica sobre el nacimien..."
"Ciencia ficción, catástrofes, distopía y además surcoreana.....Basándome en todas las producciones de este país y sobre todo con esta temática, que he visto, lo tenían que haber bordado. A ver si al menos algunos efectos especiales (aunque no me gusten mucho), animaban un poco la cosa y me sacaban de mi letargo. Pero sobre todo, porque Corea del Sur es un país muy orgulloso (no se conforman con hacerlo bien, sino que les gusta ser los mejores). Así es que lo último que quiero es desmotivarlos y que no toquen más el género de la ciencia ficción.","['Ciencia ficción, catástrofes, distopía y además surcoreana.....Basándome en todas las producciones de este país y sobre todo con esta temática, que he visto, lo tenían que haber bordado.', 'A pesar de la nota que tiene aquí, yo me esperaba algo maravilloso, la verdad.', 'Pero es leeeentaaa hasta la desesperación y pesada como una ballena debajo el sobaco.', 'Ya llegó un punto en el que doscientos días de vida, me pareció demasiado para cada personaje de los que sale.', 'Me resultaba excesivo para ellos.', 'Lo único que podía pensar, era que ojalá se hubiesen equivocado en los cálculos y caía en una semanilla o menos.', 'A ver si al menos algunos efectos especiales (aunque no me gusten mucho), animaban un poco la cosa y me sacaban de mi letargo.', 'Pero nunca mejoró.', 'Aun así le voy a dar un cuatro, porque por momentos es emotiva.', 'Pero sobre todo, porque Corea del Sur es un país muy orgulloso (no se conforman con hacerlo bien, sino que les gusta ser los mejores).', 'Y también son muy sentíos.', 'Así es que lo último que quiero es desmotivarlos y que no toquen más el género de la ciencia ficción.', 'Y es que me encantan haciendo series y cine.', 'Por una vez que no les haya salido bien, tampoco los vamos a crucificar.']","['ciencia', 'ficcion', 'pais', 'menos', 'asi', 'bien', 'catastrofes', 'distopia', 'ademas', 'surcoreana']",4,1271,Ciencia Ficcion,"Ciencia ficción, catástrofes, distopía y además surcoreana.....Basándome en todas las producciones de este país y sobre todo con esta temática, que he visto, lo tenían que haber bordado. A pesar de la..."
"La trama gira en torno a que la Tierra está en peligro de ser destruida por un asteroide que impactará en 200 días. A partir de ahí, toda la sociedad cambia, etc.Se centra en un territorio muy concreto y se va centrando en las historias de distintos personajes, la mayoría con cosas excesivamente cotidianas y poco creíbles dadas las circunstancias en muchos casos.La ausencia de carisma en la mayoría del reparto no ayuda nada.La serie es lenta, densa y se siente larga (12 episodios).","['La trama gira en torno a que la Tierra está en peligro de ser destruida por un asteroide que impactará en 200 días.', 'A partir de ahí, toda la sociedad cambia, etc.Se centra en un territorio muy concreto y se va centrando en las historias de distintos personajes, la mayoría con cosas excesivamente cotidianas y poco creíbles dadas las circunstancias en muchos casos.La ausencia de carisma en la mayoría del reparto no ayuda nada.La serie es lenta, densa y se siente larga (12 episodios).']",[],2,1272,Ciencia Ficcion,"La trama gira en torno a que la Tierra está en peligro de ser destruida por un asteroide que impactará en 200 días. A partir de ahí, toda la sociedad cambia, etc.Se centra en un territorio muy concret..."
"Me vi el anime y antes de ver la serie, pensé que iba a ser una historia boba con algunas batallas, y la verdad me sorprendió por que la historia es buena. Si bien no se parece al anime, sino que está inspirada en el mismo universo, los cambios me parecieron para bien.Hay que recordar que está dirigida por Yeon Sang-ho el mismo que creo ""Train to Busan"", una de las mejores películas de zombies, por tanto el ritmo es bueno, el argumento que construyeron es bastante bueno.Si eres fan de este tipo de películas, es de vista obligatoria. No ofrece más de lo que se espera de este tipo de series, pero lo que ofrece es mejor que lo que recibimos regularmente.","['Me vi el anime y antes de ver la serie, pensé que iba a ser una historia boba con algunas batallas, y la verdad me sorprendió por que la historia es buena.', 'Si bien no se parece al anime, sino que está inspirada en el mismo universo, los cambios me parecieron para bien.Hay que recordar que está dirigida por Yeon Sang-ho el mismo que creo ""Train to Busan"", una de las mejores películas de zombies, por tanto el ritmo es bueno, el argumento que construyeron es bastante bueno.Si eres fan de este tipo de películas, es de vista obligatoria.', 'No ofrece más de lo que se espera de este tipo de series, pero lo que ofrece es mejor que lo que recibimos regularmente.']",[],3,1446,Ciencia Ficcion,"Me vi el anime y antes de ver la serie, pensé que iba a ser una historia boba con algunas batallas, y la verdad me sorprendió por que la historia es buena. Si bien no se parece al anime, sino que está..."
"Un inicio que da para todo, y que Sang-ho explota a medias, utilizando las bases del manga pero redireccionando la propuesta.Estamos claramente ante una serie de ciencia ficción, que utiliza muchos elementos del drama, la acción y el suspense para ir variando los tonos. Esto hace que varias escenas de acción se sientan confusas, con ganas de haber visto mejor, y con mayor nitidez.El guión perfila el arco argumental en torno a cuatro protas con roles y personalidades bien definidas. Si bien en el manga existe un personaje femenino al que se le da prioridad (dada la relación peculiar con su parásito), en la serie el foco tiende a ser más coral. Ésto ya es debatible pero, en lo personal, la sensación de que la sociedad se enfrenta a una ""amenaza diferente"" va diluyéndose en mí conforme avanzan los episodios.Vale, la idea es, justamente, crear paralelismos: esos monstruos no son tan monstruos y podemos serlo tanto como ellos.","['Llega Parasyte: Los grises.', 'Adaptación de un manga con el mismo nombre.Luego de una caída de esporas, diversos organismos parasitarios se filtran entre los seres humanos, tomando anfitriones en los que puedan vivir.', 'Un inicio que da para todo, y que Sang-ho explota a medias, utilizando las bases del manga pero redireccionando la propuesta.Estamos claramente ante una serie de ciencia ficción, que utiliza muchos elementos del drama, la acción y el suspense para ir variando los tonos.', 'Junto con un guión cuidado, lo primero que llama la atención es la sobriedad de la propuesta.', 'Solo se siente más rocambolesca cuando los parásitos se muestran en pantalla, explotando un cgi efectivo que gana en matices por el uso de escenarios nocturnos.', 'Cuando las limitaciones técnicas se disfrazan de virtudes estilísticas, aquí es claro y está conseguido.', 'Por momentos la cámara se muestra nerviosa, moviéndose más de la cuenta incluso en situaciones donde el plano fijo hubiera dado más fuerza a la imagen.', 'Esto hace que varias escenas de acción se sientan confusas, con ganas de haber visto mejor, y con mayor nitidez.El guión perfila el arco argumental en torno a cuatro protas con roles y personalidades bien definidas.', 'Por lo menos al principio, luego van apareciendo otros personajes que ganan en relevancia.', 'Si bien en el manga existe un personaje femenino al que se le da prioridad (dada la relación peculiar con su parásito), en la serie el foco tiende a ser más coral.', 'Centrarse en el género policial hace que la trama avance de pista en pista, encarrilando las peripecias de la historia con elegancia y ritmo rápido.', 'No existe un volantazo del guión, ni giro sorpresa como tal: el devenir de la trama va desarrollándose en torno a caminos posibles ya sembrados con anterioridad.', 'No es una serie que juegue al gato y al ratón con el espectador.Imposible no destacar el apartado político/sociológico/filosófico que se desprende con respecto a los parásitos.', '""A los humanos les cuesta verse a sí mismos como entidades independientes"".', 'Curiosamente, son estas entidades las encargadas de reflexionar durante la historia, con el fin de poder adaptarse al mundo humano (y, porqué no, conquistarlo).', 'Ésto ya es debatible pero, en lo personal, la sensación de que la sociedad se enfrenta a una ""amenaza diferente"" va diluyéndose en mí conforme avanzan los episodios.Vale, la idea es, justamente, crear paralelismos: esos monstruos no son tan monstruos y podemos serlo tanto como ellos.', 'Pero hay una distancia entre encontrar similitudes a presentarlos casi como iguales...El resto a spoilers.']","['mas', 'manga', 'serie', 'guion', 'luego', 'humanos', 'propuesta', 'accion', 'parasitos', 'hace']",4,1447,Ciencia Ficcion,"Llega Parasyte: Los grises. Adaptación de un manga con el mismo nombre.Luego de una caída de esporas, diversos organismos parasitarios se filtran entre los seres humanos, tomando anfitriones en los qu..."
"""Parasyte: Los grises"" no es un remake del anime ""Parasyte: The maxim"" (adaptación del manga de los 90), es una historia paralela con los mismos parásitos del espacio exterior que llegan a nuestro planeta.Y es que en ""Los grises"" nos encontramos con una nueva protagonista, Jeong Su-in, que nada tiene que ver con el Shin'ichi Izumi que protagonizaba el manga y su adaptación animada, tampoco tiene nada que ver la manera como ella interactúa con su alien/parásito Heidi, personalmente me gustaba mucho más como interactuaban en ""The maxim"" Shin'ichi con el genial Migi.Por otro lado, en el live-action me han faltado algunos de los temas tan interesantes que planteaba el anime, la evolución de las especies, ¿quien tiene derecho a sobrevivir, el extraterrestre que por instinto solo quiere sobrevivir en un cuerpo humano o el humano que estaba allí antes? Es cierto que algo de esto aparece en la nueva serie de Netflix, pero en esta no se cuestiona tanto nuestra supremacía ni la dualidad de los valores morales humanos, ni nuestra hipocresia por ser capaces de ser compasivos con algunas especies y perversos con otras, explotándolas, consumiéndolas, exterminándolas. Pero claro, en esta producción coreana solo hay 6 episodios y no 24 como en la serie de animación japonesa.También he echado de menos más humor como en el anime, en cambio tenemos K-drama.Visualmente está bastante bien, las batallas con los tentáculos afilados de los parásitos son lo suficientemente fidedignas con la versión de 2014 como para satisfacer a los fans, o por lo menos a mí.En conclusión, si has visto el anime, argumentalmente es bastante diferente, aunque haya algún guiño final a la serie original. Si no has visto el anime pero te gusta la ciencia ficción estilo ""La invasión de los ultracuerpos"" y la acción a toda velocidad, igual te puede gustar.","['""Parasyte: Los grises"" no es un remake del anime ""Parasyte: The maxim"" (adaptación del manga de los 90), es una historia paralela con los mismos parásitos del espacio exterior que llegan a nuestro planeta.Y es que en ""Los grises"" nos encontramos con una nueva protagonista, Jeong Su-in, que nada tiene que ver con el Shin\'ichi Izumi que protagonizaba el manga y su adaptación animada, tampoco tiene nada que ver la manera como ella interactúa con su alien/parásito Heidi, personalmente me gustaba mucho más como interactuaban en ""The maxim"" Shin\'ichi con el genial Migi.Por otro lado, en el live-action me han faltado algunos de los temas tan interesantes que planteaba el anime, la evolución de las especies, ¿quien tiene derecho a sobrevivir, el extraterrestre que por instinto solo quiere sobrevivir en un cuerpo humano o el humano que estaba allí antes?', 'Es cierto que algo de esto aparece en la nueva serie de Netflix, pero en esta no se cuestiona tanto nuestra supremacía ni la dualidad de los valores morales humanos, ni nuestra hipocresia por ser capaces de ser compasivos con algunas especies y perversos con otras, explotándolas, consumiéndolas, exterminándolas.', 'Pero claro, en esta producción coreana solo hay 6 episodios y no 24 como en la serie de animación japonesa.También he echado de menos más humor como en el anime, en cambio tenemos K-drama.Visualmente está bastante bien, las batallas con los tentáculos afilados de los parásitos son lo suficientemente fidedignas con la versión de 2014 como para satisfacer a los fans, o por lo menos a mí.En conclusión, si has visto el anime, argumentalmente es bastante diferente, aunque haya algún guiño final a la serie original.', 'Si no has visto el anime pero te gusta la ciencia ficción estilo ""La invasión de los ultracuerpos"" y la acción a toda velocidad, igual te puede gustar.']",[],4,1448,Ciencia Ficcion,"""Parasyte: Los grises"" no es un remake del anime ""Parasyte: The maxim"" (adaptación del manga de los 90), es una historia paralela con los mismos parásitos del espacio exterior que llegan a nuestro pla..."
"Hacia años que no veía nada de Parasyte y la vi de casualidad en recomendados en Netflix, está brutal, los escenarios, las pelas, las actuaciones... Excelente, muy recomendada.","['Hacia años que no veía nada de Parasyte y la vi de casualidad en recomendados en Netflix, está brutal, los escenarios, las pelas, las actuaciones...', 'Excelente, muy recomendada.']",[],2,1449,Ciencia Ficcion,"Hacia años que no veía nada de Parasyte y la vi de casualidad en recomendados en Netflix, está brutal, los escenarios, las pelas, las actuaciones... Excelente, muy recomendada."
"Aunque me decepciono mucho con ‘’Península’’ (la secuela de la magnífica ‘’Tren a Busan’’), siempre es un placer visionar alguna de sus películas o series.Sin embargo, su última serie ‘’Parasyte: Los grises’’ de tan solo 6 capítulos me ha sabido a poco. Hay series que con 6 capítulos son perfectas, pero ‘’Parasyte: Los grises’’ necesita muchos más para darnos una idea de su sentido o calidad.Quiero dejar claro que no he leído el manga de Hitoshi Iwaaki que adapta, aunque creo que no hace falta ya que la serie es una versión que se inspira en este manga pero que ofrece muchos cambios con el original al presentarnos a otra protagonista y otra historia que solo tiene como relación con el original el origen de los parásitos.Empezare por lo que me ha gustado. Koo Kyo-hwan también me ha encantado como ese joven gangster que está acostumbrado a abandonar y a traicionar a los que le rodean hasta que recibe la impactante noticia de la desaparición de su hermana pequeña a la que comienza a buscar mientras se enreda en una trama policiaca con Jeong Su-in (la joven que comparte su cuerpo con un parasito que no logra controlar su cerebro). Espero que en próximas temporadas se cuide más el guion y menos los efectos especiales.En definitiva, ‘’Parasyte: Los grises’’ puede convertirse en un kdrama interesante en el futuro.","['Soy una gran admiradora del director surcoreano Yeon Sang-ho y he disfrutado mucho de sus películas y series desde que me cautivo por completo con ‘’Tren a Busan’’ en 2016.', 'A partir de ese momento, vi muchas de sus producciones tanto en animación como la despida ‘’Seoul Station’’ (que aún recuerdo con un nudo en la garganta) o como su incursión en algunos kdrama como ‘’Hellbound’’, por poner algunos ejemplos.', 'Aunque me decepciono mucho con ‘’Península’’ (la secuela de la magnífica ‘’Tren a Busan’’), siempre es un placer visionar alguna de sus películas o series.Sin embargo, su última serie ‘’Parasyte: Los grises’’ de tan solo 6 capítulos me ha sabido a poco.', 'Supongo que es porque el guion de Yeon Sang-ho, Ryu Yong-jae y Hitoshi Iwaaki fue concebido con la idea de tener un par de temporadas más, aparte de esta que sirve solo como aperitivo a lo que espero sea un gran banquete.', 'Por ello, mi valoración se puede quedar algo corta.', 'Me faltan muchos datos que imagino serán abordados en las siguientes temporadas.', 'Hay series que con 6 capítulos son perfectas, pero ‘’Parasyte: Los grises’’ necesita muchos más para darnos una idea de su sentido o calidad.Quiero dejar claro que no he leído el manga de Hitoshi Iwaaki que adapta, aunque creo que no hace falta ya que la serie es una versión que se inspira en este manga pero que ofrece muchos cambios con el original al presentarnos a otra protagonista y otra historia que solo tiene como relación con el original el origen de los parásitos.Empezare por lo que me ha gustado.', 'Me ha encantado que los parásitos no sean simplemente monstruos que devoran humanos.', 'Se ha ofrecido una imagen de ellos como seres que en su mayoría solo se limitan a luchar por su supervivencia al igual que los humanos.', '¿O es que nosotros no parasitamos muchas otras especies animales y vivimos a su costa sin plantearnos si es correcto?.', 'Eso la serie lo explica muy bien, sin señalar malos o buenos solo por su pertenencia a un determinado grupo.', 'Se ha elegido a actores y actrices que bordan sus papeles para interpretar a los diferentes personajes.', 'En especial, me ha sorprendido mucho la interpretación de la protagonista Jeon So-nee a la que conocí en el kdrama ‘’Our Blooming Youth’’ donde no pudo lucirse mucho.', 'Esta joven está llamando la atención en Corea del Sur tras su aparición en ese kdrama como protagonista y en la película ‘’Soulmate’’.', 'Hasta entonces solo había realizado interpretaciones secundarias.', 'Con su actuación en ‘’Parasyte: Los grises’’ nos deja claro su versatilidad como actriz, ya que parece poder meterse en la piel de cualquier personaje.', 'En este kdrama tenía que interpretar a dos personajes muy diferentes.', 'Por un lado, tenemos a una joven huérfana aislada de la sociedad que trabaja como cajera en un supermercado y por otro a un parasito que toma posesión de su cuerpo sin llegar a controlar su cerebro.', 'Su interpretación es de lo mejor del kdrama.', 'Aprendes a diferenciar claramente cuando estas frente a cada una de ellas.', 'Jeon So-nee ha demostrado que si se le da la oportunidad puede dejarnos grandes interpretaciones.', 'Koo Kyo-hwan también me ha encantado como ese joven gangster que está acostumbrado a abandonar y a traicionar a los que le rodean hasta que recibe la impactante noticia de la desaparición de su hermana pequeña a la que comienza a buscar mientras se enreda en una trama policiaca con Jeong Su-in (la joven que comparte su cuerpo con un parasito que no logra controlar su cerebro).', 'La cantante y actriz Lee Jung-hyun (‘’Península’’, ‘’Decision to Leave’’, ‘’Snowdrop’’) y el actor Kwon Hae-hyo (‘’Wedding impossible’’) también realizan interpretaciones correctas.', 'Tal vez el único actor que no destaca lo suficiente sea Kim In-kwon pero no es por su culpa.', 'Sencillamente el personaje que interpreta esta pesimamente caracterizado.Seguiré con lo que no me ha gustado.', 'Me ha recordado a ‘’Península’’ con el abuso del CGI.', 'Se abusa demasiado de ello y de los efectos especiales llegando a convertirse en algo demasiado repetitivo y pesado.', 'No me pongo una serie para flipar con sus efectos especiales, prefiero que me cautive un guion inteligente.', 'Tampoco me ha gustado la caracterización de algunos personajes como Won-seok que nunca llegamos a saber porque apoya a los parásitos.', 'Espero que en próximas temporadas se cuide más el guion y menos los efectos especiales.En definitiva, ‘’Parasyte: Los grises’’ puede convertirse en un kdrama interesante en el futuro.', 'Esperare para ver qué rumbo toma la historia.', 'Ojalá no me decepcione.Posdata: ¿Qué le pasa a Netflix con los monstruos con tentáculos?.', 'Primero ‘’El monstruo de la vieja Seúl’’ y ahora esto.', 'Aparte de que no da ningún miedo ni parece tan horripilante como pretende, prefiero los monstruos más clásicos (vampiros, zombies,etc).', 'Imagino que será tendencia por algo.']","['kdrama', 'solo', 'serie', 'parasyte', 'grises', 'mas', 'joven', 'series', 'peninsula', 'guion']",4,1450,Ciencia Ficcion,"Soy una gran admiradora del director surcoreano Yeon Sang-ho y he disfrutado mucho de sus películas y series desde que me cautivo por completo con ‘’Tren a Busan’’ en 2016. A partir de ese momento, vi..."
