id,texto,palabras_ambiguas,genero
6,"*Una serie que lucha por capturar la realidad de la medicina en tiempos de crisisRespira, serie creada por Carlos Montero, es un drama médico que intenta abordar la dura realidad del sistema de salud ",clave,Drama
17,"Dos lugares comunes del genero gótico, delicados de echar mano. Pueden hacer que una obra de fantasía (está basada en hechos reales...) quede demasiado barata, o cuando menos, muy desprolija. Un gato ",gato,Terror
19,*Inevitable referenciaNo vamos ahora a descubrir América enumerando la enorme lista de títulos que han adaptado con mayor o menor acierto la literatura mitológica. Los mejores están en nuestra memoria,cabo | linea,Comedia
23,"La franquicia de 'Terminator' es, sin duda, una de las más desaprovechadas de la historia del cine desde que se estrenase 'Terminator 2: El juicio final' en aquel 1991. Aquel filme dirigido por James ",curso,Accion
25,"La verdad es que me están sorprendiendo muchas críticas negativas que estoy viendo por aquí. Desde luego, 'Terminator Zero' no está en el mismo escalón donde se posan 'Terminator' y 'Terminator 2: El ",cabo | linea | cabo | clave,Accion
39,"Antes que nada, es imprescindible ver esta serie en su idioma original, el coreano. Al igual que sucede con muchas otras películas y series donde la interpretación es clave, el idioma original aporta ",clave,Terror
45,"Como fan absoluto de ""Aquellos maravillosos 70"", no he podido resistirme a ver esta (para mi), deseada secuela, la cual me ha gustado más de lo que había imaginado.Si no has visto la anterior, esta se",red,Comedia
46,"En la era de la nostalgia y los reencuentros con series que han marcado cierta época en nuestra historia televisiva, es donde Netflix saca provecho para entregarnos una especie de secuela con toques d",red,Comedia
47,"*El sótano como mismo punto de partidaAquellos maravillosos 90, sigue los pasos con la misma fórmula de su antecesora. En esta ocasión, la trama nos sitúa en la misma casa de los Forman, donde viene a",red,Comedia
50,"Nada que ver con el humor fino que caracterizaba a la original, esta serie es infantil y se parece a las series de Disney también de los 90, Hanna Montana y otras series de para niños adolescentes, pa",red,Comedia
56,"Como cualquier otra antología de temática fantástica y de terror, hay algunos episodios mejores que otros, pero en general es entretenida. Está bien filmada y con actores para mí desconocidos pero con",radio,Terror
57,"Bastante mala. Nada nuevo, realmente. Salvo alguna historia como la de la familia poseída o el locurón de capítulo que es el de la abuela amante de las anguilas, lo demás bastante tedioso. Muñecas que",linea,Terror
72,"NO PUEDO VIVIR SIN TI (2024)Dir. Santiago RequejoCon Adrián Suar, Paz Vega, Eva Santolaria, Ramón Barea, Pepe Carrasco, Clara Alonso, Nerea Arriola y Álvaro Manso3/10Un claro ejemplo de Suarciclaje.Ya",planta,Comedia
77,"Ese es el nivel medio de la serie. Lo digo para no crear falsas ilusiones a los fans de Lily Collins (club que fundé yo mismo hace años), cuyo talento aquí es totalmente prescindible hasta el punto qu",oro,Comedia
81,"""Emily en París"" es la típica serie que no te encanta, pero te engancha hasta el final. Esta serie está repleta de clichés sobre los franceses que comienzan siendo graciosos y acaban siendo pesados.De",capital,Comedia
95,"""Emily en París"" es un soplo de aire fresco dentro de la tv actual, una serie que no se toma en serio y que se ríe de los estereotipos tanto americanos como franceses, con un  argumento liviano y fran",capital,Comedia
106,¿Qué tal seriéfilos? Hoy os quiero hablar de esta serie que tenéis disponible en netflix y que nos cuenta la historia de Emily (Lilly Collins ) una joven estadunidense que se muda a Paris para trabaja,oro,Comedia
107,"Comenzaré siendo honesta y reconociendo que no empecé a ver Emily en París con altas expectativas. Tras terminar la cuarta temporada de ""The Crown"", quería ver una serie que no fuera muy larga y algo ",cabo,Comedia
113,"Netflix nos trae un nuevo anime que usa tecnicas por ordenador para la animación, esta vez por cell shading.Podria ser otro mas, pero gracias a que ya he visionado varios me ha hecho darme cuenta que ",cabo,Accion
126,"*Un cómic premiado; una serie realizada con interésThe Umbrella Academy es la adaptación de las novelas gráficas, galardonadas con el prestigioso premio Eisner, escritas por Gerard Way (de la banda My",cabo,Accion
