id_oracion,texto,criterio_detectado,motivo,pregunta_guia
1,El docente explicó el modelo de clasificación con claridad.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
3,Los estudiantes resolvieron dudas sobre TF-IDF en clase.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
4,El sistema clasificó noticias de tecnología con errores razonables.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
5,La universidad publicó nuevas reglas para la evaluación.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
6,El profesor revisó el proyecto difícil en la plataforma.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
7,Vi al estudiante con el telescopio durante la práctica.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
8,La alumna corrigió el código con ayuda de la documentación.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
9,El modelo confundió educación con tecnología por vocabulario compartido.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
10,El examen práctico evaluó matrices de confusión y métricas.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
11,La noticia sobre inversión en hospitales mezcló economía y salud.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
12,El gobierno anunció becas para estudiantes de ingeniería.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
13,Los deportistas celebraron el campeonato en el estadio principal.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
14,La aplicación detectó errores sintácticos en comentarios breves.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
15,La serie ganó premios después de su estreno internacional.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
16,El algoritmo analizó dependencias gramaticales en español.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
17,El estudiante entregó la evidencia con retraso justificado.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
19,El hospital recibió nuevos equipos para atención de pacientes.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
20,La inflación afectó el costo de los servicios educativos.,preposicion_o_complementos,La oración puede requerir revisión manual por posible adjunción ambigua o múltiples complementos.,¿A qué palabra modifica el complemento y qué contexto ayudaría a decidirlo?
