id,texto,tipo_esperado,raiz_detectada,sujeto_detectada,objeto_detectado,dependencias_principales,posible_dificultad,observacion_automatica
1,El estudiante analiza el texto,simple,['analiza'],estudiante,texto,"det(estudiante, El) | nsubj(analiza, estudiante) | ROOT(analiza, analiza) | det(texto, el) | obj(analiza, texto)",Baja,Análisis estándar realizado.
2,La profesora revisa la evidencia,simple,['evidencia'],profesora,No detectado,"det(profesora, La) | nsubj(evidencia, profesora) | amod(profesora, revisa) | det(evidencia, la) | ROOT(evidencia, evidencia)",Baja,Análisis estándar realizado.
3,El parser genera un árbol,simple,['genera'],parser,árbol,"det(parser, El) | nsubj(genera, parser) | ROOT(genera, genera) | det(árbol, un) | obj(genera, árbol)",Baja,Análisis estándar realizado.
4,El modelo procesa la oración,simple,['modelo'],No detectado,No detectado,"det(modelo, El) | ROOT(modelo, modelo) | amod(modelo, procesa) | det(oración, la) | appos(modelo, oración)",Baja,Análisis estándar realizado.
5,La alumna identifica la raíz,simple,['identifica'],alumna,raíz,"det(alumna, La) | nsubj(identifica, alumna) | ROOT(identifica, identifica) | det(raíz, la) | obj(identifica, raíz)",Baja,Análisis estándar realizado.
6,El sistema clasifica el documento,simple,['clasifica'],sistema,documento,"det(sistema, El) | nsubj(clasifica, sistema) | ROOT(clasifica, clasifica) | det(documento, el) | obj(clasifica, documento)",Baja,Análisis estándar realizado.
7,La herramienta detecta el sujeto,simple,['herramienta'],No detectado,No detectado,"det(herramienta, La) | ROOT(herramienta, herramienta) | amod(herramienta, detecta) | det(sujeto, el) | appos(herramienta, sujeto)",Baja,Análisis estándar realizado.
8,El algoritmo compara resultados,simple,['compara'],algoritmo,resultados,"det(algoritmo, El) | nsubj(compara, algoritmo) | ROOT(compara, compara) | obj(compara, resultados)",Baja,Análisis estándar realizado.
9,La gramática reconoce la estructura,simple,['reconoce'],gramática,estructura,"det(gramática, La) | nsubj(reconoce, gramática) | ROOT(reconoce, reconoce) | det(estructura, la) | obj(reconoce, estructura)",Baja,Análisis estándar realizado.
10,El programa exporta la tabla,simple,['exporta'],programa,tabla,"det(programa, El) | nsubj(exporta, programa) | ROOT(exporta, exporta) | det(tabla, la) | obj(exporta, tabla)",Baja,Análisis estándar realizado.
11,La clase revisa el ejemplo,simple,['revisa'],clase,ejemplo,"det(clase, La) | nsubj(revisa, clase) | ROOT(revisa, revisa) | det(ejemplo, el) | obj(revisa, ejemplo)",Baja,Análisis estándar realizado.
12,El docente explica el concepto,simple,['explica'],docente,concepto,"det(docente, El) | nsubj(explica, docente) | ROOT(explica, explica) | det(concepto, el) | obj(explica, concepto)",Baja,Análisis estándar realizado.
13,El equipo entrega el reporte,simple,['entrega'],equipo,reporte,"det(equipo, El) | nsubj(entrega, equipo) | ROOT(entrega, entrega) | det(reporte, el) | obj(entrega, reporte)",Baja,Análisis estándar realizado.
14,La función limpia el texto,simple,['texto'],función,No detectado,"det(función, La) | nsubj(texto, función) | amod(función, limpia) | det(texto, el) | ROOT(texto, texto)",Baja,Análisis estándar realizado.
15,El análisis muestra dependencias,simple,['muestra'],análisis,dependencias,"det(análisis, El) | nsubj(muestra, análisis) | ROOT(muestra, muestra) | obj(muestra, dependencias)",Baja,Análisis estándar realizado.
16,La matriz organiza resultados,simple,['organiza'],matriz,resultados,"det(matriz, La) | nsubj(organiza, matriz) | ROOT(organiza, organiza) | obj(organiza, resultados)",Baja,Análisis estándar realizado.
17,El script valida columnas,simple,['script'],No detectado,No detectado,"det(script, El) | ROOT(script, script) | amod(script, valida) | appos(script, columnas)",Baja,Análisis estándar realizado.
18,La oración contiene sujeto,simple,['contiene'],oración,sujeto,"det(oración, La) | nsubj(contiene, oración) | ROOT(contiene, contiene) | obj(contiene, sujeto)",Baja,Análisis estándar realizado.
19,El verbo dirige la estructura,simple,['dirige'],verbo,estructura,"det(verbo, El) | nsubj(dirige, verbo) | ROOT(dirige, dirige) | det(estructura, la) | obj(dirige, estructura)",Baja,Análisis estándar realizado.
20,La salida resume relaciones,simple,['resume'],salida,relaciones,"det(salida, La) | nsubj(resume, salida) | ROOT(resume, resume) | obj(resume, relaciones)",Baja,Análisis estándar realizado.
21,El alumno interpreta tokens,simple,['interpreta'],alumno,tokens,"det(alumno, El) | nsubj(interpreta, alumno) | ROOT(interpreta, interpreta) | obj(interpreta, tokens)",Baja,Análisis estándar realizado.
22,El modelo predice etiquetas,simple,['predice'],modelo,etiquetas,"det(modelo, El) | nsubj(predice, modelo) | ROOT(predice, predice) | obj(predice, etiquetas)",Baja,Análisis estándar realizado.
23,La regla produce sintagmas,simple,['produce'],regla,sintagmas,"det(regla, La) | nsubj(produce, regla) | ROOT(produce, produce) | obj(produce, sintagmas)",Baja,Análisis estándar realizado.
24,El archivo conserva registros,simple,['conserva'],archivo,registros,"det(archivo, El) | nsubj(conserva, archivo) | ROOT(conserva, conserva) | obj(conserva, registros)",Baja,Análisis estándar realizado.
25,El núcleo organiza la frase,simple,['organiza'],núcleo,frase,"det(núcleo, El) | nsubj(organiza, núcleo) | ROOT(organiza, organiza) | det(frase, la) | obj(organiza, frase)",Baja,Análisis estándar realizado.
26,El estudiante analiza el texto con el programa,sintagma_preposicional,['analiza'],estudiante,texto,"det(estudiante, El) | nsubj(analiza, estudiante) | ROOT(analiza, analiza) | det(texto, el) | obj(analiza, texto)",Baja,Análisis estándar realizado.
27,La profesora revisa la evidencia en la plataforma,sintagma_preposicional,['revisa'],profesora,evidencia,"det(profesora, La) | nsubj(revisa, profesora) | ROOT(revisa, revisa) | det(evidencia, la) | obj(revisa, evidencia)",Baja,Análisis estándar realizado.
28,El modelo clasificó noticias de tecnología con errores razonables,sintagma_preposicional,['clasificó'],modelo,noticias,"det(modelo, El) | nsubj(clasificó, modelo) | ROOT(clasificó, clasificó) | obj(clasificó, noticias) | case(tecnología, de)",Baja,Análisis estándar realizado.
29,El parser generó un árbol con varias ramas,sintagma_preposicional,['generó'],parser,árbol,"det(parser, El) | nsubj(generó, parser) | ROOT(generó, generó) | det(árbol, un) | obj(generó, árbol)",Baja,Análisis estándar realizado.
